unit_id,season,season_order,season_revenue,season_room_nights,season_bookings,season_adr,season_revpar,season_days,season_score_1_10,season_percentile
Bluebonnet,Soft,1,11553.193333333333,34.0,20.0,339.8,94.7,122,3.209090909090909,24.5
Buckeye Bungalow,Soft,1,17110.7,49.0,30.0,349.2,140.25,122,5.009090909090909,44.5
Cedar Haus,Soft,1,9975.3375,33.0,28.0,302.28,81.77,122,2.227272727272727,13.6
Cocoon,Soft,1,7039.9,22.0,13.0,320.0,57.7,122,1.4090909090909092,4.5
Cypress Lodge | Sleeps 2,Soft,1,15579.48,52.0,31.0,299.61,185.47,84,5.05,45.0
Cypress Lodge | Sleeps 4,Soft,1,10196.28,25.0,15.0,407.85,121.38,84,2.759090909090909,19.5
Cypress Lodge | Sleeps 6,Soft,1,10771.076666666666,20.0,13.0,538.55,128.23,84,3.168181818181818,24.1
Diamond,Soft,1,47702.380833333336,111.0,56.0,429.75,567.89,84,10.0,100.0
Great Lodge,Soft,1,27379.86,12.0,6.0,2281.66,325.95,84,8.322727272727272,81.4
Great Lodge: King Room,Soft,1,23026.190000000002,66.0,42.0,348.88,274.12,84,7.218181818181819,69.1
Juniper Haus,Soft,1,3405.7,16.0,10.0,212.86,27.92,122,1.0,0.0
Lantana Dome,Soft,1,18579.113333333335,51.0,33.0,364.3,152.29,122,5.418181818181818,49.1
Live Oak Lodge,Soft,1,33018.03,71.0,38.0,465.04,270.64,122,8.813636363636363,86.8
Monarch,Soft,1,24621.496666666666,52.0,28.0,473.49,201.82,122,7.3,70.0
Monolith,Soft,1,42465.385,84.0,48.0,505.54,505.54,84,9.590909090909092,95.5
Pecan Haus,Soft,1,7349.586666666667,27.0,17.0,272.21,60.24,122,1.8181818181818181,9.1
Post Oak,Soft,1,15595.9175,32.0,17.0,487.37,185.67,84,5.459090909090909,49.5
Quonset,Soft,1,23588.396666666667,52.0,31.0,453.62,280.81,84,7.627272727272727,73.6
Sage Safari,Soft,1,28720.716666666667,73.0,43.0,393.43,235.42,122,7.995454545454546,77.7
Spiral,Soft,1,14832.476666666666,36.0,20.0,412.01,176.58,84,4.640909090909091,40.5
Spyglass,Soft,1,29148.195,62.0,35.0,470.13,238.92,122,8.404545454545453,82.3
Walnut House,Soft,1,21269.665,51.0,31.0,417.05,174.34,122,5.95,55.0
Winecup,Soft,1,14643.85,34.0,22.0,430.7,174.33,84,4.109090909090909,34.5
Bluebonnet,Low,2,17085.971666666668,47.0,26.0,363.53,141.21,121,3.454545454545454,27.3
Buckeye Bungalow,Low,2,21032.976666666666,53.0,30.0,396.85,173.83,121,4.2727272727272725,36.4
Cedar Haus,Low,2,13993.0375,40.0,21.0,349.83,115.64,121,3.0454545454545454,22.7
Cocoon,Low,2,9175.24,23.0,14.0,398.92,75.83,121,1.0,0.0
Cypress Lodge | Sleeps 2,Low,2,24585.581666666665,67.0,36.0,366.95,204.88,120,5.090909090909091,45.5
Cypress Lodge | Sleeps 4,Low,2,12899.56,30.0,17.0,429.99,107.5,120,2.6363636363636362,18.2
Cypress Lodge | Sleeps 6,Low,2,18808.593333333334,30.0,16.0,626.95,156.74,120,3.8636363636363638,31.8
Diamond,Low,2,77624.52416666667,161.0,83.0,482.14,646.87,120,9.590909090909092,95.5
Great Lodge,Low,2,10568.0,4.0,2.0,2642.0,88.07,120,1.8181818181818181,9.1
Great Lodge: King Room,Low,2,56508.88333333333,165.0,98.0,342.48,470.91,120,9.181818181818182,90.9
Juniper Haus,Low,2,11039.665,33.0,18.0,334.54,91.24,121,2.227272727272727,13.6
Lantana Dome,Low,2,26979.79,63.0,36.0,428.25,222.97,121,5.909090909090908,54.5
Live Oak Lodge,Low,2,47458.56166666667,82.0,39.0,578.76,392.22,121,8.772727272727272,86.4
Monarch,Low,2,36366.88333333333,68.0,37.0,534.81,300.55,121,7.136363636363635,68.2
Monolith,Low,2,81967.005,139.0,70.0,589.69,683.06,120,10.0,100.0
Pecan Haus,Low,2,10479.938333333334,32.0,17.0,327.5,86.61,121,1.4090909090909092,4.5
Post Oak,Low,2,24936.9325,75.0,48.0,332.49,207.81,120,5.5,50.0
Quonset,Low,2,37744.386666666665,95.0,53.0,397.31,314.54,120,7.545454545454545,72.7
Sage Safari,Low,2,38389.49,91.0,44.0,421.86,317.27,121,7.954545454545454,77.3
Spiral,Low,2,31773.815833333334,66.0,32.0,481.42,264.78,120,6.318181818181818,59.1
Spyglass,Low,2,39039.14833333333,76.0,42.0,513.67,322.64,121,8.363636363636363,81.8
Walnut House,Low,2,32234.861666666668,70.0,40.0,460.5,266.4,121,6.7272727272727275,63.6
Winecup,Low,2,24555.258333333335,55.0,28.0,446.46,204.63,120,4.681818181818182,40.9
Bluebonnet,Shoulder Low,3,17621.295,48.0,29.0,367.11,144.44,122,3.7409090909090907,30.5
Buckeye Bungalow,Shoulder Low,3,20386.676666666666,51.0,30.0,399.74,167.1,122,4.845454545454546,42.7
Cedar Haus,Shoulder Low,3,15827.591666666667,51.0,32.0,310.34,129.73,122,2.8,20.0
Cocoon,Shoulder Low,3,16073.44,44.0,25.0,365.31,131.75,122,3.209090909090909,24.5
Cypress Lodge | Sleeps 2,Shoulder Low,3,23713.743333333332,66.0,35.0,359.3,266.45,89,6.4409090909090905,60.5
Cypress Lodge | Sleeps 4,Shoulder Low,3,14344.53,34.0,18.0,421.9,161.17,89,3.0045454545454544,22.3
Cypress Lodge | Sleeps 6,Shoulder Low,3,11782.355,18.0,10.0,654.58,132.39,89,1.9,10.0
Diamond,Shoulder Low,3,53220.25,113.0,61.0,470.98,597.98,89,9.181818181818182,90.9
Great Lodge,Shoulder Low,3,0.0,0.0,0.0,,0.0,89,1.0,0.0
Great Lodge: King Room,Shoulder Low,3,82995.93294871795,175.0,96.0,474.26,932.54,89,10.0,100.0
Juniper Haus,Shoulder Low,3,11814.575,41.0,27.0,288.16,96.84,122,1.6954545454545453,7.7
Lantana Dome,Shoulder Low,3,30001.753333333334,71.0,43.0,422.56,245.92,122,6.359090909090909,59.5
Live Oak Lodge,Shoulder Low,3,38832.17833333334,81.0,49.0,479.41,318.3,122,7.954545454545454,77.3
Monarch,Shoulder Low,3,37286.65,73.0,40.0,510.78,305.63,122,7.136363636363635,68.2
Monolith,Shoulder Low,3,67418.18333333333,108.0,55.0,624.24,757.51,89,9.590909090909092,95.5
Pecan Haus,Shoulder Low,3,13124.775,42.0,24.0,312.49,107.58,122,2.1045454545454545,12.3
Post Oak,Shoulder Low,3,18738.54,50.0,25.0,374.77,210.55,89,4.3954545454545455,37.7
Quonset,Shoulder Low,3,22837.843333333334,56.0,31.0,407.82,256.6,89,6.031818181818181,55.9
Sage Safari,Shoulder Low,3,38798.57666666667,91.0,52.0,426.36,318.02,122,7.545454545454545,72.7
Spiral,Shoulder Low,3,22696.3875,53.0,25.0,428.23,255.02,89,5.622727272727272,51.4
Spyglass,Shoulder Low,3,48048.66,89.0,46.0,539.87,393.84,122,8.772727272727272,86.4
Walnut House,Shoulder Low,3,45564.20333333333,91.0,46.0,500.71,373.48,122,8.363636363636363,81.8
Winecup,Shoulder Low,3,19775.5175,41.0,25.0,482.33,222.2,89,4.804545454545455,42.3
Bluebonnet,Shoulder High,4,32885.06,90.0,52.0,365.39,269.55,122,5.009090909090909,44.5
Buckeye Bungalow,Shoulder High,4,33432.485,79.0,46.0,423.2,274.04,122,5.418181818181818,49.1
Cedar Haus,Shoulder High,4,24043.018333333333,73.0,50.0,329.36,197.07,122,2.8,20.0
Cocoon,Shoulder High,4,28189.863333333335,70.0,43.0,402.71,231.06,122,4.190909090909091,35.5
Cypress Lodge | Sleeps 2,Shoulder High,4,21624.735,62.0,35.0,348.79,308.92,70,3.25,25.0
Cypress Lodge | Sleeps 4,Shoulder High,4,28216.06,43.0,23.0,656.19,403.09,70,5.581818181818181,50.9
Cypress Lodge | Sleeps 6,Shoulder High,4,10445.945,13.0,8.0,803.53,149.23,70,1.4090909090909092,4.5
Diamond,Shoulder High,4,59032.49833333334,114.0,65.0,517.83,843.32,70,9.181818181818182,90.9
Great Lodge,Shoulder High,4,1979.175,1.0,1.0,1979.18,28.27,70,1.0,0.0
Great Lodge: King Room,Shoulder High,4,74545.96192307692,204.0,106.0,365.42,1064.94,70,10.0,100.0
Juniper Haus,Shoulder High,4,20132.27,66.0,46.0,305.03,165.02,122,2.1045454545454545,12.3
Lantana Dome,Shoulder High,4,38876.943333333336,92.0,57.0,422.58,318.66,122,6.236363636363636,58.2
Live Oak Lodge,Shoulder High,4,55946.0,92.0,45.0,608.11,458.57,122,8.649999999999999,85.0
Monarch,Shoulder High,4,54144.42333333333,97.0,55.0,558.19,443.81,122,8.240909090909092,80.5
Monolith,Shoulder High,4,62754.89,114.0,57.0,550.48,896.5,70,9.590909090909092,95.5
Pecan Haus,Shoulder High,4,24345.55,71.0,38.0,342.9,199.55,122,3.209090909090909,24.5
Post Oak,Shoulder High,4,26115.791666666668,53.0,27.0,492.75,373.08,70,4.477272727272727,38.6
Quonset,Shoulder High,4,37960.153333333335,75.0,41.0,506.14,542.29,70,7.054545454545455,67.3
Sage Safari,Shoulder High,4,43921.275,95.0,52.0,462.33,360.01,122,6.645454545454545,62.7
Spiral,Shoulder High,4,17535.73,42.0,23.0,417.52,250.51,70,2.309090909090909,14.5
Spyglass,Shoulder High,4,51241.08833333333,94.0,57.0,545.12,420.01,122,7.831818181818181,75.9
Walnut House,Shoulder High,4,49782.323333333334,93.0,53.0,535.29,408.05,122,7.422727272727273,71.4
Winecup,Shoulder High,4,27073.290833333333,72.0,39.0,376.02,386.76,70,4.886363636363636,43.2
Bluebonnet,High,5,32427.67714285714,80.0,43.0,405.35,268.0,121,4.886363636363636,43.2
Buckeye Bungalow,High,5,35928.221666666665,87.0,51.0,412.97,296.93,121,5.540909090909091,50.5
Cedar Haus,High,5,21513.943333333333,75.0,45.0,286.85,177.8,121,1.5727272727272728,6.4
Cocoon,High,5,30644.176666666666,69.0,42.0,444.12,253.26,121,4.477272727272727,38.6
Cypress Lodge | Sleeps 2,High,5,24214.351666666666,72.0,41.0,336.31,310.44,78,3.9454545454545453,32.7
Cypress Lodge | Sleeps 4,High,5,27296.155,51.0,23.0,535.22,349.95,78,4.763636363636363,41.8
Cypress Lodge | Sleeps 6,High,5,14137.606666666667,20.0,11.0,706.88,181.25,78,1.1227272727272728,1.4
Diamond,High,5,66509.30166666667,142.0,77.0,468.38,852.68,78,9.181818181818182,90.9
Great Lodge,High,5,17477.695,6.0,2.0,2912.95,224.07,78,1.7772727272727273,8.6
Great Lodge: King Room,High,5,73138.63346153845,232.0,142.0,315.25,937.67,78,9.590909090909092,95.5
Juniper Haus,High,5,22240.19,63.0,42.0,353.02,183.8,121,2.6772727272727272,18.6
Lantana Dome,High,5,38209.7,82.0,53.0,465.97,315.78,121,6.072727272727272,56.4
Live Oak Lodge,High,5,57175.40666666667,97.0,50.0,589.44,472.52,121,7.831818181818181,75.9
Monarch,High,5,57958.153333333335,98.0,54.0,591.41,478.99,121,8.240909090909092,80.5
Monolith,High,5,76020.06,131.0,69.0,580.31,974.62,78,10.0,100.0
Pecan Haus,High,5,24309.64,73.0,46.0,333.01,200.91,121,3.3727272727272726,26.4
Post Oak,High,5,21672.078333333335,66.0,37.0,328.36,277.85,78,2.718181818181818,19.1
Quonset,High,5,40023.11666666667,93.0,55.0,430.36,513.12,78,7.340909090909092,70.5
Sage Safari,High,5,47779.00666666667,103.0,62.0,463.87,394.87,121,7.013636363636363,66.8
Spiral,High,5,22127.14,58.0,34.0,381.5,283.68,78,3.127272727272727,23.6
Spyglass,High,5,58084.295,104.0,65.0,558.5,480.04,121,8.649999999999999,85.0
Walnut House,High,5,48579.66,90.0,51.0,539.77,401.48,121,7.422727272727273,71.4
Winecup,High,5,29321.713333333333,70.0,34.0,418.88,375.92,78,5.172727272727273,46.4
Bluebonnet,Peak,6,37006.782857142854,80.0,49.0,462.58,303.33,122,3.7409090909090907,30.5
Buckeye Bungalow,Peak,6,42532.25,88.0,52.0,483.32,348.62,122,4.681818181818182,40.9
Cedar Haus,Peak,6,29441.581666666665,83.0,50.0,354.72,241.32,122,2.6363636363636362,18.2
Cocoon,Peak,6,37775.59,81.0,48.0,466.37,309.64,122,4.15,35.0
Cypress Lodge | Sleeps 2,Peak,6,52453.738333333335,142.0,83.0,369.39,485.68,108,6.031818181818181,55.9
Cypress Lodge | Sleeps 4,Peak,6,42916.655,87.0,52.0,493.29,397.38,108,5.090909090909091,45.5
Cypress Lodge | Sleeps 6,Peak,6,25009.183333333334,36.0,19.0,694.7,231.57,108,2.227272727272727,13.6
Diamond,Peak,6,144485.465,264.0,143.0,547.29,1337.83,108,9.590909090909092,95.5
Great Lodge,Peak,6,10845.67,3.0,1.0,3615.22,100.42,108,1.0,0.0
Great Lodge: King Room,Peak,6,162818.11833333335,478.0,287.0,340.62,1507.58,108,10.0,100.0
Juniper Haus,Peak,6,22984.54,65.0,42.0,353.61,188.4,122,1.4090909090909092,4.5
Lantana Dome,Peak,6,35048.29,72.0,48.0,486.78,287.28,122,3.331818181818181,25.9
Live Oak Lodge,Peak,6,63387.80333333333,97.0,55.0,653.48,519.57,122,7.013636363636363,66.8
Monarch,Peak,6,70552.88333333333,118.0,65.0,597.91,578.3,122,8.649999999999999,85.0
Monolith,Peak,6,139654.33666666667,204.0,114.0,684.58,1293.1,108,9.181818181818182,90.9
Pecan Haus,Peak,6,24842.55,74.0,43.0,335.71,203.63,122,1.8181818181818181,9.1
Post Oak,Peak,6,34119.1,86.0,54.0,396.73,315.92,108,3.4136363636363636,26.8
Quonset,Peak,6,64412.38333333333,145.0,83.0,444.22,596.41,108,7.913636363636362,76.8
Sage Safari,Peak,6,55566.165,112.0,65.0,496.13,455.46,122,6.195454545454545,57.7
Spiral,Peak,6,45751.770000000004,94.0,57.0,486.72,423.63,108,5.5,50.0
Spyglass,Peak,6,69393.38333333333,104.0,60.0,667.24,568.8,122,8.118181818181817,79.1
Walnut House,Peak,6,64746.28666666667,115.0,67.0,563.01,530.71,122,7.709090909090908,74.5
Winecup,Peak,6,61479.75,140.0,79.0,439.14,569.26,108,7.095454545454546,67.7
