year_month,revenue,room_nights,adr,bookings,occupancy_pct,revpar
2025-01,29316.0,89,329.39,72,23.92,78.81
2025-02,85319.0,207,412.17,135,61.61,253.93
2025-03,147358.0,297,496.15,171,79.84,396.12
2025-04,134276.0,269,499.17,173,74.72,372.99
2025-05,141267.0,297,475.65,178,79.84,379.75
2025-06,125418.0,298,420.87,178,82.78,348.38
2025-07,209310.0,522,400.98,316,45.51,182.48
2025-08,218747.0,528,414.29,310,46.03,190.71
2025-09,181499.0,474,382.91,286,42.7,163.51
2025-10,297463.0,572,520.04,321,49.87,259.34
2025-11,279264.0,592,471.73,342,53.33,251.59
2025-12,281140.0,613,458.63,335,53.44,245.11
2026-01,174995.0,443,395.02,254,38.62,152.57
2026-02,270555.0,583,464.07,357,56.27,261.15
2026-03,346312.0,711,487.08,410,61.99,301.93
2026-04,319050.0,721,442.51,421,64.95,287.43
2026-05,256077.0,472,542.54,244,41.15,223.26
2026-06,103023.0,175,588.7,74,15.77,92.81
2026-07,41360.0,68,608.24,27,5.93,36.06
2026-08,11332.0,27,419.7,9,2.35,9.88
2026-09,17515.0,21,834.05,9,1.89,15.78
2026-10,26650.0,36,740.28,15,3.14,23.23
2026-11,9233.0,16,577.06,5,1.44,8.32
2026-12,1998.0,4,499.5,2,0.35,1.74
