month_index,month_name,avg_basis_year_count,revenue,room_nights,adr,bookings,occupancy_pct,revpar,performance_score_1_10,performance_rank_provisional,rank_filter_min_arrival,rank_filter_max_arrival
1,January,1,185274.69,455.0,407.2,261.0,59.91,243.94,3,False,2025-07-01,2026-08-14
2,February,1,282322.2,604.0,467.42,366.0,88.05,411.55,6,False,2025-07-01,2026-08-14
3,March,1,358659.18,738.0,485.99,424.0,97.17,472.23,10,False,2025-07-01,2026-08-14
4,April,1,322155.67,733.0,439.5,426.0,99.73,438.31,8,False,2025-07-01,2026-08-14
5,May,1,328574.57,640.0,513.4,365.0,84.27,432.62,8,False,2025-07-01,2026-08-14
6,June,1,318916.9,740.0,430.97,411.0,100.68,433.9,7,False,2025-07-01,2026-08-14
7,July,2,278683.11,667.5,417.5,375.5,58.2,242.97,3,False,2025-07-01,2026-08-14
8,August,2,169159.9,425.0,398.02,248.5,37.05,147.48,1,False,2025-07-01,2026-08-14
9,September,1,183364.09,482.0,380.42,289.0,43.42,165.19,2,False,2025-07-01,2026-08-14
10,October,1,340650.25,612.0,556.62,339.0,53.36,296.99,8,False,2025-07-01,2026-08-14
11,November,1,287070.88,609.0,471.38,352.0,54.86,258.62,5,False,2025-07-01,2026-08-14
12,December,1,328297.37,652.0,503.52,348.0,56.84,286.22,6,False,2025-07-01,2026-08-14
