unit_id,revenue,revenue_yoy_pct,room_nights,bookings,bookings_yoy_pct,adr,adr_yoy_pct,occupancy_pct,revpar
Bluebonnet,116813.0,16.08,294,175,8.11,397.32,19.89,40.27,160.02
Buckeye Bungalow,141328.0,23.79,332,193,9.3,425.69,6.77,45.48,193.6
Cedar Haus,91442.0,5.17,284,192,-6.52,321.98,8.36,38.9,125.26
Cocoon,96753.0,-51.13,230,139,-35.71,420.67,-23.98,31.51,132.54
Cypress Lodge | Sleeps 2,114924.0,,322,189,,356.91,,29.33,104.67
Cypress Lodge | Sleeps 4,88672.0,,195,110,,454.73,,17.76,80.76
Cypress Lodge | Sleeps 6,75054.0,,126,72,,595.67,,11.48,68.36
Diamond,321335.0,,647,351,,496.65,,39.28,195.1
Great Lodge,43585.0,,17,8,,2563.82,,0.39,9.92
Great Lodge: King Room,303349.0,,843,503,,359.84,,19.19,69.07
Juniper Haus,70338.0,-35.9,220,146,-48.94,319.72,12.6,30.14,96.35
Lantana Dome,173763.0,-5.17,386,241,4.35,450.16,4.31,52.88,238.03
Live Oak Lodge,253598.0,18.66,447,238,20.83,567.33,-9.87,61.23,347.39
Monarch,243841.0,28.41,439,241,18.37,555.45,-6.93,60.14,334.03
Monolith,372502.0,,612,327,,608.66,,55.74,339.26
Pecan Haus,80430.0,-26.46,241,141,-33.33,333.73,-4.4,33.01,110.18
Post Oak,97520.0,,267,156,,365.24,,48.63,177.63
Quonset,139150.0,,334,197,,416.62,,30.42,126.73
Sage Safari,209139.0,37.05,455,254,11.32,459.65,2.14,62.33,286.49
Spiral,116969.0,,254,139,,460.51,,46.27,213.06
Spyglass,234540.0,44.16,418,246,34.69,561.1,2.4,57.26,321.29
Walnut House,208273.0,15.87,400,230,30.43,520.68,-18.21,54.79,285.31
Winecup,115159.0,,272,156,,423.38,,24.77,104.88
PROPERTY,3708477.0,180.34,8035,4644,161.71,461.54,-1.69,35.73,164.93
