period_label,period_start,period_end,unit_id,revenue,room_nights,bookings,adr,occupancy_pct,revpar
2026_Q1,2026-01-01,2026-03-31,Bluebonnet,20090.0,42,25,478.33,46.67,223.22
2026_Q1,2026-01-01,2026-03-31,Buckeye Bungalow,26596.0,57,32,466.6,63.33,295.51
2026_Q1,2026-01-01,2026-03-31,Cedar Haus,14050.0,44,29,319.32,48.89,156.11
2026_Q1,2026-01-01,2026-03-31,Cocoon,7745.0,23,14,336.74,25.56,86.06
2026_Q1,2026-01-01,2026-03-31,Cypress Lodge | Sleeps 2,32891.0,93,56,353.67,51.67,182.73
2026_Q1,2026-01-01,2026-03-31,Cypress Lodge | Sleeps 4,31039.0,70,40,443.41,38.89,172.44
2026_Q1,2026-01-01,2026-03-31,Cypress Lodge | Sleeps 6,13571.0,26,15,521.96,14.44,75.39
2026_Q1,2026-01-01,2026-03-31,Diamond,98514.0,196,110,502.62,72.59,364.87
2026_Q1,2026-01-01,2026-03-31,Great Lodge,9469.0,4,2,2367.25,0.56,13.15
2026_Q1,2026-01-01,2026-03-31,Great Lodge: King Room,85905.0,241,149,356.45,33.47,119.31
2026_Q1,2026-01-01,2026-03-31,Juniper Haus,8223.0,23,15,357.52,25.56,91.37
2026_Q1,2026-01-01,2026-03-31,Lantana Dome,18749.0,44,29,426.11,48.89,208.32
2026_Q1,2026-01-01,2026-03-31,Live Oak Lodge,37073.0,76,41,487.8,84.44,411.92
2026_Q1,2026-01-01,2026-03-31,Monarch,46007.0,81,43,567.99,90.0,511.19
2026_Q1,2026-01-01,2026-03-31,Monolith,86327.0,144,84,599.49,80.0,479.59
2026_Q1,2026-01-01,2026-03-31,Pecan Haus,10292.0,35,21,294.06,38.89,114.36
2026_Q1,2026-01-01,2026-03-31,Post Oak,22739.0,62,41,366.76,68.89,252.66
2026_Q1,2026-01-01,2026-03-31,Quonset,39186.0,90,53,435.4,50.0,217.7
2026_Q1,2026-01-01,2026-03-31,Sage Safari,37092.0,79,43,469.52,87.78,412.13
2026_Q1,2026-01-01,2026-03-31,Spiral,31543.0,70,40,450.61,77.78,350.48
2026_Q1,2026-01-01,2026-03-31,Spyglass,43539.0,75,47,580.52,83.33,483.77
2026_Q1,2026-01-01,2026-03-31,Walnut House,36958.0,72,40,513.31,80.0,410.64
2026_Q1,2026-01-01,2026-03-31,Winecup,34264.0,90,52,380.71,50.0,190.36
2026_Q1,2026-01-01,2026-03-31,PROPERTY,791862.0,1737,1021,455.88,52.16,237.8
