tier_id,tier_label,start_date,end_date,length_days
1,Soft,2025-01-01,2025-02-07,38
2,Low,2025-02-08,2025-02-08,1
3,Shoulder Low,2025-02-09,2025-03-03,23
4,Shoulder High,2025-03-04,2025-03-06,3
5,High,2025-03-07,2025-03-09,3
6,Peak,2025-03-10,2025-03-23,14
5,High,2025-03-24,2025-03-26,3
4,Shoulder High,2025-03-27,2025-03-29,3
5,High,2025-03-30,2025-04-14,16
4,Shoulder High,2025-04-15,2025-04-17,3
5,High,2025-04-18,2025-04-25,8
4,Shoulder High,2025-04-26,2025-04-29,4
5,High,2025-04-30,2025-05-01,2
4,Shoulder High,2025-05-02,2025-05-16,15
5,High,2025-05-17,2025-05-24,8
4,Shoulder High,2025-05-25,2025-05-31,7
3,Shoulder Low,2025-06-01,2025-06-09,9
4,Shoulder High,2025-06-10,2025-06-24,15
3,Shoulder Low,2025-06-25,2025-06-25,1
4,Shoulder High,2025-06-26,2025-06-27,2
5,High,2025-06-28,2025-07-01,4
4,Shoulder High,2025-07-02,2025-07-03,2
5,High,2025-07-04,2025-07-11,8
4,Shoulder High,2025-07-12,2025-07-12,1
5,High,2025-07-13,2025-07-26,14
4,Shoulder High,2025-07-27,2025-08-08,13
3,Shoulder Low,2025-08-09,2025-08-09,1
4,Shoulder High,2025-08-10,2025-08-10,1
3,Shoulder Low,2025-08-11,2025-08-21,11
2,Low,2025-08-22,2025-08-24,3
3,Shoulder Low,2025-08-25,2025-08-29,5
2,Low,2025-08-30,2025-09-07,9
1,Soft,2025-09-08,2025-09-10,3
2,Low,2025-09-11,2025-09-28,18
1,Soft,2025-09-29,2025-10-02,4
2,Low,2025-10-03,2025-10-03,1
3,Shoulder Low,2025-10-04,2025-10-06,3
4,Shoulder High,2025-10-07,2025-10-13,7
5,High,2025-10-14,2025-10-17,4
4,Shoulder High,2025-10-18,2025-10-20,3
3,Shoulder Low,2025-10-21,2025-10-31,11
2,Low,2025-11-01,2025-11-08,8
3,Shoulder Low,2025-11-09,2025-11-09,1
2,Low,2025-11-10,2025-11-25,16
1,Soft,2025-11-26,2025-12-15,20
2,Low,2025-12-16,2025-12-18,3
1,Soft,2025-12-19,2025-12-21,3
2,Low,2025-12-22,2025-12-22,1
3,Shoulder Low,2025-12-23,2025-12-25,3
4,Shoulder High,2025-12-26,2025-12-28,3
3,Shoulder Low,2025-12-29,2026-01-06,9
2,Low,2026-01-07,2026-01-07,1
1,Soft,2026-01-08,2026-01-31,24
2,Low,2026-02-01,2026-02-01,1
3,Shoulder Low,2026-02-02,2026-02-07,6
4,Shoulder High,2026-02-08,2026-02-08,1
5,High,2026-02-09,2026-02-12,4
6,Peak,2026-02-13,2026-02-21,9
5,High,2026-02-22,2026-02-22,1
4,Shoulder High,2026-02-23,2026-03-01,7
5,High,2026-03-02,2026-03-04,3
6,Peak,2026-03-05,2026-05-01,58
5,High,2026-05-02,2026-05-09,8
6,Peak,2026-05-10,2026-05-13,4
5,High,2026-05-14,2026-05-14,1
6,Peak,2026-05-15,2026-05-26,12
5,High,2026-05-27,2026-05-27,1
6,Peak,2026-05-28,2026-05-30,3
5,High,2026-05-31,2026-05-31,1
4,Shoulder High,2026-06-01,2026-06-05,5
5,High,2026-06-06,2026-06-09,4
6,Peak,2026-06-10,2026-07-01,22
5,High,2026-07-02,2026-07-11,10
4,Shoulder High,2026-07-12,2026-07-12,1
5,High,2026-07-13,2026-07-26,14
4,Shoulder High,2026-07-27,2026-08-08,13
3,Shoulder Low,2026-08-09,2026-08-09,1
4,Shoulder High,2026-08-10,2026-08-10,1
3,Shoulder Low,2026-08-11,2026-08-21,11
2,Low,2026-08-22,2026-08-24,3
3,Shoulder Low,2026-08-25,2026-08-29,5
2,Low,2026-08-30,2026-09-07,9
1,Soft,2026-09-08,2026-09-10,3
2,Low,2026-09-11,2026-09-28,18
1,Soft,2026-09-29,2026-10-02,4
2,Low,2026-10-03,2026-10-03,1
3,Shoulder Low,2026-10-04,2026-10-06,3
4,Shoulder High,2026-10-07,2026-10-13,7
5,High,2026-10-14,2026-10-17,4
4,Shoulder High,2026-10-18,2026-10-20,3
3,Shoulder Low,2026-10-21,2026-10-31,11
2,Low,2026-11-01,2026-11-08,8
3,Shoulder Low,2026-11-09,2026-11-09,1
2,Low,2026-11-10,2026-11-25,16
1,Soft,2026-11-26,2026-12-15,20
2,Low,2026-12-16,2026-12-18,3
1,Soft,2026-12-19,2026-12-21,3
2,Low,2026-12-22,2026-12-22,1
3,Shoulder Low,2026-12-23,2026-12-29,7
4,Shoulder High,2026-12-30,2026-12-31,2
