tier_id,tier_label,lead_band,adr,revenue,revenue_share_of_tier,booking_count,room_nights,room_night_share_of_tier,occupancy_pct_of_tier_capacity,tier_occupancy_pct
1,Soft,0-7 days,312.92,112337.0,35.93,255,359,43.41,7.89,18.17
1,Soft,8-14 days,406.42,60150.0,19.24,89,148,17.9,3.25,18.17
1,Soft,15-30 days,410.15,73417.0,23.48,100,179,21.64,3.93,18.17
1,Soft,31-45 days,448.8,18401.0,5.89,23,41,4.96,0.9,18.17
1,Soft,46-60 days,451.82,9940.0,3.18,10,22,2.66,0.48,18.17
1,Soft,61-75 days,363.64,4000.0,1.28,5,11,1.33,0.24,18.17
1,Soft,76-90 days,562.71,3939.0,1.26,4,7,0.85,0.15,18.17
1,Soft,91-120 days,379.05,7581.0,2.42,9,20,2.42,0.44,18.17
1,Soft,121-180 days,634.26,14588.0,4.67,10,23,2.78,0.51,18.17
1,Soft,181-270 days,486.76,8275.0,2.65,6,17,2.06,0.37,18.17
2,Low,0-7 days,378.96,181142.0,34.03,334,478,39.93,10.68,26.74
2,Low,8-14 days,415.79,76922.0,14.45,102,185,15.46,4.13,26.74
2,Low,15-30 days,450.54,122547.0,23.02,136,272,22.72,6.08,26.74
2,Low,31-45 days,515.97,61916.0,11.63,56,120,10.03,2.68,26.74
2,Low,46-60 days,605.38,17556.0,3.3,13,29,2.42,0.65,26.74
2,Low,61-75 days,901.48,27946.0,5.25,14,31,2.59,0.69,26.74
2,Low,76-90 days,472.6,9452.0,1.78,9,20,1.67,0.45,26.74
2,Low,91-120 days,584.45,12858.0,2.42,10,22,1.84,0.49,26.74
2,Low,121-180 days,517.06,16029.0,3.01,11,31,2.59,0.69,26.74
2,Low,181-270 days,373.25,1493.0,0.28,2,4,0.33,0.09,26.74
2,Low,271-365 days,895.8,4479.0,0.84,2,5,0.42,0.11,26.74
3,Shoulder Low,0-7 days,366.73,167962.0,33.04,316,458,39.52,10.23,25.89
3,Shoulder Low,8-14 days,382.98,65106.0,12.81,103,170,14.67,3.8,25.89
3,Shoulder Low,15-30 days,453.09,79743.0,15.69,87,176,15.19,3.93,25.89
3,Shoulder Low,31-45 days,544.65,64269.0,12.64,59,118,10.18,2.64,25.89
3,Shoulder Low,46-60 days,532.79,22910.0,4.51,19,43,3.71,0.96,25.89
3,Shoulder Low,61-75 days,605.08,21783.0,4.29,12,36,3.11,0.8,25.89
3,Shoulder Low,76-90 days,611.39,34849.0,6.86,27,57,4.92,1.27,25.89
3,Shoulder Low,91-120 days,478.95,18679.0,3.67,16,39,3.36,0.87,25.89
3,Shoulder Low,121-180 days,560.5,20178.0,3.97,15,36,3.11,0.8,25.89
3,Shoulder Low,181-270 days,491.91,11314.0,2.23,7,23,1.98,0.51,25.89
3,Shoulder Low,271-365 days,500.67,1502.0,0.3,1,3,0.26,0.07,25.89
4,Shoulder High,0-7 days,388.49,170547.0,30.48,283,439,38.61,9.73,25.19
4,Shoulder High,8-14 days,448.22,65889.0,11.78,81,147,12.93,3.26,25.19
4,Shoulder High,15-30 days,498.62,91247.0,16.31,88,183,16.09,4.05,25.19
4,Shoulder High,31-45 days,556.06,56718.0,10.14,48,102,8.97,2.26,25.19
4,Shoulder High,46-60 days,597.71,46621.0,8.33,32,78,6.86,1.73,25.19
4,Shoulder High,61-75 days,568.6,17058.0,3.05,14,30,2.64,0.66,25.19
4,Shoulder High,76-90 days,805.74,24978.0,4.46,12,31,2.73,0.69,25.19
4,Shoulder High,91-120 days,569.42,24485.0,4.38,17,43,3.78,0.95,25.19
4,Shoulder High,121-180 days,901.31,32447.0,5.8,15,36,3.17,0.8,25.19
4,Shoulder High,181-270 days,592.0,21904.0,3.92,15,37,3.25,0.82,25.19
4,Shoulder High,271-365 days,721.0,6489.0,1.16,4,9,0.79,0.2,25.19
4,Shoulder High,365+ days,541.0,1082.0,0.19,1,2,0.18,0.04,25.19
5,High,0-7 days,375.89,186068.0,27.61,352,495,34.66,11.06,31.9
5,High,8-14 days,464.47,105435.0,15.64,133,227,15.9,5.07,31.9
5,High,15-30 days,503.95,152192.0,22.58,168,302,21.15,6.75,31.9
5,High,31-45 days,549.84,91824.0,13.62,85,167,11.69,3.73,31.9
5,High,46-60 days,596.58,45937.0,6.82,36,77,5.39,1.72,31.9
5,High,61-75 days,598.74,36523.0,5.42,25,61,4.27,1.36,31.9
5,High,76-90 days,608.78,22525.0,3.34,13,37,2.59,0.83,31.9
5,High,91-120 days,525.84,16301.0,2.42,12,31,2.17,0.69,31.9
5,High,121-180 days,467.3,9346.0,1.39,7,20,1.4,0.45,31.9
5,High,181-270 days,756.12,6049.0,0.9,3,8,0.56,0.18,31.9
5,High,365+ days,609.0,1827.0,0.27,1,3,0.21,0.07,31.9
6,Peak,0-7 days,383.5,379282.0,33.84,674,989,43.34,21.91,50.55
6,Peak,8-14 days,476.28,182890.0,16.32,216,384,16.83,8.51,50.55
6,Peak,15-30 days,561.12,248013.0,22.13,242,442,19.37,9.79,50.55
6,Peak,31-45 days,651.48,138765.0,12.38,102,213,9.33,4.72,50.55
6,Peak,46-60 days,742.06,63817.0,5.69,33,86,3.77,1.91,50.55
6,Peak,61-75 days,586.53,39884.0,3.56,24,68,2.98,1.51,50.55
6,Peak,76-90 days,806.9,24207.0,2.16,13,30,1.31,0.66,50.55
6,Peak,91-120 days,662.78,29825.0,2.66,18,45,1.97,1.0,50.55
6,Peak,121-180 days,512.48,11787.0,1.05,10,23,1.01,0.51,50.55
6,Peak,181-270 days,1158.0,2316.0,0.21,1,2,0.09,0.04,50.55
