Listing Id,Listing Name,PMS Name,Reason,Start Date,End Date,Price,Currency,Price Type,Minimum Stay,Minimum Price,Minimum Price Type,Maximum Price,Maximum Price Type
203812___362535,Onera Fredericksburg Cocoon,cloudbeds,,2027-01-04,2027-01-04,307,USD,fixed,2,,fixed,,fixed
203812___364773,Onera Fredericksburg Walnut House,cloudbeds,,2027-01-04,2027-01-04,437,USD,fixed,2,,fixed,,fixed
203812___364776,Onera Fredericksburg Spyglass,cloudbeds,,2027-01-04,2027-01-04,437,USD,fixed,2,,fixed,,fixed
203812___364778,Onera Fredericksburg Live Oak Lodge,cloudbeds,,2027-01-04,2027-01-04,437,USD,fixed,2,,fixed,,fixed
203812___364779,Onera Fredericksburg Lantana Dome,cloudbeds,,2027-01-04,2027-01-04,307,USD,fixed,2,,fixed,,fixed
203812___364780,Onera Fredericksburg Sage Safari,cloudbeds,,2027-01-04,2027-01-04,307,USD,fixed,2,,fixed,,fixed
203812___364781,Onera Fredericksburg Monarch,cloudbeds,,2027-01-04,2027-01-04,437,USD,fixed,2,,fixed,,fixed
203812___364782,Onera Fredericksburg Buckeye Bungalow,cloudbeds,,2027-01-04,2027-01-04,307,USD,fixed,2,,fixed,,fixed
203812___490007,Onera Fredericksburg Cedar Haus,cloudbeds,,2027-01-04,2027-01-04,184,USD,fixed,2,,fixed,,fixed
203812___490024,Onera Fredericksburg Juniper Haus,cloudbeds,,2027-01-04,2027-01-04,184,USD,fixed,2,,fixed,,fixed
203812___528745,Onera Fredericksburg Pecan Haus,cloudbeds,,2027-01-04,2027-01-04,184,USD,fixed,2,,fixed,,fixed
203812___634080,Onera Fredericksburg Bluebonnet,cloudbeds,,2027-01-04,2027-01-04,307,USD,fixed,2,,fixed,,fixed
203812___643757,Onera Fredericksburg Great Lodge,cloudbeds,,2027-01-04,2027-01-04,1792,USD,fixed,2,,fixed,,fixed
203812___643760,Onera Fredericksburg Post Oak,cloudbeds,,2027-01-04,2027-01-04,242,USD,fixed,2,,fixed,,fixed
203812___643762,Onera Fredericksburg Cypress Lodge | Sleeps 4 -- 2 units,cloudbeds,,2027-01-04,2027-01-04,339,USD,fixed,2,,fixed,,fixed
203812___643764,Onera Fredericksburg Quonset -- 2 units,cloudbeds,,2027-01-04,2027-01-04,339,USD,fixed,2,,fixed,,fixed
203812___643766,Onera Fredericksburg Winecup -- 2 units,cloudbeds,,2027-01-04,2027-01-04,339,USD,fixed,2,,fixed,,fixed
203812___643771,Onera Fredericksburg Diamond -- 3 units,cloudbeds,,2027-01-04,2027-01-04,404,USD,fixed,2,,fixed,,fixed
203812___643772,Onera Fredericksburg Spiral,cloudbeds,,2027-01-04,2027-01-04,339,USD,fixed,2,,fixed,,fixed
