unit_id,month_index,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Bluebonnet,1,302.0,302.0,302.0,348.0,398.0,398.0,348.0
Bluebonnet,2,449.0,449.0,449.0,494.0,544.0,544.0,494.0
Bluebonnet,3,491.0,491.0,491.0,536.0,586.0,586.0,536.0
Bluebonnet,4,470.0,470.0,470.0,515.0,565.0,565.0,515.0
Bluebonnet,5,386.0,386.0,386.0,431.0,482.0,482.0,431.0
Bluebonnet,6,323.0,323.0,323.0,368.0,419.0,419.0,368.0
Bluebonnet,7,365.0,365.0,365.0,410.0,461.0,461.0,410.0
Bluebonnet,8,365.0,365.0,365.0,410.0,461.0,461.0,410.0
Bluebonnet,9,344.0,344.0,344.0,389.0,440.0,440.0,389.0
Bluebonnet,10,449.0,449.0,449.0,494.0,544.0,544.0,494.0
Bluebonnet,11,407.0,407.0,407.0,452.0,502.0,502.0,452.0
Bluebonnet,12,428.0,428.0,428.0,473.0,523.0,523.0,473.0
Buckeye Bungalow,1,302.0,302.0,302.0,348.0,398.0,398.0,348.0
Buckeye Bungalow,2,449.0,449.0,449.0,494.0,544.0,544.0,494.0
Buckeye Bungalow,3,491.0,491.0,491.0,536.0,586.0,586.0,536.0
Buckeye Bungalow,4,470.0,470.0,470.0,515.0,565.0,565.0,515.0
Buckeye Bungalow,5,386.0,386.0,386.0,431.0,482.0,482.0,431.0
Buckeye Bungalow,6,323.0,323.0,323.0,368.0,419.0,419.0,368.0
Buckeye Bungalow,7,365.0,365.0,365.0,410.0,461.0,461.0,410.0
Buckeye Bungalow,8,365.0,365.0,365.0,410.0,461.0,461.0,410.0
Buckeye Bungalow,9,344.0,344.0,344.0,389.0,440.0,440.0,389.0
Buckeye Bungalow,10,449.0,449.0,449.0,494.0,544.0,544.0,494.0
Buckeye Bungalow,11,407.0,407.0,407.0,452.0,502.0,502.0,452.0
Buckeye Bungalow,12,428.0,428.0,428.0,473.0,523.0,523.0,473.0
Cedar Haus,1,185.0,185.0,185.0,220.0,259.0,259.0,220.0
Cedar Haus,2,298.0,298.0,298.0,333.0,372.0,372.0,333.0
Cedar Haus,3,330.0,330.0,330.0,365.0,404.0,404.0,365.0
Cedar Haus,4,314.0,314.0,314.0,349.0,388.0,388.0,349.0
Cedar Haus,5,250.0,250.0,250.0,285.0,323.0,323.0,285.0
Cedar Haus,6,201.0,201.0,201.0,236.0,275.0,275.0,236.0
Cedar Haus,7,233.0,233.0,233.0,268.0,307.0,307.0,268.0
Cedar Haus,8,233.0,233.0,233.0,268.0,307.0,307.0,268.0
Cedar Haus,9,217.0,217.0,217.0,252.0,291.0,291.0,252.0
Cedar Haus,10,298.0,298.0,298.0,333.0,372.0,372.0,333.0
Cedar Haus,11,266.0,266.0,266.0,301.0,340.0,340.0,301.0
Cedar Haus,12,282.0,282.0,282.0,317.0,356.0,356.0,317.0
Cocoon,1,302.0,302.0,302.0,348.0,398.0,398.0,348.0
Cocoon,2,449.0,449.0,449.0,494.0,544.0,544.0,494.0
Cocoon,3,491.0,491.0,491.0,536.0,586.0,586.0,536.0
Cocoon,4,470.0,470.0,470.0,515.0,565.0,565.0,515.0
Cocoon,5,386.0,386.0,386.0,431.0,482.0,482.0,431.0
Cocoon,6,323.0,323.0,323.0,368.0,419.0,419.0,368.0
Cocoon,7,365.0,365.0,365.0,410.0,461.0,461.0,410.0
Cocoon,8,365.0,365.0,365.0,410.0,461.0,461.0,410.0
Cocoon,9,344.0,344.0,344.0,389.0,440.0,440.0,389.0
Cocoon,10,449.0,449.0,449.0,494.0,544.0,544.0,494.0
Cocoon,11,407.0,407.0,407.0,452.0,502.0,502.0,452.0
Cocoon,12,428.0,428.0,428.0,473.0,523.0,523.0,473.0
Cypress Lodge | Sleeps 2,1,249.0,249.0,249.0,289.0,334.0,334.0,289.0
Cypress Lodge | Sleeps 2,2,378.0,378.0,378.0,418.0,463.0,463.0,418.0
Cypress Lodge | Sleeps 2,3,416.0,416.0,416.0,456.0,500.0,500.0,456.0
Cypress Lodge | Sleeps 2,4,398.0,398.0,398.0,438.0,482.0,482.0,438.0
