listing_group,month_index,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Basse 1,1,379,379,379,397,488,488,431
Basse 1,2,547,547,547,564,656,656,598
Basse 1,3,595,595,595,612,704,704,646
Basse 1,4,571,571,571,588,680,680,622
Basse 1,5,484,484,484,501,595,595,536
Basse 1,6,403,403,403,421,513,513,455
Basse 1,7,451,451,451,469,560,560,503
Basse 1,8,459,459,459,477,571,571,512
Basse 1,9,427,427,427,445,536,536,479
Basse 1,10,547,547,547,564,656,656,598
Basse 1,11,507,507,507,525,619,619,560
Basse 1,12,523,523,523,541,638,638,577
Basse 2,1,427,427,427,446,546,546,484
Basse 2,2,612,612,612,631,734,734,670
Basse 2,3,665,665,665,684,786,786,722
Basse 2,4,643,643,643,662,765,765,701
Basse 2,5,548,548,548,568,671,671,606
Basse 2,6,465,465,465,484,587,587,523
Basse 2,7,515,515,515,534,638,638,573
Basse 2,8,515,515,515,534,638,638,573
Basse 2,9,492,492,492,511,614,614,550
Basse 2,10,619,619,619,638,741,741,677
Basse 2,11,571,571,571,590,693,693,628
Basse 2,12,593,593,593,612,715,715,651
