unit_id,year_month,bookings,room_nights,revenue,adr,min_adr,max_adr,p05_adr,p95_adr
FLOHOM 4,2024-12,15,24,14916.5,621.52,512.5,735.0,533.5,735.0
FLOHOM 1,2024-12,18,26,13529.75,520.38,100.0,741.0,396.08,653.02
FLOHOM 5,2024-12,15,23,8729.65,379.55,92.5,638.0,257.58,542.45
FLOHOM 2,2024-12,14,20,9466.2,473.31,312.5,586.0,369.38,561.95
FLOHOM 3,2024-12,12,17,5263.29,309.61,205.28,409.0,234.83,390.3
FLOHOM 1,2025-01,10,16,8207.45,512.97,399.0,675.0,418.84,674.55
FLOHOM 4,2025-01,9,16,9414.9,588.43,372.45,685.0,435.87,685.0
FLOHOM 3,2025-01,9,14,4451.15,317.94,245.0,513.0,246.87,457.8
FLOHOM 5,2025-01,9,16,5962.5,372.66,313.75,460.0,323.75,450.0
FLOHOM 2,2025-01,9,12,5717.6,476.47,424.0,594.0,425.06,590.8
FLOHOM 6,2025-01,2,5,2596.4,519.28,512.5,523.8000000000001,513.07,523.24
FLOHOM 4,2025-02,8,11,6336.5,576.05,435.0,685.0,435.0,676.08
FLOHOM 1,2025-02,15,21,11582.65,551.55,422.45,724.15,442.78,699.54
FLOHOM 2,2025-02,12,18,7670.8,426.16,87.5,594.0,226.74,588.78
FLOHOM 3,2025-02,10,16,4671.45,291.97,201.65,347.0,207.77,341.15
FLOHOM 5,2025-02,13,19,7683.75,404.41,288.4125,500.0,356.42,486.2
FLOHOM 6,2025-02,10,14,8300.0,592.86,512.5,763.0,527.12,721.37
FLOHOM 1,2025-03,17,22,12529.75,569.53,426.0,814.5,447.68,698.18
FLOHOM 4,2025-03,16,25,12921.9,516.88,92.5,752.0,316.0,739.25
FLOHOM 3,2025-03,13,19,6711.3,353.23,242.0,489.0,266.0,479.4
FLOHOM 5,2025-03,14,25,9249.95,370.0,271.8375,541.0,281.75,492.9
FLOHOM 6,2025-03,13,26,13610.2,523.47,359.8,726.0,407.65,690.9
FLOHOM 2,2025-03,11,20,9040.7,452.04,302.55,582.5,329.58,582.0
FLOHOM 7,2025-03,7,11,3999.2999999999997,363.57,306.7,534.0,312.7,496.17
FLOHOM 1,2025-04,17,27,17515.9,648.74,446.32,1132.0,469.26,977.83
FLOHOM 3,2025-04,12,24,7820.4,325.85,240.0,529.0,242.42,498.21
FLOHOM 6,2025-04,10,20,10710.42,535.52,143.06,684.5,260.39,681.12
FLOHOM 2,2025-04,11,20,9942.75,497.14,367.0,759.5,368.75,694.5
FLOHOM 5,2025-04,13,22,9630.05,437.73,188.0,572.5,283.85,571.3
