booking_window,lead_time_min,lead_time_max,bookings,revenue,share_of_revenue_pct,share_of_bookings_pct,room_nights
0-7 days,0,7.0,543,297986.04,16.57,25.8,746
8-14 days,8,14.0,326,215829.13,12.0,15.49,493
15-30 days,15,30.0,439,341759.04,19.01,20.86,697
31-45 days,31,45.0,261,259065.85,14.41,12.4,481
46-60 days,46,60.0,150,155461.18,8.65,7.13,295
61-75 days,61,75.0,127,157133.98,8.74,6.03,269
76-90 days,76,90.0,72,90334.66,5.02,3.42,164
91-120 days,91,120.0,69,99413.82,5.53,3.28,154
121-180 days,121,180.0,70,107914.29,6.0,3.33,170
181-270 days,181,270.0,41,62629.83,3.48,1.95,112
271-365 days,271,365.0,6,8581.72,0.48,0.29,14
365+ days,366,,1,1795.0,0.1,0.05,3
