unit_id,channel,bookings,revenue,room_nights,share_of_revenue_pct,share_of_bookings_pct,adr
FLOHOM 3,Airbnb,90,45920.01,158,27.5,30.82,290.63
FLOHOM 1,Airbnb,114,113160.57,189,31.98,31.84,598.73
FLOHOM 2,Airbnb,77,60911.59,126,24.96,26.92,483.43
FLOHOM 4,Airbnb,49,52578.08,83,17.89,17.01,633.47
FLOHOM 5,Airbnb,61,41883.16,92,23.35,23.74,455.25
FLOHOM 6,Airbnb,20,20778.16,40,12.31,14.49,519.45
FLOHOM 7,Airbnb,45,44973.63,69,37.04,37.19,651.79
FLOHOM 8,Airbnb,26,18714.77,46,24.35,25.0,406.84
FLOHOM 9,Airbnb,15,12472.6,31,17.74,15.79,402.34
FLOHOM 10,Airbnb,12,9394.8,17,24.71,26.67,552.64
FLOHOM 14,Airbnb,13,10385.6,27,28.03,25.49,384.65
FLOHOM 12,Airbnb,14,14964.2,25,49.61,38.89,598.57
FLOHOM 11,Airbnb,17,7326.8,25,43.41,51.52,293.07
FLOHOM 1,Direct,226,211097.43,361,59.67,63.13,584.76
FLOHOM 2,Direct,185,156451.66,319,64.12,64.69,490.44
FLOHOM 3,Direct,188,111567.6,329,66.81,64.38,339.11
FLOHOM 4,Direct,238,239594.55,401,81.54,82.64,597.49
FLOHOM 5,Direct,196,137516.5,319,76.65,76.26,431.09
FLOHOM 6,Direct,118,147969.14,237,87.69,85.51,624.34
FLOHOM 7,Direct,76,76444.07,130,62.96,62.81,588.03
FLOHOM 8,Direct,78,58131.04,130,75.65,75.0,447.16
FLOHOM 9,Direct,80,57836.15,136,82.26,84.21,425.27
FLOHOM 14,Direct,35,24352.6,63,65.72,68.63,386.55
FLOHOM 10,Direct,32,27747.37,56,72.99,71.11,495.49
FLOHOM 12,Direct,22,15201.220000000001,32,50.39,61.11,475.04
FLOHOM 11,Direct,16,9552.15,30,56.59,48.48,318.4
FLOHOM 15,Direct,1,450.0,2,100.0,100.0,225.0
FLOHOM 2,VRBO,24,26628.27,46,10.91,8.39,578.88
FLOHOM 3,VRBO,14,9506.34,26,5.69,4.79,365.63
FLOHOM 1,VRBO,18,29542.65,41,8.35,5.03,720.55
FLOHOM 4,VRBO,1,1658.88,2,0.56,0.35,829.44
FLOHOM 10,VRBO,1,873.8,2,2.3,2.22,436.9
FLOHOM 14,VRBO,3,2319.15,8,6.26,5.88,289.89
