channel,year,bookings,revenue,room_nights,share_of_revenue_pct,share_of_bookings_pct,adr
Other,2024,38,23917.3,48,46.08,51.35,498.28
Direct,2025,156,131763.67,279,10.36,11.15,472.27
Airbnb,2024,18,16218.94,31,31.25,24.32,523.19
Airbnb,2025,362,306825.9,598,24.13,25.88,513.09
Other,2025,845,789123.38,1486,62.05,60.4,531.04
Direct,2024,16,10399.4,28,20.04,21.62,371.41
VRBO,2024,2,1369.75,3,2.64,2.7,456.58
VRBO,2025,36,43948.1,72,3.46,2.57,610.39
Direct,2026,78,65303.26,141,16.72,15.92,463.14
Airbnb,2026,173,132379.68,308,33.89,35.31,429.8
Other,2026,226,176409.84,397,45.16,46.12,444.36
VRBO,2026,13,16503.15,31,4.23,2.65,532.36
