date,revenue,room_nights,bookings,active_units_count,contributing_units_count,excluded_units_count,adr,occupancy_pct,revpar,revpar_smoothed,contributing_units_min_14d,contributing_units_max_14d,composition_shift_flag,revpar_percentile,base_tier_id,base_tier_label,tier_id,tier_label,tier_method
2024-01-01,171.2,1.0,1.0,3,3,0,171.2,6.67,230.82833333333335,175.0669047619048,3.0,3.0,False,7.7975376196990425,1,Tier 1,1,Soft,quantile_fallback
2024-01-02,383.98,1.0,1.0,3,3,0,383.98,6.67,241.74333333333334,159.33145833333333,3.0,3.0,False,6.155950752393981,1,Tier 1,1,Soft,quantile_fallback
2024-01-03,378.69,1.0,1.0,3,3,0,378.69,6.67,265.4241666666667,155.68907407407409,3.0,3.0,False,5.745554035567715,1,Tier 1,1,Soft,quantile_fallback
2024-01-04,0.0,0.0,0.0,3,3,0,,0.0,225.45083333333335,154.59650000000002,3.0,3.0,False,5.60875512995896,1,Tier 1,1,Soft,quantile_fallback
2024-01-05,601.265,2.0,2.0,3,3,0,300.63,13.33,100.21083333333333,153.70257575757577,3.0,3.0,False,5.471956224350205,1,Tier 1,1,Soft,quantile_fallback
2024-01-06,601.265,2.0,0.0,3,3,0,300.63,13.33,100.21083333333333,151.03368055555555,3.0,3.0,False,4.924760601915184,1,Tier 1,1,Soft,quantile_fallback
2024-01-07,369.6,1.0,1.0,3,3,0,369.6,6.67,61.6,146.83525641025642,3.0,3.0,False,3.556771545827633,1,Tier 1,1,Soft,quantile_fallback
2024-01-08,295.1,1.0,1.0,3,3,0,295.1,6.67,49.18333333333334,143.55988095238095,3.0,3.0,False,3.146374829001368,1,Tier 1,1,Soft,quantile_fallback
2024-01-09,295.1,1.0,0.0,3,3,0,295.1,6.67,126.55,140.85599206349207,3.0,3.0,False,2.7359781121751023,1,Tier 1,1,Soft,quantile_fallback
2024-01-10,0.0,0.0,0.0,3,3,0,,0.0,144.76333333333332,131.6574603174603,3.0,3.0,False,1.7783857729138166,1,Tier 1,1,Soft,quantile_fallback
2024-01-11,0.0,0.0,0.0,3,3,0,,0.0,144.76333333333332,126.90232142857143,3.0,3.0,False,1.3679890560875512,1,Tier 1,1,Soft,quantile_fallback
2024-01-12,350.035,1.0,1.0,3,3,0,350.04,6.67,121.67583333333334,128.77910714285716,3.0,3.0,False,1.5047879616963065,1,Tier 1,1,Soft,quantile_fallback
2024-01-13,578.725,2.0,1.0,3,3,0,289.36,13.33,96.45416666666667,148.92511904761906,3.0,3.0,False,4.514363885088919,1,Tier 1,1,Soft,quantile_fallback
2024-01-14,605.88,2.0,2.0,3,3,0,302.94,13.33,100.98,161.04440476190476,3.0,3.0,False,6.566347469220246,1,Tier 1,1,Soft,quantile_fallback
2024-01-15,369.6,1.0,1.0,3,3,0,369.6,6.67,192.97388888888887,156.64440476190475,3.0,3.0,False,6.019151846785226,1,Tier 1,1,Soft,quantile_fallback
2024-01-16,0.0,0.0,0.0,3,3,0,,0.0,112.96388888888889,153.1313095238095,3.0,3.0,False,5.33515731874145,1,Tier 1,1,Soft,quantile_fallback
2024-01-17,0.0,0.0,0.0,3,3,0,,0.0,198.8522222222222,144.0920238095238,3.0,3.0,False,3.283173734610123,1,Tier 1,1,Soft,quantile_fallback
2024-01-18,160.695,1.0,1.0,3,3,0,160.7,6.67,251.72583333333333,140.45257936507934,3.0,3.0,False,2.5991792065663475,1,Tier 1,1,Soft,quantile_fallback
2024-01-19,958.985,3.0,2.0,3,3,0,319.66,20.0,382.25499999999994,143.21742063492061,3.0,3.0,False,3.009575923392613,1,Tier 1,1,Soft,quantile_fallback
2024-01-20,798.29,2.0,0.0,3,3,0,399.14,13.33,269.8808333333333,160.11833333333334,3.0,3.0,False,6.292749658002736,1,Tier 1,1,Soft,quantile_fallback
2024-01-21,0.0,0.0,0.0,3,3,0,,0.0,0.0,165.34345238095236,3.0,3.0,False,6.976744186046512,1,Tier 1,1,Soft,quantile_fallback
