date,unit_id,active,listing_start_date,start_date_source,out_of_window,property_revenue,property_room_nights,bookings,property_revpar,month_day,listing_revpar_doy_avg,contributing_year_count,data_years_contributing,insufficient_data,tier_id,tier_label
2024-12-01,FLOHOM 1,True,2024-12-01,config,False,0.0,0.0,0.0,0.0,12-01,224.5,2.0,"2024,2025",False,3,Shoulder Low
2024-12-02,FLOHOM 1,True,2024-12-01,config,False,536.0,1.0,1.0,536.0,12-02,492.5,2.0,"2024,2025",False,3,Shoulder Low
2024-12-03,FLOHOM 1,True,2024-12-01,config,False,741.0,1.0,1.0,741.0,12-03,370.5,2.0,"2024,2025",False,2,Low
2024-12-04,FLOHOM 1,True,2024-12-01,config,False,0.0,0.0,0.0,0.0,12-04,313.0,2.0,"2024,2025",False,2,Low
2024-12-05,FLOHOM 1,True,2024-12-01,config,False,560.0,1.0,1.0,560.0,12-05,593.0,2.0,"2024,2025",False,2,Low
2024-12-06,FLOHOM 1,True,2024-12-01,config,False,632.0,1.0,1.0,632.0,12-06,600.0875,2.0,"2024,2025",False,2,Low
2024-12-07,FLOHOM 1,True,2024-12-01,config,False,513.0,1.0,1.0,513.0,12-07,540.5875,2.0,"2024,2025",False,2,Low
2024-12-08,FLOHOM 1,True,2024-12-01,config,False,513.0,1.0,0.0,513.0,12-08,256.5,2.0,"2024,2025",False,2,Low
2024-12-09,FLOHOM 1,True,2024-12-01,config,False,100.0,1.0,1.0,100.0,12-09,50.0,2.0,"2024,2025",False,2,Low
2024-12-10,FLOHOM 1,True,2024-12-01,config,False,100.0,1.0,0.0,100.0,12-10,50.0,2.0,"2024,2025",False,2,Low
2024-12-11,FLOHOM 1,True,2024-12-01,config,False,560.0,1.0,1.0,560.0,12-11,280.0,2.0,"2024,2025",False,2,Low
2024-12-12,FLOHOM 1,True,2024-12-01,config,False,0.0,0.0,0.0,0.0,12-12,327.75,2.0,"2024,2025",False,2,Low
2024-12-13,FLOHOM 1,True,2024-12-01,config,False,596.9,1.0,1.0,596.9,12-13,626.2,2.0,"2024,2025",False,1,Soft
2024-12-14,FLOHOM 1,True,2024-12-01,config,False,596.9,1.0,0.0,596.9,12-14,573.45,2.0,"2024,2025",False,1,Soft
2024-12-15,FLOHOM 1,True,2024-12-01,config,False,525.0,1.0,1.0,525.0,12-15,262.5,2.0,"2024,2025",False,2,Low
2024-12-16,FLOHOM 1,True,2024-12-01,config,False,0.0,0.0,0.0,0.0,12-16,232.5,2.0,"2024,2025",False,2,Low
2024-12-17,FLOHOM 1,True,2024-12-01,config,False,560.0,1.0,1.0,560.0,12-17,280.0,2.0,"2024,2025",False,2,Low
2024-12-18,FLOHOM 1,True,2024-12-01,config,False,448.3333333333333,1.0,1.0,448.3333333333333,12-18,479.66666666666663,2.0,"2024,2025",False,2,Low
2024-12-19,FLOHOM 1,True,2024-12-01,config,False,448.3333333333333,1.0,0.0,448.3333333333333,12-19,444.16666666666663,2.0,"2024,2025",False,2,Low
2024-12-20,FLOHOM 1,True,2024-12-01,config,False,448.3333333333333,1.0,0.0,448.3333333333333,12-20,484.0666666666666,2.0,"2024,2025",False,2,Low
2024-12-21,FLOHOM 1,True,2024-12-01,config,False,515.0,1.0,1.0,515.0,12-21,517.4,2.0,"2024,2025",False,2,Low
2024-12-22,FLOHOM 1,True,2024-12-01,config,False,524.35,1.0,1.0,524.35,12-22,262.175,2.0,"2024,2025",False,2,Low
2024-12-23,FLOHOM 1,True,2024-12-01,config,False,560.0,1.0,1.0,560.0,12-23,280.0,2.0,"2024,2025",False,3,Shoulder Low
2024-12-24,FLOHOM 1,True,2024-12-01,config,False,510.5,1.0,1.0,510.5,12-24,512.75,2.0,"2024,2025",False,3,Shoulder Low
2024-12-25,FLOHOM 1,True,2024-12-01,config,False,510.5,1.0,0.0,510.5,12-25,255.25,2.0,"2024,2025",False,3,Shoulder Low
2024-12-26,FLOHOM 1,True,2024-12-01,config,False,560.0,1.0,1.0,560.0,12-26,510.5,2.0,"2024,2025",False,4,Shoulder High
2024-12-27,FLOHOM 1,True,2024-12-01,config,False,637.5,1.0,1.0,637.5,12-27,549.25,2.0,"2024,2025",False,4,Shoulder High
2024-12-28,FLOHOM 1,True,2024-12-01,config,False,637.5,1.0,0.0,637.5,12-28,551.25,2.0,"2024,2025",False,4,Shoulder High
2024-12-29,FLOHOM 1,True,2024-12-01,config,False,0.0,0.0,0.0,0.0,12-29,210.0,2.0,"2024,2025",False,3,Shoulder Low
2024-12-30,FLOHOM 1,True,2024-12-01,config,False,597.8,1.0,1.0,597.8,12-30,508.9,2.0,"2024,2025",False,3,Shoulder Low
