unit_id,season,season_order,season_revenue,season_room_nights,season_bookings,season_adr,season_revpar,season_days,season_score_1_10,season_percentile
FLOHOM 1,Soft,1,20390.725,39.0,25.0,522.84,237.1,86,9.549999999999999,95.0
FLOHOM 10,Soft,1,1872.5,4.0,3.0,468.12,38.21,49,1.0,0.0
FLOHOM 11,Soft,1,6385.3,23.0,10.0,277.62,130.31,49,4.225,35.8
FLOHOM 12,Soft,1,7046.5,16.0,8.0,440.41,143.81,49,5.2,46.7
FLOHOM 14,Soft,1,5073.0,15.0,7.0,338.2,103.53,49,2.7249999999999996,19.2
FLOHOM 2,Soft,1,11562.1,25.0,18.0,462.48,134.44,86,7.074999999999999,67.5
FLOHOM 3,Soft,1,8636.2,29.0,18.0,297.8,100.42,86,5.125,45.8
FLOHOM 4,Soft,1,12317.7,24.0,15.0,513.24,251.38,49,8.725000000000001,85.8
FLOHOM 5,Soft,1,9899.575,27.0,17.0,366.65,202.03,49,7.225,69.2
FLOHOM 6,Soft,1,12995.64,26.0,13.0,499.83,265.22,49,9.475,94.2
FLOHOM 7,Soft,1,8543.5,15.0,11.0,569.57,174.36,49,5.949999999999999,55.0
FLOHOM 8,Soft,1,5793.7,17.0,7.0,340.81,118.24,49,3.4749999999999996,27.5
FLOHOM 9,Soft,1,3973.25,10.0,5.0,397.32,81.09,49,1.75,8.3
FLOHOM 1,Low,2,30037.25,57.0,37.0,526.97,349.27,86,9.549999999999999,95.0
FLOHOM 10,Low,2,11449.75,23.0,14.0,497.82,190.83,60,4.225,35.8
FLOHOM 11,Low,2,8850.2,31.0,21.0,285.49,147.5,60,2.5,16.7
FLOHOM 12,Low,2,13720.45,27.0,15.0,508.16,228.67,60,7.225,69.2
FLOHOM 14,Low,2,6880.333333333333,22.0,10.0,312.74,114.67,60,1.0,0.0
FLOHOM 2,Low,2,19506.55,42.0,26.0,464.44,226.82,86,7.524999999999999,72.5
FLOHOM 3,Low,2,12712.24,45.0,26.0,282.49,147.82,86,4.824999999999999,42.5
FLOHOM 4,Low,2,25067.45,44.0,24.0,569.71,417.79,60,9.475,94.2
FLOHOM 5,Low,2,12973.175,36.0,17.0,360.37,216.22,60,6.25,58.3
FLOHOM 6,Low,2,22900.875,44.0,22.0,520.47,369.37,62,8.725000000000001,85.8
FLOHOM 7,Low,2,12369.25,25.0,14.0,494.77,206.15,60,4.975,44.2
FLOHOM 8,Low,2,11198.6,29.0,16.0,386.16,186.64,60,3.4749999999999996,27.5
FLOHOM 9,Low,2,8289.222222222223,22.0,12.0,376.78,138.15,60,1.75,8.3
FLOHOM 1,Shoulder Low,3,38006.425,68.0,43.0,558.92,441.94,86,10.0,100.0
FLOHOM 10,Shoulder Low,3,12128.57,26.0,16.0,466.48,258.05,47,5.361538461538461,48.5
FLOHOM 11,Shoulder Low,3,9268.03,36.0,15.0,257.45,197.19,47,2.5923076923076924,17.7
FLOHOM 12,Shoulder Low,3,11357.3,24.0,16.0,473.22,241.64,47,4.669230769230769,40.8
FLOHOM 13,Shoulder Low,3,4666.75,10.0,6.0,466.68,194.45,24,1.4153846153846155,4.6
FLOHOM 14,Shoulder Low,3,7798.933333333333,23.0,12.0,339.08,165.93,47,1.4846153846153847,5.4
FLOHOM 2,Shoulder Low,3,27272.0,58.0,34.0,470.21,317.12,86,7.9230769230769225,76.9
FLOHOM 3,Shoulder Low,3,16364.983333333334,51.0,30.0,320.88,190.29,86,4.6,40.0
FLOHOM 4,Shoulder Low,3,29612.566666666666,52.0,33.0,569.47,417.08,71,8.823076923076924,86.9
