year_month,revenue,room_nights,adr,bookings,occupancy_pct,revpar
2024-12,51905.39,110,471.87,74,118.28,558.12
2025-01,36350.0,79,460.13,48,84.95,390.86
2025-02,46245.15,99,467.12,68,83.9,391.91
2025-03,68063.1,148,459.89,91,68.2,313.65
2025-04,84621.98,169,500.72,93,67.6,338.49
2025-05,128267.85,219,585.7,128,78.49,459.74
2025-06,128402.77,224,573.23,124,82.96,475.57
2025-07,145367.19,254,572.31,142,80.89,462.95
2025-08,165484.92,289,572.61,163,82.34,471.47
2025-09,133204.67,238,559.68,143,61.66,345.09
2025-10,145300.7,288,504.52,162,71.46,360.55
2025-11,91568.82,200,457.84,112,51.28,234.79
2025-12,98783.9,228,433.26,125,56.58,245.12
2026-01,57725.24,143,403.67,80,35.48,143.24
2026-02,61657.25,141,437.29,80,38.74,169.39
2026-03,123958.03,286,433.42,154,66.2,286.94
2026-04,147255.41,307,479.66,176,69.77,334.67
