month_index,month_name,avg_basis_year_count,revenue,room_nights,adr,bookings,occupancy_pct,revpar,performance_score_1_10,performance_rank_provisional,rank_filter_min_arrival,rank_filter_max_arrival
1,January,2,47037.62,111.0,423.76,64.0,67.14,284.5,1,False,,
2,February,2,53951.2,120.0,449.59,74.0,74.69,335.8,3,False,,
3,March,2,96010.56,217.0,442.44,122.5,100.31,443.81,4,False,,
4,April,2,115938.7,238.0,487.14,134.5,103.48,504.08,6,False,,
5,May,1,128267.85,219.0,585.7,128.0,84.77,496.52,6,False,,
6,June,1,128402.77,224.0,573.23,124.0,89.6,513.61,8,False,,
7,July,1,145367.19,254.0,572.31,142.0,94.07,538.4,9,False,,
8,August,1,165484.92,289.0,572.61,163.0,102.36,586.13,10,False,,
9,September,1,133204.67,238.0,559.68,143.0,82.45,461.45,6,False,,
10,October,1,145300.7,288.0,504.52,162.0,96.11,484.87,7,False,,
11,November,1,91568.82,200.0,457.84,112.0,68.97,315.75,3,False,,
12,December,2,75344.64,169.0,445.83,99.5,51.11,227.86,2,False,,
