unit_id,revenue,revenue_yoy_pct,room_nights,bookings,bookings_yoy_pct,adr,adr_yoy_pct,occupancy_pct,revpar
FLOHOM 1,241842.45,-16.74,392,229,-32.2,616.95,0.86,75.97,468.69
FLOHOM 10,61630.82,,125,73,,493.05,,44.64,220.11
FLOHOM 11,41046.58,,141,75,,291.11,,59.24,172.46
FLOHOM 12,56410.67,,114,70,,494.83,,45.24,223.85
FLOHOM 13,17241.15,,32,21,,538.79,,54.24,292.22
FLOHOM 14,54896.2,,151,77,,363.55,,50.17,182.38
FLOHOM 15,2975.32,,7,5,,425.05,,41.18,175.02
FLOHOM 2,163597.95,-21.96,311,181,-37.21,526.04,1.16,60.27,317.05
FLOHOM 3,119584.16,-27.04,325,186,-22.73,367.95,-11.24,62.98,231.75
FLOHOM 4,232887.76,4.03,380,225,2.17,612.86,-0.03,87.36,535.37
FLOHOM 5,161884.2,-12.57,364,219,-12.24,444.74,0.97,83.68,372.15
FLOHOM 6,210784.03,20.37,351,177,11.43,600.52,5.73,79.41,476.89
FLOHOM 7,157470.33,136.43,268,162,141.18,587.58,6.22,63.06,370.52
FLOHOM 8,102136.3,459.04,243,140,414.29,420.31,16.81,61.36,257.92
FLOHOM 9,89774.45,,218,123,,411.81,,58.13,239.4
PROPERTY,1714162.37,66.01,3422,1963,63.33,500.92,-6.3,65.73,329.27
