period_label,period_start,period_end,unit_id,revenue,room_nights,bookings,adr,occupancy_pct,revpar
2026_Q1,2026-01-01,2026-03-31,FLOHOM 1,26727.15,49,27,545.45,54.44,296.97
2026_Q1,2026-01-01,2026-03-31,FLOHOM 10,12724.75,30,16,424.16,33.33,141.39
2026_Q1,2026-01-01,2026-03-31,FLOHOM 11,15230.28,59,28,258.14,65.56,169.23
2026_Q1,2026-01-01,2026-03-31,FLOHOM 12,18139.0,40,23,453.48,44.44,201.54
2026_Q1,2026-01-01,2026-03-31,FLOHOM 13,6068.4,11,7,551.67,37.93,209.26
2026_Q1,2026-01-01,2026-03-31,FLOHOM 14,11522.85,34,16,338.91,37.78,128.03
2026_Q1,2026-01-01,2026-03-31,FLOHOM 2,16620.15,37,19,449.19,41.11,184.67
2026_Q1,2026-01-01,2026-03-31,FLOHOM 3,10296.0,39,22,264.0,43.33,114.4
2026_Q1,2026-01-01,2026-03-31,FLOHOM 4,27994.45,53,33,528.2,58.89,311.05
2026_Q1,2026-01-01,2026-03-31,FLOHOM 5,20788.7,52,31,399.78,57.78,230.99
2026_Q1,2026-01-01,2026-03-31,FLOHOM 6,30818.99,54,30,570.72,60.0,342.43
2026_Q1,2026-01-01,2026-03-31,FLOHOM 7,21544.25,41,25,525.47,45.56,239.38
2026_Q1,2026-01-01,2026-03-31,FLOHOM 8,15398.15,44,22,349.96,48.89,171.09
2026_Q1,2026-01-01,2026-03-31,FLOHOM 9,9467.4,27,15,350.64,30.0,105.19
2026_Q1,2026-01-01,2026-03-31,PROPERTY,243340.52,570,314,426.91,47.54,202.95
