tier_id,tier_label,start_date,end_date,length_days
3,Shoulder Low,2024-12-01,2024-12-02,2
2,Low,2024-12-03,2024-12-12,10
1,Soft,2024-12-13,2024-12-14,2
2,Low,2024-12-15,2024-12-22,8
3,Shoulder Low,2024-12-23,2024-12-25,3
4,Shoulder High,2024-12-26,2024-12-28,3
3,Shoulder Low,2024-12-29,2025-01-02,5
2,Low,2025-01-03,2025-01-05,3
1,Soft,2025-01-06,2025-02-09,35
2,Low,2025-02-10,2025-02-14,5
3,Shoulder Low,2025-02-15,2025-03-13,27
4,Shoulder High,2025-03-14,2025-03-17,4
3,Shoulder Low,2025-03-18,2025-03-19,2
4,Shoulder High,2025-03-20,2025-04-18,30
5,High,2025-04-19,2025-05-15,27
6,Peak,2025-05-16,2025-05-30,15
5,High,2025-05-31,2025-06-07,8
6,Peak,2025-06-08,2025-06-09,2
5,High,2025-06-10,2025-06-11,2
6,Peak,2025-06-12,2025-07-11,30
5,High,2025-07-12,2025-07-12,1
6,Peak,2025-07-13,2025-07-30,18
5,High,2025-07-31,2025-07-31,1
6,Peak,2025-08-01,2025-08-01,1
5,High,2025-08-02,2025-08-07,6
6,Peak,2025-08-08,2025-08-27,20
5,High,2025-08-28,2025-09-04,8
4,Shoulder High,2025-09-05,2025-09-08,4
3,Shoulder Low,2025-09-09,2025-09-12,4
4,Shoulder High,2025-09-13,2025-09-14,2
5,High,2025-09-15,2025-09-28,14
4,Shoulder High,2025-09-29,2025-10-06,8
5,High,2025-10-07,2025-10-19,13
4,Shoulder High,2025-10-20,2025-10-25,6
3,Shoulder Low,2025-10-26,2025-10-31,6
2,Low,2025-11-01,2025-11-09,9
1,Soft,2025-11-10,2025-11-13,4
2,Low,2025-11-14,2025-11-20,7
3,Shoulder Low,2025-11-21,2025-11-22,2
2,Low,2025-11-23,2025-11-25,3
3,Shoulder Low,2025-11-26,2025-11-28,3
2,Low,2025-11-29,2025-12-01,3
3,Shoulder Low,2025-12-02,2025-12-02,1
2,Low,2025-12-03,2025-12-05,3
1,Soft,2025-12-06,2025-12-06,1
2,Low,2025-12-07,2025-12-10,4
1,Soft,2025-12-11,2025-12-11,1
2,Low,2025-12-12,2025-12-24,13
3,Shoulder Low,2025-12-25,2025-12-31,7
2,Low,2026-01-01,2026-01-06,6
1,Soft,2026-01-07,2026-02-15,40
2,Low,2026-02-16,2026-02-22,7
1,Soft,2026-02-23,2026-02-25,3
2,Low,2026-02-26,2026-03-02,5
3,Shoulder Low,2026-03-03,2026-03-23,21
4,Shoulder High,2026-03-24,2026-04-07,15
3,Shoulder Low,2026-04-08,2026-04-10,3
4,Shoulder High,2026-04-11,2026-04-20,10
5,High,2026-04-21,2026-04-25,5
4,Shoulder High,2026-04-26,2026-04-29,4
5,High,2026-04-30,2026-04-30,1
