tier_id,tier_label,lead_band,adr,revenue,revenue_share_of_tier,booking_count,room_nights,room_night_share_of_tier,occupancy_pct_of_tier_capacity,tier_occupancy_pct
1,Soft,0-7 days,395.07,36346.65,26.88,64,92,29.3,6.69,22.82
1,Soft,8-14 days,347.77,10781.0,7.97,17,31,9.87,2.25,22.82
1,Soft,15-30 days,453.03,36242.49,26.8,46,80,25.48,5.81,22.82
1,Soft,31-45 days,468.33,21074.9,15.58,24,45,14.33,3.27,22.82
1,Soft,46-60 days,424.52,8490.3,6.28,8,20,6.37,1.45,22.82
1,Soft,61-75 days,388.35,6213.55,4.59,7,16,5.1,1.16,22.82
1,Soft,76-90 days,443.22,2659.35,1.97,3,6,1.91,0.44,22.82
1,Soft,91-120 days,557.3,1114.6,0.82,1,2,0.64,0.15,22.82
1,Soft,121-180 days,640.46,5764.15,4.26,4,9,2.87,0.65,22.82
1,Soft,181-270 days,504.29,6555.8,4.85,5,13,4.14,0.94,22.82
2,Low,0-7 days,383.0,58216.0,28.8,107,152,32.97,11.05,33.5
2,Low,8-14 days,395.65,26112.9,12.92,39,66,14.32,4.8,33.5
2,Low,15-30 days,451.76,44723.95,22.13,59,99,21.48,7.19,33.5
2,Low,31-45 days,490.79,19140.85,9.47,20,39,8.46,2.83,33.5
2,Low,46-60 days,492.54,15268.7,7.55,14,31,6.72,2.25,33.5
2,Low,61-75 days,538.52,12924.4,6.39,12,24,5.21,1.74,33.5
2,Low,76-90 days,488.22,8788.0,4.35,7,18,3.9,1.31,33.5
2,Low,91-120 days,470.16,7992.74,3.95,8,17,3.69,1.24,33.5
2,Low,121-180 days,527.34,2636.7,1.3,3,5,1.08,0.36,33.5
2,Low,181-270 days,631.25,3787.5,1.87,3,6,1.3,0.44,33.5
2,Low,271-365 days,631.5,2526.0,1.25,2,4,0.87,0.29,33.5
3,Shoulder Low,0-7 days,400.71,68121.13,24.91,112,170,29.01,12.35,42.59
3,Shoulder Low,8-14 days,404.66,41275.7,15.09,58,102,17.41,7.41,42.59
3,Shoulder Low,15-30 days,466.65,53198.37,19.45,66,114,19.45,8.28,42.59
3,Shoulder Low,31-45 days,585.17,34525.1,12.62,34,59,10.07,4.29,42.59
3,Shoulder Low,46-60 days,510.83,31671.3,11.58,30,62,10.58,4.51,42.59
3,Shoulder Low,61-75 days,521.39,18770.1,6.86,15,36,6.14,2.62,42.59
3,Shoulder Low,76-90 days,672.0,3360.0,1.23,3,5,0.85,0.36,42.59
3,Shoulder Low,91-120 days,624.32,6243.2,2.28,5,10,1.71,0.73,42.59
3,Shoulder Low,121-180 days,647.45,7121.9,2.6,5,11,1.88,0.8,42.59
3,Shoulder Low,181-270 days,519.43,7791.4,2.85,6,15,2.56,1.09,42.59
3,Shoulder Low,271-365 days,716.5,1433.0,0.52,1,2,0.34,0.15,42.59
4,Shoulder High,0-7 days,398.57,80511.62,25.39,137,202,30.51,14.68,48.11
4,Shoulder High,8-14 days,450.37,48189.87,15.19,66,107,16.16,7.78,48.11
4,Shoulder High,15-30 days,513.1,57466.93,18.12,64,112,16.92,8.14,48.11
4,Shoulder High,31-45 days,522.01,41238.44,13.0,40,79,11.93,5.74,48.11
4,Shoulder High,46-60 days,507.33,23844.45,7.52,19,47,7.1,3.42,48.11
4,Shoulder High,61-75 days,579.81,25511.85,8.04,19,44,6.65,3.2,48.11
4,Shoulder High,76-90 days,514.12,8225.93,2.59,8,16,2.42,1.16,48.11
4,Shoulder High,91-120 days,729.32,8751.85,2.76,6,12,1.81,0.87,48.11
4,Shoulder High,121-180 days,558.9,14531.5,4.58,11,26,3.93,1.89,48.11
4,Shoulder High,181-270 days,491.6,4916.0,1.55,3,10,1.51,0.73,48.11
4,Shoulder High,271-365 days,566.89,3968.2,1.25,2,7,1.06,0.51,48.11
5,High,0-7 days,455.39,89712.8,23.99,145,197,28.93,14.32,49.49
5,High,8-14 days,464.96,52540.89,14.05,76,113,16.59,8.21,49.49
5,High,15-30 days,584.61,73076.56,19.55,73,125,18.36,9.08,49.49
5,High,31-45 days,607.05,35815.7,9.58,27,59,8.66,4.29,49.49
5,High,46-60 days,654.3,29443.5,7.87,23,45,6.61,3.27,49.49
5,High,61-75 days,714.64,20009.85,5.35,13,28,4.11,2.03,49.49
5,High,76-90 days,616.93,17890.95,4.79,12,29,4.26,2.11,49.49
5,High,91-120 days,679.49,28538.7,7.63,18,42,6.17,3.05,49.49
5,High,121-180 days,673.18,12790.5,3.42,6,19,2.79,1.38,49.49
5,High,181-270 days,586.2,14068.8,3.76,8,24,3.52,1.74,49.49
6,Peak,0-7 days,429.45,57545.8,14.0,97,134,18.74,9.74,51.96
6,Peak,8-14 days,511.23,45499.77,11.07,59,89,12.45,6.47,51.96
6,Peak,15-30 days,557.31,71892.95,17.49,81,129,18.04,9.38,51.96
6,Peak,31-45 days,639.22,43466.79,10.57,35,68,9.51,4.94,51.96
6,Peak,46-60 days,602.42,21686.95,5.28,17,36,5.03,2.62,51.96
6,Peak,61-75 days,687.5,37812.54,9.2,28,55,7.69,4.0,51.96
6,Peak,76-90 days,576.66,16723.0,4.07,11,29,4.06,2.11,51.96
6,Peak,91-120 days,751.1,33048.6,8.04,20,44,6.15,3.2,51.96
6,Peak,121-180 days,680.22,51016.35,12.41,30,75,10.49,5.45,51.96
6,Peak,181-270 days,571.08,28554.0,6.95,17,50,6.99,3.63,51.96
6,Peak,271-365 days,683.33,2050.0,0.5,1,3,0.42,0.22,51.96
6,Peak,365+ days,598.33,1795.0,0.44,1,3,0.42,0.22,51.96
