sweep_type,gap_score_basis,gap_threshold_value,quantile_fallback_tiers,selected_method,fallback_used,fallback_reason,final_tier_count,candidate_tiers_percentile_int,candidate_tiers_zscore,max_gap_percentile_int,max_gap_zscore,min_adjacent_step_revpar,avg_adjacent_step_revpar
gap_threshold,percentile_int,3.0,6,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,6,1,1,1.0,0.1,44.89000000000004,65.28200000000001
gap_threshold,percentile_int,4.0,6,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,6,1,1,1.0,0.1,44.89000000000004,65.28200000000001
gap_threshold,percentile_int,5.0,6,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,6,1,1,1.0,0.1,44.89000000000004,65.28200000000001
gap_threshold,percentile_int,6.0,6,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,6,1,1,1.0,0.1,44.89000000000004,65.28200000000001
gap_threshold,percentile_int,7.0,6,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,6,1,1,1.0,0.1,44.89000000000004,65.28200000000001
gap_threshold,percentile_int,8.0,6,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,6,1,1,1.0,0.1,44.89000000000004,65.28200000000001
gap_threshold,percentile_int,10.0,6,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,6,1,1,1.0,0.1,44.89000000000004,65.28200000000001
gap_threshold,revpar_zscore,3.0,6,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,6,1,1,1.0,0.1,44.89000000000004,65.28200000000001
gap_threshold,revpar_zscore,4.0,6,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,6,1,1,1.0,0.1,44.89000000000004,65.28200000000001
gap_threshold,revpar_zscore,5.0,6,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,6,1,1,1.0,0.1,44.89000000000004,65.28200000000001
gap_threshold,revpar_zscore,6.0,6,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,6,1,1,1.0,0.1,44.89000000000004,65.28200000000001
gap_threshold,revpar_zscore,7.0,6,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,6,1,1,1.0,0.1,44.89000000000004,65.28200000000001
gap_threshold,revpar_zscore,8.0,6,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,6,1,1,1.0,0.1,44.89000000000004,65.28200000000001
gap_threshold,revpar_zscore,10.0,6,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,6,1,1,1.0,0.1,44.89000000000004,65.28200000000001
quantile_tier_count,revpar_zscore,6.0,5,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,5,1,1,1.0,0.1,52.35000000000002,77.6275
quantile_tier_count,revpar_zscore,6.0,6,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,6,1,1,1.0,0.1,44.89000000000004,65.28200000000001
quantile_tier_count,revpar_zscore,6.0,7,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,7,1,1,1.0,0.1,27.850000000000023,57.01333333333334
quantile_tier_count,revpar_zscore,6.0,8,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,8,1,1,1.0,0.1,10.789999999999964,51.87142857142857
quantile_tier_count,revpar_zscore,6.0,9,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,9,1,1,1.0,0.1,8.389999999999986,46.072500000000005
quantile_tier_count,revpar_zscore,6.0,10,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,10,1,1,1.0,0.1,-3.9700000000000273,41.09111111111111
