Listing Id,Listing Name,PMS Name,Reason,Start Date,End Date,Price,Currency,Price Type,Minimum Stay,Minimum Price,Minimum Price Type,Maximum Price,Maximum Price Type
146908,"FLOHOM 01 -- FLOHOM 01 | Inner Harbor, Baltimore",hostaway,,2027-01-04,2027-01-04,369,USD,fixed,2,,fixed,,fixed
146944,"FLOHOM 02 -- FLOHOM 02 | Inner Harbor - Canton, Baltimore",hostaway,,2027-01-04,2027-01-04,312,USD,fixed,2,,fixed,,fixed
146946,"FLOHOM 03 -- FLOHOM 03 | Magothy River, Annapolis",hostaway,,2027-01-04,2027-01-04,240,USD,fixed,2,,fixed,,fixed
260001,FLOHOM 04 -- FLOHOM 04 | National Harbor,hostaway,,2027-01-04,2027-01-04,369,USD,fixed,2,,fixed,,fixed
278502,"FLOHOM 05 -- FLOHOM 05 | Inner Harbor, Baltimore",hostaway,,2027-01-04,2027-01-04,280,USD,fixed,2,,fixed,,fixed
345316,FLOHOM 06 -- FLOHOM 06 | National Harbor,hostaway,,2027-01-04,2027-01-04,391,USD,fixed,2,,fixed,,fixed
366176,"FLOHOM 07 -- FLOHOM 07 | Inner Harbor - Canton, Baltimore",hostaway,,2027-01-04,2027-01-04,324,USD,fixed,2,,fixed,,fixed
376368,FLOHOM 08 -- FLOHOM 08 | National Harbor,hostaway,,2027-01-04,2027-01-04,280,USD,fixed,2,,fixed,,fixed
383097,FLOHOM 09 -- FLOHOM 09 | Baltimore Peninsula,hostaway,,2027-01-04,2027-01-04,280,USD,fixed,2,,fixed,,fixed
404358,FLOHOM 10 -- FLOHOM 10 | Virginia Beach,hostaway,,2027-01-04,2027-01-04,324,USD,fixed,2,,fixed,,fixed
427313,FLOHOM 11 -- FLOHOM 11 | Virginia Beach,hostaway,,2027-01-04,2027-01-04,240,USD,fixed,2,,fixed,,fixed
422608,"FLOHOM 12 -- FLOHOM 12 | Inner Harbor - Fells Point, Baltimore",hostaway,,2027-01-04,2027-01-04,324,USD,fixed,2,,fixed,,fixed
485833,"FLOHOM 13 -- FLOHOM 13 | Inner Harbor, Baltimore",hostaway,,2027-01-04,2027-01-04,391,USD,fixed,2,,fixed,,fixed
407612,"FLOHOM 14 -- FLOHOM 14 | Pasadena, Chesapeake Bay",hostaway,,2027-01-04,2027-01-04,240,USD,fixed,2,,fixed,,fixed
467334,FLOHOM 15 -- FLOHOM 15 | North Myrtle Beach,hostaway,,2027-01-04,2027-01-04,372,USD,fixed,2,,fixed,,fixed
