unit_id,month_index,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
FLOHOM 1,1,481.0,444.0,518.0,555.0,644.0,651.0,592.0
FLOHOM 1,2,532.0,495.0,569.0,606.0,695.0,702.0,643.0
FLOHOM 1,3,583.0,546.0,620.0,657.0,746.0,753.0,694.0
FLOHOM 1,4,641.0,604.0,678.0,715.0,803.0,811.0,752.0
FLOHOM 1,5,665.0,627.0,702.0,739.0,827.0,835.0,776.0
FLOHOM 1,6,709.0,672.0,746.0,783.0,872.0,879.0,820.0
FLOHOM 1,7,733.0,696.0,770.0,807.0,896.0,904.0,844.0
FLOHOM 1,8,748.0,711.0,785.0,823.0,911.0,919.0,860.0
FLOHOM 1,9,645.0,608.0,682.0,719.0,808.0,815.0,756.0
FLOHOM 1,10,660.0,623.0,697.0,734.0,823.0,830.0,771.0
FLOHOM 1,11,537.0,500.0,574.0,611.0,700.0,708.0,648.0
FLOHOM 1,12,522.0,485.0,559.0,596.0,685.0,693.0,633.0
FLOHOM 10,1,370.0,336.0,403.0,437.0,518.0,524.0,470.0
FLOHOM 10,2,370.0,336.0,403.0,437.0,518.0,524.0,470.0
FLOHOM 10,3,430.0,396.0,465.0,499.0,582.0,589.0,534.0
FLOHOM 10,4,450.0,421.0,480.0,510.0,582.0,589.0,539.0
FLOHOM 10,5,447.0,417.0,477.0,506.0,582.0,589.0,536.0
FLOHOM 10,6,495.0,465.0,524.0,554.0,625.0,631.0,583.0
FLOHOM 10,7,526.0,496.0,555.0,585.0,656.0,662.0,615.0
FLOHOM 10,8,539.0,509.0,569.0,598.0,669.0,675.0,628.0
FLOHOM 10,9,476.0,445.0,507.0,537.0,612.0,618.0,568.0
FLOHOM 10,10,476.0,445.0,507.0,537.0,612.0,618.0,568.0
FLOHOM 10,11,430.0,396.0,465.0,499.0,582.0,589.0,534.0
FLOHOM 10,12,370.0,336.0,403.0,437.0,518.0,524.0,470.0
FLOHOM 11,1,180.0,163.0,198.0,215.0,257.0,261.0,233.0
FLOHOM 11,2,201.0,183.0,218.0,236.0,278.0,281.0,253.0
FLOHOM 11,3,227.0,210.0,245.0,262.0,304.0,307.0,279.0
FLOHOM 11,4,314.0,292.0,336.0,358.0,410.0,415.0,380.0
FLOHOM 11,5,314.0,292.0,336.0,358.0,410.0,415.0,380.0
FLOHOM 11,6,334.0,313.0,355.0,376.0,426.0,430.0,397.0
FLOHOM 11,7,334.0,313.0,355.0,376.0,426.0,430.0,397.0
FLOHOM 11,8,334.0,313.0,355.0,376.0,426.0,430.0,397.0
FLOHOM 11,9,314.0,292.0,336.0,358.0,410.0,415.0,380.0
FLOHOM 11,10,314.0,292.0,336.0,358.0,410.0,415.0,380.0
FLOHOM 11,11,207.0,189.0,224.0,242.0,284.0,287.0,259.0
FLOHOM 11,12,199.0,181.0,216.0,234.0,276.0,279.0,251.0
FLOHOM 12,1,347.0,316.0,378.0,409.0,483.0,489.0,440.0
FLOHOM 12,2,368.0,338.0,397.0,427.0,498.0,504.0,457.0
FLOHOM 12,3,412.0,383.0,442.0,472.0,543.0,549.0,501.0
FLOHOM 12,4,459.0,429.0,489.0,519.0,591.0,597.0,549.0
FLOHOM 12,5,459.0,429.0,489.0,519.0,591.0,597.0,549.0
FLOHOM 12,6,503.0,473.0,533.0,562.0,634.0,640.0,592.0
FLOHOM 12,7,528.0,498.0,558.0,587.0,658.0,664.0,617.0
FLOHOM 12,8,546.0,517.0,576.0,606.0,677.0,683.0,635.0
FLOHOM 12,9,464.0,435.0,494.0,524.0,595.0,601.0,553.0
FLOHOM 12,10,477.0,447.0,506.0,536.0,607.0,613.0,566.0
FLOHOM 12,11,397.0,366.0,428.0,459.0,534.0,540.0,490.0
FLOHOM 12,12,365.0,335.0,394.0,424.0,495.0,501.0,454.0
FLOHOM 13,1,439.0,402.0,475.0,512.0,600.0,607.0,548.0
FLOHOM 13,2,454.0,421.0,487.0,520.0,600.0,607.0,554.0
FLOHOM 13,3,469.0,436.0,501.0,533.0,611.0,617.0,566.0
FLOHOM 13,4,523.0,490.0,555.0,587.0,665.0,671.0,620.0
FLOHOM 13,5,523.0,490.0,555.0,587.0,665.0,671.0,620.0
FLOHOM 13,6,524.0,494.0,555.0,587.0,665.0,671.0,620.0
FLOHOM 13,7,553.0,524.0,583.0,613.0,684.0,690.0,642.0
FLOHOM 13,8,558.0,529.0,587.0,615.0,684.0,690.0,644.0
FLOHOM 13,9,523.0,490.0,555.0,587.0,665.0,671.0,620.0
FLOHOM 13,10,523.0,490.0,555.0,587.0,665.0,671.0,620.0
FLOHOM 13,11,454.0,421.0,487.0,520.0,600.0,607.0,554.0
FLOHOM 13,12,447.0,412.0,482.0,516.0,600.0,607.0,551.0
FLOHOM 14,1,289.0,262.0,316.0,343.0,407.0,413.0,370.0
FLOHOM 14,2,289.0,262.0,316.0,343.0,407.0,413.0,370.0
FLOHOM 14,3,293.0,271.0,316.0,343.0,407.0,413.0,370.0
FLOHOM 14,4,327.0,305.0,349.0,371.0,423.0,428.0,393.0
FLOHOM 14,5,324.0,302.0,345.0,367.0,420.0,424.0,389.0
FLOHOM 14,6,360.0,338.0,382.0,404.0,456.0,460.0,425.0
FLOHOM 14,7,384.0,362.0,405.0,427.0,480.0,484.0,449.0
FLOHOM 14,8,393.0,371.0,414.0,436.0,489.0,493.0,458.0
FLOHOM 14,9,331.0,310.0,353.0,375.0,427.0,432.0,397.0
FLOHOM 14,10,341.0,319.0,362.0,384.0,436.0,441.0,406.0
FLOHOM 14,11,289.0,262.0,316.0,343.0,407.0,413.0,370.0
FLOHOM 14,12,289.0,262.0,316.0,343.0,407.0,413.0,370.0
FLOHOM 15,1,172.0,155.0,188.0,205.0,244.0,248.0,221.0
FLOHOM 15,2,179.0,165.0,194.0,209.0,245.0,248.0,224.0
FLOHOM 15,3,330.0,305.0,356.0,381.0,442.0,447.0,407.0
FLOHOM 15,4,402.0,375.0,430.0,457.0,523.0,529.0,485.0
FLOHOM 15,5,442.0,412.0,472.0,502.0,575.0,581.0,532.0
FLOHOM 15,6,492.0,462.0,522.0,553.0,625.0,631.0,583.0
FLOHOM 15,7,492.0,462.0,522.0,553.0,625.0,631.0,583.0
FLOHOM 15,8,492.0,462.0,522.0,553.0,625.0,631.0,583.0
FLOHOM 15,9,442.0,412.0,472.0,502.0,575.0,581.0,532.0
FLOHOM 15,10,448.0,419.0,477.0,505.0,575.0,581.0,534.0
FLOHOM 15,11,309.0,283.0,334.0,360.0,421.0,426.0,385.0
FLOHOM 15,12,176.0,160.0,191.0,207.0,244.0,248.0,223.0
FLOHOM 2,1,389.0,358.0,421.0,452.0,528.0,534.0,484.0
FLOHOM 2,2,433.0,401.0,464.0,496.0,572.0,578.0,527.0
FLOHOM 2,3,476.0,445.0,508.0,539.0,615.0,621.0,571.0
FLOHOM 2,4,525.0,494.0,557.0,588.0,664.0,670.0,620.0
FLOHOM 2,5,546.0,514.0,577.0,609.0,684.0,691.0,640.0
FLOHOM 2,6,583.0,552.0,615.0,646.0,722.0,729.0,678.0
FLOHOM 2,7,604.0,573.0,636.0,667.0,743.0,750.0,699.0
FLOHOM 2,8,617.0,586.0,649.0,680.0,756.0,762.0,712.0
FLOHOM 2,9,529.0,497.0,560.0,592.0,668.0,674.0,623.0
FLOHOM 2,10,542.0,510.0,573.0,605.0,681.0,687.0,636.0
FLOHOM 2,11,437.0,406.0,469.0,500.0,576.0,582.0,532.0
FLOHOM 2,12,424.0,393.0,456.0,487.0,563.0,569.0,519.0
