unit_id,year_month,bookings,room_nights,revenue,adr,min_adr,max_adr,p05_adr,p95_adr
100 LaFave South: Temple of Sinawava,2024-01,8,22,6512.0,296.0,249.83333333333337,374.0,258.53,374.0
100 LaFave South: Temple of Sinawava,2024-02,8,25,6967.0,278.68,254.8,324.6666666666667,257.41,315.86
100 LaFave South: Temple of Sinawava,2024-03,11,27,13774.0,510.15,274.6666666666667,674.0,274.67,659.0
100 LaFave South: Temple of Sinawava,2024-04,8,21,12067.0,574.62,562.25,644.0,562.25,628.42
100 LaFave South: Temple of Sinawava,2024-05,9,23,13216.0,574.61,544.6666666666666,744.0,548.72,686.2
100 LaFave South: Temple of Sinawava,2024-06,7,23,12908.0,561.22,532.25,574.6666666666666,535.98,574.67
100 LaFave South: Temple of Sinawava,2024-07,8,18,8612.0,478.44,424.6666666666667,644.0,424.67,619.5
100 LaFave South: Temple of Sinawava,2024-08,7,23,10898.0,473.83,404.8,599.5,410.76,598.08
100 LaFave South: Temple of Sinawava,2024-09,8,25,14047.0,561.88,532.25,674.0,536.6,639.23
100 LaFave South: Temple of Sinawava,2024-10,8,20,11332.0,566.6,544.6666666666666,674.0,544.67,647.92
100 LaFave South: Temple of Sinawava,2024-11,7,21,6988.0,332.76,274.8,414.8,280.76,401.21
100 LaFave South: Temple of Sinawava,2024-12,6,18,5394.0,299.67,267.25,344.6666666666667,274.1,338.38
100 LaFave South: Temple of Sinawava,2025-01,4,9,2801.0,311.22,282.25,394.0,287.84,382.82
100 LaFave South: Temple of Sinawava,2025-02,6,19,5799.0,305.21,294.6666666666667,319.5,294.67,319.5
100 LaFave South: Temple of Sinawava,2025-03,8,22,12346.0,561.18,344.6666666666667,826.0,353.36,746.72
100 LaFave South: Temple of Sinawava,2025-04,10,25,14835.0,593.4,574.6666666666666,734.0,574.67,686.3
100 LaFave South: Temple of Sinawava,2025-05,7,25,14258.0,570.32,524.8,654.5,527.04,654.5
100 LaFave South: Temple of Sinawava,2025-06,7,24,13683.0,570.12,532.25,628.0,541.25,619.45
100 LaFave South: Temple of Sinawava,2025-07,10,27,10825.0,400.93,334.75,604.5,340.71,604.5
100 LaFave South: Temple of Sinawava,2025-08,7,27,11018.0,408.07,321.5,454.0,337.4,453.25
100 LaFave South: Temple of Sinawava,2025-09,9,27,18159.0,672.56,374.5,1168.6666666666667,374.5,943.0
100 LaFave South: Temple of Sinawava,2025-10,8,23,12327.0,535.96,348.0,684.0,401.67,664.4
100 LaFave South: Temple of Sinawava,2025-11,8,23,8357.0,363.35,284.75,674.5,284.75,597.32
100 LaFave South: Temple of Sinawava,2025-12,7,19,9237.0,486.16,298.0,1249.0,305.95,1017.7
100 LaFave South: Temple of Sinawava,2026-01,8,23,6907.0,300.3,271.5,324.5,280.77,324.5
100 LaFave South: Temple of Sinawava,2026-02,6,22,6394.0,290.64,267.7142857142857,324.5,271.97,322.04
100 LaFave South: Temple of Sinawava,2026-03,7,20,10913.0,545.65,478.0,604.5,485.95,596.55
100 LaFave South: Temple of Sinawava,2026-04,9,29,15945.0,549.83,504.5,578.0,504.5,578.0
100 LaFave South: Temple of Sinawava,2026-05,8,24,13524.0,563.5,478.0,674.5,487.28,657.23
100 LaFave South: Temple of Sinawava,2026-06,9,24,10813.26,450.55,296.3,578.0,301.74,578.0
100 LaFave South: Temple of Sinawava,2026-07,9,24,9282.74,386.78,284.76666666666665,615.5,286.54,555.2
100 LaFave South: Temple of Sinawava,2026-08,5,16,5628.93,351.81,292.09999999999997,390.3,297.98,389.36
100 LaFave South: Temple of Sinawava,2026-09,7,23,12488.18,542.96,384.15,649.94,407.3,636.31
100 LaFave South: Temple of Sinawava,2026-10,4,13,6869.0,528.38,334.75,811.5,366.02,776.47
100 LaFave South: Temple of Sinawava,2026-11,4,12,4670.9,389.24,322.8,522.5,326.12,509.12
101 LaFave South: The Sentinel,2024-01,7,18,5853.0,325.17,274.6666666666667,534.0,282.12,471.2
101 LaFave South: The Sentinel,2024-02,7,18,5463.0,303.5,241.33333333333337,494.0,251.33,443.2
101 LaFave South: The Sentinel,2024-03,7,17,9807.0,576.88,491.3333333333333,674.0,512.61,665.0
101 LaFave South: The Sentinel,2024-04,8,25,14197.0,567.88,539.875,644.0,545.1,628.42
101 LaFave South: The Sentinel,2024-05,10,25,15293.0,611.72,524.8,1139.0,526.09,961.25
101 LaFave South: The Sentinel,2024-06,8,20,11152.0,557.6,544.6666666666666,644.0,544.67,628.42
101 LaFave South: The Sentinel,2024-07,8,26,12612.0,485.08,379.75,554.8,404.16,542.44
101 LaFave South: The Sentinel,2024-08,10,23,11325.0,492.39,412.25,644.6666666666666,417.84,624.34
101 LaFave South: The Sentinel,2024-09,8,26,14662.0,563.92,544.6666666666666,599.5,544.67,599.5
101 LaFave South: The Sentinel,2024-10,10,28,14690.0,524.64,369.5,599.5,369.5,599.5
101 LaFave South: The Sentinel,2024-11,10,27,11055.0,409.44,282.25,669.5,299.01,607.74
101 LaFave South: The Sentinel,2024-12,8,26,8402.0,323.15,274.8,474.6666666666667,277.41,429.17
101 LaFave South: The Sentinel,2025-01,4,12,3326.0,277.17,229.75,319.5,239.49,315.77
101 LaFave South: The Sentinel,2025-02,7,22,6633.0,301.5,282.25,394.0,282.25,371.65
101 LaFave South: The Sentinel,2025-03,9,25,12416.0,496.64,344.6666666666667,599.5,354.6,599.5
101 LaFave South: The Sentinel,2025-04,7,22,12083.0,549.23,429.75,674.0,464.22,668.15
101 LaFave South: The Sentinel,2025-05,10,30,17380.0,579.33,532.25,669.5,540.16,662.75
101 LaFave South: The Sentinel,2025-06,7,23,13218.0,574.7,556.8,654.5,558.43,651.35
101 LaFave South: The Sentinel,2025-07,7,24,9483.0,395.12,326.8,562.25,329.18,536.97
101 LaFave South: The Sentinel,2025-08,9,30,11782.05,392.73,321.5,474.6666666666667,326.8,469.7
101 LaFave South: The Sentinel,2025-09,8,25,13437.0,537.48,348.0,599.5,401.67,599.5
101 LaFave South: The Sentinel,2025-10,10,22,12374.0,562.45,332.25,1568.0,372.34,1134.42
101 LaFave South: The Sentinel,2025-11,9,26,9651.0,371.19,284.75,547.25,296.72,494.22
101 LaFave South: The Sentinel,2025-12,6,19,7949.0,418.37,298.0,478.0,304.62,478.0
101 LaFave South: The Sentinel,2026-01,5,11,3490.0,317.27,284.75,404.0,292.7,388.1
