booking_window,lead_time_min,lead_time_max,bookings,revenue,share_of_revenue_pct,share_of_bookings_pct,room_nights
0-7 days,0,7.0,380,543949.05,4.77,7.51,918
8-14 days,8,14.0,272,448966.97,3.94,5.38,708
15-30 days,15,30.0,576,1013670.4,8.89,11.39,1608
31-45 days,31,45.0,547,1047092.0,9.19,10.81,1646
46-60 days,46,60.0,531,1083429.23,9.51,10.5,1571
61-75 days,61,75.0,450,991734.91,8.7,8.9,1388
76-90 days,76,90.0,404,922453.8,8.09,7.99,1299
91-120 days,91,120.0,571,1445668.78,12.68,11.29,1904
121-180 days,121,180.0,654,1757543.48,15.42,12.93,2192
181-270 days,181,270.0,463,1411749.71,12.39,9.15,1611
271-365 days,271,365.0,174,552487.3,4.85,3.44,639
365+ days,366,,36,179133.0,1.57,0.71,151
