unit_id,channel,bookings,revenue,room_nights,share_of_revenue_pct,share_of_bookings_pct,adr
100 LaFave South: Temple of Sinawava,Airbnb,7,9755.0,22,2.71,2.67,443.41
100 LaFave South: Temple of Sinawava,Booking.com,6,7119.0,17,1.98,2.29,418.76
100 LaFave South: Temple of Sinawava,Direct,221,309430.4,647,86.0,84.35,478.25
100 LaFave South: Temple of Sinawava,Expedia,20,22385.61,52,6.22,7.63,430.49
100 LaFave South: Temple of Sinawava,Other,2,2623.0,7,0.73,0.76,374.71
100 LaFave South: Temple of Sinawava,VRBO,6,8483.0,21,2.36,2.29,403.95
101 LaFave South: The Sentinel,Airbnb,12,15942.01,35,3.88,4.1,455.49
101 LaFave South: The Sentinel,Booking.com,4,2927.74,6,0.71,1.37,487.96
101 LaFave South: The Sentinel,Direct,245,353676.35,722,85.99,83.62,489.86
101 LaFave South: The Sentinel,Expedia,23,26677.0,62,6.49,7.85,430.27
101 LaFave South: The Sentinel,Little Travel Group,2,3133.0,7,0.76,0.68,447.57
101 LaFave South: The Sentinel,Other,3,4047.0,10,0.98,1.02,404.7
101 LaFave South: The Sentinel,VRBO,4,4891.0,15,1.19,1.37,326.07
102 LaFave South: The Watchman,Airbnb,15,14879.1,45,5.34,7.01,330.65
102 LaFave South: The Watchman,Booking.com,33,41316.82,87,14.83,15.42,474.91
102 LaFave South: The Watchman,Direct,134,182989.37,421,65.7,62.62,434.65
102 LaFave South: The Watchman,Expedia,20,20656.38,55,7.42,9.35,375.57
102 LaFave South: The Watchman,Little Travel Group,1,1029.0,2,0.37,0.47,514.5
102 LaFave South: The Watchman,Other,2,3532.0,7,1.27,0.93,504.57
102 LaFave South: The Watchman,VRBO,9,14137.77,32,5.08,4.21,441.81
103 LaFave South: The Zion Suite,Airbnb,20,22415.0,60,10.3,11.3,373.58
103 LaFave South: The Zion Suite,Booking.com,9,8452.01,18,3.88,5.08,469.56
103 LaFave South: The Zion Suite,Direct,118,151570.96,381,69.63,66.67,397.82
103 LaFave South: The Zion Suite,Expedia,14,13204.88,35,6.07,7.91,377.28
103 LaFave South: The Zion Suite,Other,9,13088.0,35,6.01,5.08,373.94
103 LaFave South: The Zion Suite,VRBO,7,8954.45,23,4.11,3.95,389.32
200 LaFave South: Angels Landing,Airbnb,19,58442.01,63,10.47,9.95,927.65
200 LaFave South: Angels Landing,Booking.com,1,2274.0,3,0.41,0.52,758.0
200 LaFave South: Angels Landing,Direct,149,432058.89,444,77.41,78.01,973.11
200 LaFave South: Angels Landing,Expedia,8,26064.77,27,4.67,4.19,965.36
200 LaFave South: Angels Landing,Little Travel Group,3,8532.0,9,1.53,1.57,948.0
200 LaFave South: Angels Landing,Other,3,13102.0,15,2.35,1.57,873.47
200 LaFave South: Angels Landing,VRBO,8,17672.0,20,3.17,4.19,883.6
201 LaFave South: Checkerboard Mesa,Airbnb,5,9064.8,18,2.15,2.7,503.6
201 LaFave South: Checkerboard Mesa,Booking.com,4,8555.720000000001,11,2.03,2.16,777.79
201 LaFave South: Checkerboard Mesa,Direct,165,378883.78,524,89.96,89.19,723.06
201 LaFave South: Checkerboard Mesa,Expedia,4,9332.0,12,2.22,2.16,777.67
201 LaFave South: Checkerboard Mesa,Little Travel Group,2,3725.0,5,0.88,1.08,745.0
201 LaFave South: Checkerboard Mesa,Other,2,6090.0,7,1.45,1.08,870.0
201 LaFave South: Checkerboard Mesa,VRBO,3,5538.0,7,1.31,1.62,791.14
202 LaFave South: Echo Canyon,Airbnb,13,28563.0,41,7.19,7.3,696.66
202 LaFave South: Echo Canyon,Booking.com,2,6289.0,9,1.58,1.12,698.78
202 LaFave South: Echo Canyon,Direct,147,329507.13,460,83.0,82.58,716.32
202 LaFave South: Echo Canyon,Expedia,8,17476.86,22,4.4,4.49,794.4
202 LaFave South: Echo Canyon,Little Travel Group,1,1249.0,2,0.31,0.56,624.5
202 LaFave South: Echo Canyon,VRBO,7,13931.64,26,3.51,3.93,535.83
203 LaFave South: Emerald Pools,Airbnb,4,8045.9,14,1.82,2.4,574.71
203 LaFave South: Emerald Pools,Booking.com,3,7362.0,9,1.67,1.8,818.0
203 LaFave South: Emerald Pools,Direct,148,392920.9,492,89.12,88.62,798.62
203 LaFave South: Emerald Pools,Expedia,7,17350.0,22,3.94,4.19,788.64
203 LaFave South: Emerald Pools,VRBO,5,15230.0,21,3.45,2.99,725.24
204 LaFave South: Hidden Canyon,Airbnb,21,32410.72,63,8.51,9.25,514.46
204 LaFave South: Hidden Canyon,Booking.com,15,22690.86,42,5.96,6.61,540.26
204 LaFave South: Hidden Canyon,Direct,158,273007.5,439,71.72,69.6,621.88
204 LaFave South: Hidden Canyon,Expedia,25,36042.13,61,9.47,11.01,590.85
