channel,year,bookings,revenue,room_nights,share_of_revenue_pct,share_of_bookings_pct,adr
Direct,2024,1537,3434775.7,4718,80.87,78.5,728.02
Other,2024,43,102396.0,157,2.41,2.2,652.2
Direct,2025,1445,3337604.37,4471,79.39,76.98,746.5
Expedia,2024,142,249296.98,379,5.87,7.25,657.78
Booking.com,2024,99,182164.0,279,4.29,5.06,652.92
VRBO,2024,62,149057.11,206,3.51,3.17,723.58
Little Travel Group,2024,5,9976.0,13,0.23,0.26,767.38
Airbnb,2024,70,119550.09,190,2.81,3.58,629.21
Booking.com,2025,89,146827.85,230,3.49,4.74,638.38
Expedia,2025,154,282809.0,430,6.73,8.2,657.7
VRBO,2025,99,229541.21,317,5.46,5.27,724.1
Airbnb,2025,80,188144.0,271,4.48,4.26,694.26
Little Travel Group,2025,10,18976.0,28,0.45,0.53,677.71
Direct,2026,858,2099481.46,2794,72.07,70.62,751.43
Expedia,2026,75,150082.64,218,5.15,6.17,688.45
Booking.com,2026,29,58582.13,90,2.01,2.39,650.91
VRBO,2026,58,155862.02,183,5.35,4.77,851.71
Airbnb,2026,191,440927.07,611,15.13,15.72,721.65
Direct,2027,5,22803.0,27,68.16,71.43,844.56
Little Travel Group,2026,4,8369.0,10,0.29,0.33,836.9
Expedia,2027,1,3309.0,6,9.89,14.29,551.5
Airbnb,2027,1,7344.0,7,21.95,14.29,1049.14
