date,revenue,room_nights,bookings,active_units_count,contributing_units_count,excluded_units_count,adr,occupancy_pct,revpar,revpar_smoothed,contributing_units_min_14d,contributing_units_max_14d,composition_shift_flag,revpar_percentile,base_tier_id,base_tier_label,tier_id,tier_label,tier_method
2024-01-01,1488.25,3.0,3.0,3,3,0,496.08,9.38,216.02083333333334,135.847567591139,3.0,15.0,True,22.565320665083135,2,Tier 2,2,Low,quantile_fallback
2024-01-02,3245.583333333333,7.0,4.0,7,7,0,463.65,21.88,251.30357142857142,126.16742025335775,3.0,15.0,True,20.506730007917657,2,Tier 2,2,Low,quantile_fallback
2024-01-03,5807.416666666666,13.0,6.0,13,13,0,446.72,40.62,202.04967948717947,120.03354022520688,3.0,15.0,True,18.68566904196358,1,Tier 1,1,Soft,quantile_fallback
2024-01-04,5525.883333333333,13.0,2.0,15,15,0,425.07,40.62,140.76611111111112,114.12338064713065,3.0,15.0,True,16.943784639746635,1,Tier 1,1,Soft,quantile_fallback
2024-01-05,3104.3,8.0,1.0,15,15,0,388.04,25.0,60.53416666666667,108.37188644688645,3.0,15.0,True,16.152019002375297,1,Tier 1,1,Soft,quantile_fallback
2024-01-06,1428.3,4.0,1.0,15,15,0,357.08,12.5,32.95916666666667,103.11910771520148,3.0,16.0,True,15.518606492478227,1,Tier 1,1,Soft,quantile_fallback
2024-01-07,1128.8,3.0,1.0,15,15,0,376.27,9.38,47.29944444444445,100.10413628839109,3.0,16.0,True,15.201900237529692,1,Tier 1,1,Soft,quantile_fallback
2024-01-08,1403.4666666666667,4.0,1.0,15,15,0,350.87,12.5,58.406388888888884,94.28140780350601,3.0,16.0,True,14.806017418844023,1,Tier 1,1,Soft,quantile_fallback
2024-01-09,599.3333333333334,2.0,0.0,15,15,0,299.67,6.25,70.9625,79.11055586898222,7.0,16.0,True,13.697545526524149,1,Tier 1,1,Soft,quantile_fallback
2024-01-10,274.6666666666667,1.0,0.0,15,15,0,274.67,3.12,60.93194444444445,63.25786401098901,13.0,16.0,True,12.747426761678543,1,Tier 1,1,Soft,quantile_fallback
