unit_id,season,season_order,season_revenue,season_room_nights,season_bookings,season_adr,season_revpar,season_days,season_score_1_10,season_percentile
100 LaFave South: Temple of Sinawava,Soft,1,38881.5,125.0,43.0,311.05,140.88,276,10.0,100.0
101 LaFave South: The Sentinel,Soft,1,36215.333333333336,117.0,44.0,309.53,131.69,275,9.70967741935484,96.8
102 LaFave South: The Watchman,Soft,1,15256.666666666666,55.0,19.0,277.39,68.72,222,4.948387096774193,43.9
103 LaFave South: The Zion Suite,Soft,1,18325.20238095238,73.0,19.0,251.03,66.64,275,5.470967741935484,49.7
200 LaFave South: Angels Landing,Soft,1,26777.566666666666,40.0,14.0,669.44,97.02,276,8.780645161290323,86.5
201 LaFave South: Checkerboard Mesa,Soft,1,20938.3,48.0,17.0,436.21,75.86,276,6.429032258064517,60.3
202 LaFave South: Echo Canyon,Soft,1,23485.84,55.0,20.0,427.02,85.09,276,7.9967741935483865,77.7
203 LaFave South: Emerald Pools,Soft,1,14018.25,27.0,8.0,519.19,50.79,276,3.8161290322580643,31.3
204 LaFave South: Hidden Canyon,Soft,1,23243.166666666668,60.0,22.0,387.39,84.21,276,7.7064516129032254,74.5
205 LaFave South: Kolob Arch,Soft,1,14154.07142857143,34.0,13.0,416.3,51.28,276,4.106451612903226,34.5
206 LaFave South: Mountain of the Sun,Soft,1,26684.05,63.0,16.0,423.56,96.68,276,8.49032258064516,83.2
207 LaFave South: Mystery Falls,Soft,1,19372.983333333334,44.0,16.0,440.3,70.19,276,6.051612903225807,56.1
208 LaFave South: Northgate Peaks,Soft,1,9781.8,26.0,13.0,376.22,35.44,276,2.5677419354838706,17.4
209 LaFave South: Orderville Canyon,Soft,1,17974.8,50.0,21.0,359.5,65.13,276,5.180645161290323,46.5
210 LaFave South: The Subway,Soft,1,14798.0,46.0,10.0,321.7,53.62,276,4.396774193548387,37.7
211 LaFave South: The Narrows,Soft,1,21392.85,35.0,14.0,611.22,77.51,276,6.719354838709677,63.5
300 LaFave South: Bridge Mountain,Soft,1,4321.5,8.0,4.0,540.19,16.19,267,1.0,0.0
301 LaFave South: West Temple,Soft,1,5472.0,9.0,3.0,608.0,21.46,255,1.2903225806451613,3.2
302 LaFave South: The Gallery House,Soft,1,29515.4,26.0,9.0,1135.21,126.68,233,9.419354838709676,93.5
400 LaFave North: The Sundial,Soft,1,22578.0,73.0,21.0,309.29,101.7,222,7.735483870967741,74.8
500 LaFave North: Big Springs,Soft,1,9742.0,25.0,7.0,389.68,43.88,222,2.5387096774193547,17.1
501 LaFave North: Cathedral Mountain,Soft,1,23141.75,36.0,14.0,642.83,104.24,222,8.025806451612901,78.1
502 LaFave North: East Temple,Soft,1,10946.0,28.0,10.0,390.93,49.31,222,3.32258064516129,25.8
503 LaFave North: Johnson Mountain,Soft,1,22449.8,37.0,14.0,606.75,101.13,222,7.44516129032258,71.6
504 LaFave North: Kayenta,Soft,1,10450.333333333334,28.0,10.0,373.23,47.07,222,3.0322580645161286,22.6
505 LaFave North: Lava Point,Soft,1,12785.75,25.0,8.0,511.43,57.59,222,3.8741935483870966,31.9
506 LaFave North: Meridian Tower,Soft,1,7831.333333333333,14.0,6.0,559.38,35.28,222,1.870967741935484,9.7
507 LaFave North: Mount Kinesava,Soft,1,7776.5,22.0,8.0,353.48,35.03,222,1.5806451612903225,6.5
508 LaFave North: Phantom Valley,Soft,1,16247.0,37.0,13.0,439.11,73.18,222,5.325806451612903,48.1
509 LaFave North: Pine Creek,Soft,1,8699.5,20.0,9.0,434.98,39.19,222,2.2483870967741932,13.9
510 LaFave North: Virgin River,Soft,1,24084.66,44.0,16.0,547.38,108.49,222,8.722580645161289,85.8
511 LaFave North: Weeping Rock,Soft,1,18556.4,50.0,18.0,371.13,83.59,222,6.196774193548387,57.7
100 LaFave South: Temple of Sinawava,Low,2,54641.14666666667,146.0,46.0,374.25,200.15,273,5.848387096774193,53.9
101 LaFave South: The Sentinel,Low,2,71750.85,185.0,55.0,387.84,264.76,271,8.548387096774192,83.9
102 LaFave South: The Watchman,Low,2,39033.33,119.0,32.0,328.01,150.71,259,2.741935483870968,19.4
103 LaFave South: The Zion Suite,Low,2,32840.75428571428,101.0,33.0,325.16,121.18,271,1.5806451612903225,6.5
200 LaFave South: Angels Landing,Low,2,75629.58333333333,91.0,29.0,831.09,277.03,273,9.041935483870969,89.4
201 LaFave South: Checkerboard Mesa,Low,2,55484.1,96.0,32.0,577.96,204.74,271,6.138709677419355,57.1
202 LaFave South: Echo Canyon,Low,2,52136.98333333334,90.0,28.0,579.3,191.68,272,4.890322580645162,43.2
203 LaFave South: Emerald Pools,Low,2,57032.75476190476,87.0,28.0,655.55,210.45,271,6.516129032258065,61.3
204 LaFave South: Hidden Canyon,Low,2,49822.7280952381,105.0,35.0,474.5,183.17,272,4.193548387096774,35.5
205 LaFave South: Kolob Arch,Low,2,42577.075952380954,96.0,36.0,443.51,156.53,272,3.4387096774193546,27.1
206 LaFave South: Mountain of the Sun,Low,2,60256.77333333333,100.0,30.0,602.57,220.72,273,6.806451612903224,64.5
207 LaFave South: Mystery Falls,Low,2,60322.98166666667,98.0,30.0,615.54,222.59,271,7.096774193548387,67.7
208 LaFave South: Northgate Peaks,Low,2,38675.306666666664,89.0,26.0,434.55,142.71,271,2.451612903225806,16.1
209 LaFave South: Orderville Canyon,Low,2,53364.88,117.0,41.0,456.11,196.92,271,5.35483870967742,48.4
210 LaFave South: The Subway,Low,2,66089.80076190476,92.0,30.0,718.37,243.87,271,7.9967741935483865,77.7
211 LaFave South: The Narrows,Low,2,101259.15,97.0,29.0,1043.91,372.28,272,9.70967741935484,96.8
300 LaFave South: Bridge Mountain,Low,2,9128.166666666668,15.0,4.0,608.54,33.68,271,1.0,0.0
301 LaFave South: West Temple,Low,2,13482.25,17.0,5.0,793.07,49.75,271,1.2903225806451613,3.2
302 LaFave South: The Gallery House,Low,2,138197.11000000002,99.0,26.0,1395.93,509.95,271,10.0,100.0
400 LaFave North: The Sundial,Low,2,53884.60571428572,130.0,48.0,414.5,208.05,259,5.8193548387096765,53.5
500 LaFave North: Big Springs,Low,2,41132.45333333333,72.0,24.0,571.28,158.81,259,3.4096774193548383,26.8
501 LaFave North: Cathedral Mountain,Low,2,63370.22,78.0,26.0,812.44,244.67,259,7.764516129032257,75.2
502 LaFave North: East Temple,Low,2,36779.275,60.0,19.0,612.99,142.0,259,2.161290322580645,12.9
503 LaFave North: Johnson Mountain,Low,2,65424.65,83.0,25.0,788.25,252.6,259,8.05483870967742,78.4
504 LaFave North: Kayenta,Low,2,35575.42619047619,80.0,28.0,444.69,137.36,259,1.870967741935484,9.7
505 LaFave North: Lava Point,Low,2,50078.624285714286,80.0,23.0,625.98,193.35,259,4.861290322580644,42.9
506 LaFave North: Meridian Tower,Low,2,45892.77166666667,71.0,21.0,646.38,177.19,259,3.903225806451612,32.3
507 LaFave North: Mount Kinesava,Low,2,40783.88,94.0,35.0,433.87,157.47,259,3.1193548387096772,23.5
508 LaFave North: Phantom Valley,Low,2,49832.23333333333,92.0,26.0,541.65,192.4,259,4.570967741935483,39.7
509 LaFave North: Pine Creek,Low,2,63278.3,93.0,30.0,680.41,244.32,259,7.474193548387097,71.9
510 LaFave North: Virgin River,Low,2,75869.85857142857,97.0,30.0,782.16,292.93,259,9.419354838709676,93.5
511 LaFave North: Weeping Rock,Low,2,74950.66,127.0,45.0,590.16,289.38,259,8.925806451612903,88.1
100 LaFave South: Temple of Sinawava,Shoulder,3,75173.48761904762,162.0,59.0,464.03,273.36,275,4.106451612903226,34.5
101 LaFave South: The Sentinel,Shoulder,3,79367.53333333333,174.0,62.0,456.14,288.61,275,5.064516129032257,45.2
102 LaFave South: The Watchman,Shoulder,3,64506.97047619048,160.0,55.0,403.17,242.51,266,2.161290322580645,12.9
103 LaFave South: The Zion Suite,Shoulder,3,40968.63,113.0,37.0,362.55,148.98,275,1.5806451612903225,6.5
200 LaFave South: Angels Landing,Shoulder,3,130527.81,140.0,44.0,932.34,474.65,275,9.419354838709676,93.5
201 LaFave South: Checkerboard Mesa,Shoulder,3,95856.56666666667,143.0,43.0,670.33,348.57,275,7.387096774193549,71.0
202 LaFave South: Echo Canyon,Shoulder,3,81674.91333333333,123.0,38.0,664.02,297.0,275,5.761290322580645,52.9
203 LaFave South: Emerald Pools,Shoulder,3,97873.64523809524,135.0,36.0,724.99,355.9,275,8.258064516129032,80.6
204 LaFave South: Hidden Canyon,Shoulder,3,83093.48523809524,152.0,57.0,546.67,302.16,275,6.138709677419355,57.1
205 LaFave South: Kolob Arch,Shoulder,3,78246.09261904762,137.0,41.0,571.14,284.53,275,4.774193548387096,41.9
206 LaFave South: Mountain of the Sun,Shoulder,3,97446.50666666667,146.0,46.0,667.44,354.35,275,7.677419354838709,74.2
207 LaFave South: Mystery Falls,Shoulder,3,85750.95,120.0,37.0,714.59,311.82,275,6.516129032258065,61.3
208 LaFave South: Northgate Peaks,Shoulder,3,67893.30333333333,126.0,39.0,538.84,246.88,275,2.945161290322581,21.6
209 LaFave South: Orderville Canyon,Shoulder,3,87637.53571428571,159.0,53.0,551.18,318.68,275,6.806451612903224,64.5
210 LaFave South: The Subway,Shoulder,3,97574.35923809523,134.0,43.0,728.17,354.82,275,7.967741935483871,77.4
211 LaFave South: The Narrows,Shoulder,3,150750.01,150.0,48.0,1005.0,548.18,275,10.0,100.0
300 LaFave South: Bridge Mountain,Shoulder,3,25752.833333333336,33.0,14.0,780.39,93.65,275,1.2903225806451613,3.2
301 LaFave South: West Temple,Shoulder,3,22782.75,26.0,8.0,876.26,82.85,275,1.0,0.0
302 LaFave South: The Gallery House,Shoulder,3,135884.20238095237,97.0,26.0,1400.87,494.12,275,9.70967741935484,96.8
400 LaFave North: The Sundial,Shoulder,3,69786.38642857142,158.0,46.0,441.69,261.37,267,3.612903225806451,29.0
500 LaFave North: Big Springs,Shoulder,3,80439.83333333333,129.0,37.0,623.56,301.27,267,5.441935483870967,49.4
501 LaFave North: Cathedral Mountain,Shoulder,3,122145.77857142857,137.0,38.0,891.58,457.47,267,8.838709677419354,87.1
502 LaFave North: East Temple,Shoulder,3,67891.85690476191,116.0,39.0,585.27,254.28,267,2.8290322580645157,20.3
503 LaFave North: Johnson Mountain,Shoulder,3,104021.91523809524,124.0,41.0,838.89,389.6,267,8.548387096774192,83.9
504 LaFave North: Kayenta,Shoulder,3,63617.16714285714,125.0,39.0,508.94,238.27,267,1.870967741935484,9.7
505 LaFave North: Lava Point,Shoulder,3,87753.55238095239,125.0,38.0,702.03,328.66,267,7.096774193548387,67.7
506 LaFave North: Meridian Tower,Shoulder,3,75935.17357142858,108.0,36.0,703.1,284.4,267,4.483870967741936,38.7
507 LaFave North: Mount Kinesava,Shoulder,3,65263.25,128.0,45.0,509.87,244.43,267,2.451612903225806,16.1
508 LaFave North: Phantom Valley,Shoulder,3,68452.72666666667,108.0,34.0,633.82,256.38,267,3.32258064516129,25.8
509 LaFave North: Pine Creek,Shoulder,3,74561.51666666666,118.0,35.0,631.88,279.26,267,3.9903225806451608,33.2
510 LaFave North: Virgin River,Shoulder,3,122586.88142857143,135.0,41.0,908.05,459.13,267,9.129032258064514,90.3
511 LaFave North: Weeping Rock,Shoulder,3,81247.29666666666,146.0,50.0,556.49,304.3,267,5.8193548387096765,53.5
100 LaFave South: Temple of Sinawava,High,4,91159.86571428571,160.0,54.0,569.75,329.1,277,3.0322580645161286,22.6
101 LaFave South: The Sentinel,High,4,101593.33333333333,185.0,61.0,549.15,366.76,277,4.396774193548387,37.7
102 LaFave South: The Watchman,High,4,77244.40285714286,154.0,56.0,501.59,304.11,254,2.161290322580645,12.9
103 LaFave South: The Zion Suite,High,4,58869.09,132.0,38.0,445.98,212.52,277,1.5806451612903225,6.5
200 LaFave South: Angels Landing,High,4,151319.46642857144,145.0,48.0,1043.58,546.28,277,9.041935483870969,89.4
201 LaFave South: Checkerboard Mesa,High,4,123530.25333333334,150.0,51.0,823.54,445.96,277,7.096774193548387,67.7
202 LaFave South: Echo Canyon,High,4,108729.36666666667,135.0,44.0,805.4,392.52,277,5.64516129032258,51.6
203 LaFave South: Emerald Pools,High,4,124347.5,145.0,42.0,857.57,448.91,277,7.387096774193549,71.0
204 LaFave South: Hidden Canyon,High,4,101874.23380952381,149.0,56.0,683.72,367.78,277,4.687096774193549,41.0
205 LaFave South: Kolob Arch,High,4,96600.95,140.0,49.0,690.01,348.74,277,3.32258064516129,25.8
206 LaFave South: Mountain of the Sun,High,4,131754.08333333334,163.0,47.0,808.31,475.65,277,7.677419354838709,74.2
207 LaFave South: Mystery Falls,High,4,116062.43166666667,132.0,44.0,879.26,419.0,277,6.806451612903224,64.5
208 LaFave South: Northgate Peaks,High,4,72913.04,94.0,28.0,775.67,263.22,277,1.870967741935484,9.7
209 LaFave South: Orderville Canyon,High,4,100100.46619047619,150.0,51.0,667.34,361.37,277,3.8161290322580643,31.3
210 LaFave South: The Subway,High,4,137369.20333333334,147.0,41.0,934.48,495.92,277,7.967741935483871,77.4
211 LaFave South: The Narrows,High,4,172360.8119047619,156.0,51.0,1104.88,622.24,277,9.912903225806451,99.0
300 LaFave South: Bridge Mountain,High,4,29888.466666666667,34.0,11.0,879.07,107.9,277,1.2903225806451613,3.2
301 LaFave South: West Temple,High,4,27931.428571428572,28.0,9.0,997.55,100.84,277,1.0,0.0
302 LaFave South: The Gallery House,High,4,171459.46666666667,120.0,31.0,1428.83,618.99,277,9.622580645161289,95.8
400 LaFave North: The Sundial,High,4,87166.12023809523,165.0,55.0,528.28,320.46,272,2.741935483870968,19.4
500 LaFave North: Big Springs,High,4,103594.6,133.0,45.0,778.91,382.27,271,5.064516129032257,45.2
501 LaFave North: Cathedral Mountain,High,4,143113.58142857143,140.0,47.0,1022.24,526.15,272,8.548387096774192,83.9
502 LaFave North: East Temple,High,4,98226.48809523809,131.0,37.0,749.82,362.46,271,3.6999999999999997,30.0
503 LaFave North: Johnson Mountain,High,4,150156.75,158.0,49.0,950.36,554.08,271,8.925806451612903,88.1
504 LaFave North: Kayenta,High,4,109837.44,162.0,55.0,678.01,405.3,271,5.935483870967742,54.8
505 LaFave North: Lava Point,High,4,110234.68333333333,130.0,43.0,847.96,406.77,271,6.225806451612902,58.1
506 LaFave North: Meridian Tower,High,4,105070.35142857143,126.0,45.0,833.89,387.71,271,5.35483870967742,48.4
507 LaFave North: Mount Kinesava,High,4,85025.56333333334,132.0,39.0,644.13,313.75,271,2.451612903225806,16.1
