month_index,month_name,avg_basis_year_count,revenue,room_nights,adr,bookings,occupancy_pct,revpar,performance_score_1_10,performance_rank_provisional,rank_filter_min_arrival,rank_filter_max_arrival
1,January,4,48265.02,118.0,409.03,42.5,11.9,48.65,1,False,,
2,February,4,88923.78,208.25,427.0,68.75,23.04,98.37,2,False,,
3,March,4,337712.06,438.75,769.71,140.0,44.23,340.44,6,False,,
4,April,4,384269.46,473.0,812.41,159.0,49.27,400.28,8,False,,
5,May,4,428621.77,509.25,841.67,165.75,51.34,432.08,10,False,,
6,June,4,403800.41,508.75,793.71,160.75,52.99,420.63,9,False,,
7,July,4,265196.11,432.25,613.52,140.75,43.57,267.33,4,False,,
8,August,3,326254.97,537.0,607.55,168.33,54.13,328.89,5,False,,
9,September,4,352379.61,448.75,785.25,143.0,46.74,367.06,7,False,,
10,October,4,359607.3,468.0,768.39,154.75,47.18,362.51,7,False,,
11,November,3,218774.3,382.0,572.71,121.67,39.79,227.89,3,False,,
12,December,3,117094.34,208.67,561.15,67.33,21.04,118.04,3,False,,
