unit_id,revenue,revenue_yoy_pct,room_nights,bookings,bookings_yoy_pct,adr,adr_yoy_pct,occupancy_pct,revpar
100 LaFave South: Temple of Sinawava,343611.88,-100.0,719,242,-100.0,477.9,,56.93,272.06
101 LaFave South: The Sentinel,360191.38,-94.27,748,258,-97.62,481.54,11.73,59.22,285.19
102 LaFave South: The Watchman,223254.71,-100.0,547,183,-100.0,408.14,,43.31,176.77
103 LaFave South: The Zion Suite,189550.6,-97.68,474,152,-96.77,399.9,-51.82,37.53,150.08
200 LaFave South: Angels Landing,599952.48,-100.0,573,186,-100.0,1047.04,,45.37,475.02
201 LaFave South: Checkerboard Mesa,390457.55,-100.0,518,163,-100.0,753.78,,41.01,309.15
202 LaFave South: Echo Canyon,406994.73,-98.16,526,165,-96.55,773.75,-43.68,41.65,322.24
203 LaFave South: Emerald Pools,405618.7,-100.0,485,143,-100.0,836.33,,38.4,321.15
204 LaFave South: Hidden Canyon,340257.0,-100.0,547,200,-100.0,622.04,,43.31,269.4
205 LaFave South: Kolob Arch,305106.8,-100.0,459,166,-100.0,664.72,,36.34,241.57
206 LaFave South: Mountain of the Sun,380661.4,-100.0,530,165,-100.0,718.23,,41.96,301.39
207 LaFave South: Mystery Falls,343978.97,-100.0,479,154,-100.0,718.12,,37.93,272.35
208 LaFave South: Northgate Peaks,240024.6,-100.0,382,127,-100.0,628.34,,30.25,190.04
209 LaFave South: Orderville Canyon,332358.34,-100.0,559,182,-100.0,594.56,,44.26,263.15
210 LaFave South: The Subway,379278.64,-100.0,488,148,-100.0,777.21,,38.64,300.3
211 LaFave South: The Narrows,501740.39,-92.19,515,164,-96.67,974.25,2.62,40.78,397.26
300 LaFave South: Bridge Mountain,115460.0,,140,48,,824.71,,11.08,91.42
301 LaFave South: West Temple,119758.0,,130,42,,921.22,,10.29,94.82
302 LaFave South: The Gallery House,642872.0,-85.86,467,125,-92.59,1376.6,-3.02,36.98,509.0
400 LaFave North: The Sundial,285329.72,-100.0,614,198,-100.0,464.71,,48.61,225.91
500 LaFave North: Big Springs,357370.02,-100.0,453,144,-100.0,788.9,,35.87,282.95
501 LaFave North: Cathedral Mountain,522244.98,-100.0,515,160,-100.0,1014.07,,40.78,413.5
502 LaFave North: East Temple,325093.95,-100.0,439,138,-100.0,740.53,,34.76,257.4
503 LaFave North: Johnson Mountain,519208.0,-100.0,541,173,-100.0,959.72,,42.83,411.09
504 LaFave North: Kayenta,295704.01,-96.22,477,164,-96.55,619.92,-29.68,37.77,234.13
505 LaFave North: Lava Point,379419.02,-100.0,465,145,-100.0,815.95,,36.82,300.41
506 LaFave North: Meridian Tower,315375.23,-100.0,393,127,-100.0,802.48,,31.12,249.7
507 LaFave North: Mount Kinesava,262477.48,-100.0,437,145,-100.0,600.63,,34.6,207.82
508 LaFave North: Phantom Valley,306225.0,-100.0,437,140,-100.0,700.74,,34.6,242.46
509 LaFave North: Pine Creek,351518.0,-100.0,484,146,-100.0,726.28,,38.32,278.32
510 LaFave North: Virgin River,503617.8,-100.0,513,157,-100.0,981.71,,40.62,398.75
511 LaFave North: Weeping Rock,350583.25,-100.0,578,207,-100.0,606.55,,45.76,277.58
PROPERTY,11397878.63,-98.34,15635,5058,-99.22,729.0,14.96,38.69,282.01
