period_label,period_start,period_end,unit_id,revenue,room_nights,bookings,adr,occupancy_pct,revpar
2026_Q1,2026-01-01,2026-03-31,100 LaFave South: Temple of Sinawava,24214.0,65,21,372.52,72.22,269.04
2026_Q1,2026-01-01,2026-03-31,101 LaFave South: The Sentinel,21179.0,52,21,407.29,57.78,235.32
2026_Q1,2026-01-01,2026-03-31,102 LaFave South: The Watchman,19393.01,58,17,334.36,64.44,215.48
2026_Q1,2026-01-01,2026-03-31,103 LaFave South: The Zion Suite,15174.0,43,11,352.88,47.78,168.6
2026_Q1,2026-01-01,2026-03-31,200 LaFave South: Angels Landing,36639.0,41,17,893.63,45.56,407.1
2026_Q1,2026-01-01,2026-03-31,201 LaFave South: Checkerboard Mesa,24397.0,40,13,609.92,44.44,271.08
2026_Q1,2026-01-01,2026-03-31,202 LaFave South: Echo Canyon,25608.0,38,12,673.89,42.22,284.53
2026_Q1,2026-01-01,2026-03-31,203 LaFave South: Emerald Pools,24030.0,30,10,801.0,33.33,267.0
2026_Q1,2026-01-01,2026-03-31,204 LaFave South: Hidden Canyon,26427.0,51,18,518.18,56.67,293.63
2026_Q1,2026-01-01,2026-03-31,205 LaFave South: Kolob Arch,22017.0,38,13,579.39,42.22,244.63
2026_Q1,2026-01-01,2026-03-31,206 LaFave South: Mountain of the Sun,24922.0,39,13,639.03,43.33,276.91
2026_Q1,2026-01-01,2026-03-31,207 LaFave South: Mystery Falls,20410.0,30,10,680.33,33.33,226.78
2026_Q1,2026-01-01,2026-03-31,208 LaFave South: Northgate Peaks,2706.0,6,4,451.0,6.67,30.07
2026_Q1,2026-01-01,2026-03-31,209 LaFave South: Orderville Canyon,22952.0,39,13,588.51,43.33,255.02
2026_Q1,2026-01-01,2026-03-31,210 LaFave South: The Subway,18932.0,24,8,788.83,26.67,210.36
2026_Q1,2026-01-01,2026-03-31,211 LaFave South: The Narrows,31516.88,35,12,900.48,38.89,350.19
2026_Q1,2026-01-01,2026-03-31,302 LaFave South: The Gallery House,45808.0,36,12,1272.44,40.0,508.98
2026_Q1,2026-01-01,2026-03-31,400 LaFave North: The Sundial,21227.0,56,13,379.05,62.22,235.86
2026_Q1,2026-01-01,2026-03-31,500 LaFave North: Big Springs,21325.0,32,10,666.41,35.56,236.94
2026_Q1,2026-01-01,2026-03-31,501 LaFave North: Cathedral Mountain,33440.98,39,14,857.46,43.33,371.57
2026_Q1,2026-01-01,2026-03-31,502 LaFave North: East Temple,16953.95,24,9,706.41,26.67,188.38
2026_Q1,2026-01-01,2026-03-31,503 LaFave North: Johnson Mountain,35102.0,45,13,780.04,50.0,390.02
2026_Q1,2026-01-01,2026-03-31,504 LaFave North: Kayenta,17944.0,36,10,498.44,40.0,199.38
2026_Q1,2026-01-01,2026-03-31,505 LaFave North: Lava Point,22038.0,29,7,759.93,32.22,244.87
2026_Q1,2026-01-01,2026-03-31,506 LaFave North: Meridian Tower,20405.0,27,10,755.74,30.0,226.72
2026_Q1,2026-01-01,2026-03-31,507 LaFave North: Mount Kinesava,17201.0,28,9,614.32,31.11,191.12
2026_Q1,2026-01-01,2026-03-31,508 LaFave North: Phantom Valley,19660.0,30,10,655.33,33.33,218.44
2026_Q1,2026-01-01,2026-03-31,509 LaFave North: Pine Creek,19611.0,28,9,700.39,31.11,217.9
2026_Q1,2026-01-01,2026-03-31,510 LaFave North: Virgin River,30508.0,34,12,897.29,37.78,338.98
2026_Q1,2026-01-01,2026-03-31,511 LaFave North: Weeping Rock,29248.0,53,17,551.85,58.89,324.98
2026_Q1,2026-01-01,2026-03-31,PROPERTY,710988.82,1126,368,631.43,39.1,246.87
