tier_id,tier_label,start_date,end_date,length_days
2,Low,2024-01-01,2024-01-02,2
1,Soft,2024-01-03,2024-02-14,43
2,Low,2024-02-15,2024-02-25,11
1,Soft,2024-02-26,2024-02-29,4
2,Low,2024-03-01,2024-03-08,8
3,Shoulder,2024-03-09,2024-03-16,8
4,High,2024-03-17,2024-03-25,9
5,Peak,2024-03-26,2024-04-13,19
4,High,2024-04-14,2024-04-29,16
3,Shoulder,2024-04-30,2024-05-05,6
4,High,2024-05-06,2024-05-17,12
5,Peak,2024-05-18,2024-05-31,14
4,High,2024-06-01,2024-06-13,13
5,Peak,2024-06-14,2024-06-27,14
4,High,2024-06-28,2024-07-03,6
3,Shoulder,2024-07-04,2024-08-15,43
2,Low,2024-08-16,2024-08-31,16
3,Shoulder,2024-09-01,2024-09-14,14
4,High,2024-09-15,2024-09-18,4
5,Peak,2024-09-19,2024-10-17,29
4,High,2024-10-18,2024-10-22,5
3,Shoulder,2024-10-23,2024-10-29,7
2,Low,2024-10-30,2024-12-03,35
1,Soft,2024-12-04,2024-12-22,19
2,Low,2024-12-23,2025-01-04,13
1,Soft,2025-01-05,2025-02-17,44
2,Low,2025-02-18,2025-02-22,5
1,Soft,2025-02-23,2025-02-28,6
2,Low,2025-03-01,2025-03-08,8
3,Shoulder,2025-03-09,2025-03-15,7
4,High,2025-03-16,2025-03-25,10
5,Peak,2025-03-26,2025-04-09,15
4,High,2025-04-10,2025-04-10,1
5,Peak,2025-04-11,2025-04-12,2
4,High,2025-04-13,2025-04-27,15
3,Shoulder,2025-04-28,2025-05-06,9
4,High,2025-05-07,2025-05-18,12
5,Peak,2025-05-19,2025-05-31,13
4,High,2025-06-01,2025-06-13,13
5,Peak,2025-06-14,2025-06-27,14
4,High,2025-06-28,2025-07-03,6
3,Shoulder,2025-07-04,2025-08-15,43
2,Low,2025-08-16,2025-08-31,16
3,Shoulder,2025-09-01,2025-09-14,14
4,High,2025-09-15,2025-09-18,4
5,Peak,2025-09-19,2025-10-17,29
4,High,2025-10-18,2025-10-22,5
3,Shoulder,2025-10-23,2025-10-29,7
2,Low,2025-10-30,2025-12-03,35
1,Soft,2025-12-04,2025-12-22,19
2,Low,2025-12-23,2026-01-04,13
1,Soft,2026-01-05,2026-02-17,44
2,Low,2026-02-18,2026-02-22,5
1,Soft,2026-02-23,2026-02-28,6
2,Low,2026-03-01,2026-03-08,8
3,Shoulder,2026-03-09,2026-03-15,7
4,High,2026-03-16,2026-03-25,10
5,Peak,2026-03-26,2026-04-09,15
4,High,2026-04-10,2026-04-10,1
5,Peak,2026-04-11,2026-04-12,2
4,High,2026-04-13,2026-04-27,15
3,Shoulder,2026-04-28,2026-05-06,9
4,High,2026-05-07,2026-05-18,12
5,Peak,2026-05-19,2026-05-31,13
4,High,2026-06-01,2026-06-13,13
5,Peak,2026-06-14,2026-06-27,14
4,High,2026-06-28,2026-07-03,6
3,Shoulder,2026-07-04,2026-08-15,43
2,Low,2026-08-16,2026-08-31,16
3,Shoulder,2026-09-01,2026-09-14,14
4,High,2026-09-15,2026-09-18,4
5,Peak,2026-09-19,2026-10-17,29
4,High,2026-10-18,2026-10-22,5
3,Shoulder,2026-10-23,2026-10-29,7
2,Low,2026-10-30,2026-12-03,35
1,Soft,2026-12-04,2026-12-22,19
2,Low,2026-12-23,2027-01-04,13
1,Soft,2027-01-05,2027-02-17,44
2,Low,2027-02-18,2027-02-22,5
1,Soft,2027-02-23,2027-02-28,6
2,Low,2027-03-01,2027-03-08,8
3,Shoulder,2027-03-09,2027-03-15,7
4,High,2027-03-16,2027-03-25,10
5,Peak,2027-03-26,2027-04-09,15
4,High,2027-04-10,2027-04-10,1
5,Peak,2027-04-11,2027-04-12,2
4,High,2027-04-13,2027-04-27,15
3,Shoulder,2027-04-28,2027-05-06,9
4,High,2027-05-07,2027-05-18,12
5,Peak,2027-05-19,2027-05-31,13
4,High,2027-06-01,2027-06-16,16
