tier_id,tier_label,lead_band,adr,revenue,revenue_share_of_tier,booking_count,room_nights,room_night_share_of_tier,occupancy_pct_of_tier_capacity,tier_occupancy_pct
1,Soft,0-7 days,412.01,100531.0,16.72,102,244,17.12,2.76,16.13
1,Soft,8-14 days,405.41,58379.0,9.71,51,144,10.11,1.63,16.13
1,Soft,15-30 days,433.73,123613.0,20.56,94,285,20.0,3.23,16.13
1,Soft,31-45 days,416.29,95747.0,15.93,74,230,16.14,2.6,16.13
1,Soft,46-60 days,415.59,50286.0,8.37,43,121,8.49,1.37,16.13
1,Soft,61-75 days,357.06,30350.0,5.05,24,85,5.96,0.96,16.13
1,Soft,76-90 days,437.14,34971.0,5.82,23,80,5.61,0.91,16.13
1,Soft,91-120 days,360.44,28114.0,4.68,22,78,5.47,0.88,16.13
1,Soft,121-180 days,490.57,25019.2,4.16,17,51,3.58,0.58,16.13
1,Soft,181-270 days,495.47,37160.36,6.18,22,75,5.26,0.85,16.13
1,Soft,271-365 days,529.5,16944.0,2.82,7,32,2.25,0.36,16.13
2,Low,0-7 days,533.65,115802.02,6.58,95,217,7.34,2.48,33.86
2,Low,8-14 days,577.13,116579.91,6.62,72,202,6.83,2.31,33.86
2,Low,15-30 days,513.81,236864.48,13.46,159,461,15.58,5.28,33.86
2,Low,31-45 days,507.63,236046.23,13.41,147,465,15.72,5.32,33.86
2,Low,46-60 days,577.01,171370.84,9.74,100,297,10.04,3.4,33.86
2,Low,61-75 days,498.99,116762.86,6.63,71,234,7.91,2.68,33.86
2,Low,76-90 days,557.02,87452.49,4.97,49,157,5.31,1.8,33.86
2,Low,91-120 days,653.4,183606.01,10.43,78,281,9.5,3.22,33.86
2,Low,121-180 days,673.78,242562.02,13.78,106,360,12.17,4.12,33.86
2,Low,181-270 days,776.99,150735.11,8.56,58,194,6.56,2.22,33.86
2,Low,271-365 days,916.0,53128.0,3.02,15,58,1.96,0.66,33.86
2,Low,365+ days,1533.25,49064.0,2.79,7,32,1.08,0.37,33.86
3,Shoulder,0-7 days,553.08,163712.34,6.09,119,296,7.22,3.36,46.61
3,Shoulder,8-14 days,531.36,126463.32,4.71,87,238,5.8,2.7,46.61
3,Shoulder,15-30 days,552.38,289446.75,10.77,182,524,12.77,5.95,46.61
3,Shoulder,31-45 days,575.17,258249.95,9.61,140,449,10.95,5.1,46.61
3,Shoulder,46-60 days,597.67,274928.33,10.23,150,460,11.21,5.23,46.61
3,Shoulder,61-75 days,652.97,210256.51,7.82,102,322,7.85,3.66,46.61
3,Shoulder,76-90 days,637.47,192515.69,7.16,83,302,7.36,3.43,46.61
3,Shoulder,91-120 days,742.97,318732.36,11.86,133,429,10.46,4.88,46.61
3,Shoulder,121-180 days,767.04,393491.12,14.64,147,513,12.51,5.83,46.61
3,Shoulder,181-270 days,800.12,295244.01,10.99,106,369,9.0,4.19,46.61
3,Shoulder,271-365 days,822.19,147993.7,5.51,52,180,4.39,2.05,46.61
3,Shoulder,365+ days,824.85,16497.03,0.61,8,20,0.49,0.23,46.61
4,High,0-7 days,698.19,143826.57,4.09,82,206,4.72,2.32,49.21
4,High,8-14 days,730.59,125660.66,3.57,72,172,3.94,1.94,49.21
4,High,15-30 days,781.52,279783.27,7.95,133,358,8.21,4.04,49.21
4,High,31-45 days,792.17,310528.91,8.83,134,392,8.99,4.42,49.21
4,High,46-60 days,750.81,335609.84,9.54,151,447,10.25,5.04,49.21
4,High,61-75 days,778.6,293532.03,8.35,129,377,8.64,4.25,49.21
4,High,76-90 days,771.74,293259.51,8.34,128,380,8.71,4.29,49.21
4,High,91-120 days,779.0,530496.69,15.08,211,681,15.61,7.68,49.21
4,High,121-180 days,837.77,535335.9,15.22,189,639,14.65,7.21,49.21
4,High,181-270 days,942.79,371457.9,10.56,111,394,9.03,4.44,49.21
4,High,271-365 days,931.86,231100.15,6.57,67,248,5.69,2.8,49.21
4,High,365+ days,981.37,66732.9,1.9,14,68,1.56,0.77,49.21
5,Peak,0-7 days,787.3,107860.71,2.63,56,137,2.76,1.57,56.94
5,Peak,8-14 days,812.04,113685.12,2.78,60,140,2.82,1.61,56.94
5,Peak,15-30 days,789.29,231261.43,5.65,112,293,5.91,3.37,56.94
5,Peak,31-45 days,770.3,299646.0,7.32,143,389,7.85,4.47,56.94
5,Peak,46-60 days,805.92,384424.15,9.39,165,477,9.62,5.48,56.94
5,Peak,61-75 days,841.0,471802.96,11.52,192,561,11.32,6.45,56.94
5,Peak,76-90 days,793.24,445008.11,10.87,180,561,11.32,6.45,56.94
5,Peak,91-120 days,808.36,553726.55,13.52,202,685,13.82,7.87,56.94
5,Peak,121-180 days,829.27,675026.56,16.48,249,814,16.42,9.35,56.94
5,Peak,181-270 days,899.34,574675.08,14.03,185,639,12.89,7.34,56.94
5,Peak,271-365 days,866.76,186353.26,4.55,60,215,4.34,2.47,56.94
5,Peak,365+ days,1156.87,52059.1,1.27,12,45,0.91,0.52,56.94
