source,season,room_type,dow,rate
draft_matrix,high,House (6BR/4BA),Mon,1625
draft_matrix,high,House (6BR/4BA),Tue,1625
draft_matrix,high,House (6BR/4BA),Wed,1641
draft_matrix,high,House (6BR/4BA),Thu,1877
draft_matrix,high,House (6BR/4BA),Fri,1877
draft_matrix,high,House (6BR/4BA),Sat,1994
draft_matrix,high,House (6BR/4BA),Sun,1709
draft_matrix,high,Suite BIG (1BR/1BA),Mon,510
draft_matrix,high,Suite BIG (1BR/1BA),Tue,510
draft_matrix,high,Suite BIG (1BR/1BA),Wed,516
draft_matrix,high,Suite BIG (1BR/1BA),Thu,596
draft_matrix,high,Suite BIG (1BR/1BA),Fri,596
draft_matrix,high,Suite BIG (1BR/1BA),Sat,636
draft_matrix,high,Suite BIG (1BR/1BA),Sun,539
draft_matrix,high,Suite SMALL (1BR/1BA),Mon,418
draft_matrix,high,Suite SMALL (1BR/1BA),Tue,418
draft_matrix,high,Suite SMALL (1BR/1BA),Wed,422
draft_matrix,high,Suite SMALL (1BR/1BA),Thu,492
draft_matrix,high,Suite SMALL (1BR/1BA),Fri,492
draft_matrix,high,Suite SMALL (1BR/1BA),Sat,526
draft_matrix,high,Suite SMALL (1BR/1BA),Sun,442
draft_matrix,high,Deluxe Villa (2BR/1BA),Mon,645
draft_matrix,high,Deluxe Villa (2BR/1BA),Tue,645
draft_matrix,high,Deluxe Villa (2BR/1BA),Wed,652
draft_matrix,high,Deluxe Villa (2BR/1BA),Thu,755
draft_matrix,high,Deluxe Villa (2BR/1BA),Fri,755
draft_matrix,high,Deluxe Villa (2BR/1BA),Sat,806
draft_matrix,high,Deluxe Villa (2BR/1BA),Sun,682
draft_matrix,high,Premium Villa (2BR/2BA),Mon,796
draft_matrix,high,Premium Villa (2BR/2BA),Tue,796
draft_matrix,high,Premium Villa (2BR/2BA),Wed,804
draft_matrix,high,Premium Villa (2BR/2BA),Thu,926
draft_matrix,high,Premium Villa (2BR/2BA),Fri,926
draft_matrix,high,Premium Villa (2BR/2BA),Sat,987
draft_matrix,high,Premium Villa (2BR/2BA),Sun,839
draft_matrix,high,Villa Game (2BR/2BA),Mon,879
draft_matrix,high,Villa Game (2BR/2BA),Tue,879
draft_matrix,high,Villa Game (2BR/2BA),Wed,889
draft_matrix,high,Villa Game (2BR/2BA),Thu,1022
draft_matrix,high,Villa Game (2BR/2BA),Fri,1022
