listing_group,month_index,month_name,draft_base,published,diff,diff_pct
Deluxe Villa (2BR/1BA),1,Jan,389.0,309,-80.0,-20.6
Deluxe Villa (2BR/1BA),2,Feb,442.0,309,-133.0,-30.1
Deluxe Villa (2BR/1BA),3,Mar,630.0,724,94.0,14.9
Deluxe Villa (2BR/1BA),4,Apr,692.0,831,139.0,20.1
Deluxe Villa (2BR/1BA),5,May,728.0,680,-48.0,-6.6
Deluxe Villa (2BR/1BA),6,Jun,703.0,787,84.0,11.9
Deluxe Villa (2BR/1BA),7,Jul,573.0,624,51.0,8.9
Deluxe Villa (2BR/1BA),8,Aug,579.0,552,-27.0,-4.7
Deluxe Villa (2BR/1BA),9,Sep,648.0,960,312.0,48.1
Deluxe Villa (2BR/1BA),10,Oct,672.0,848,176.0,26.2
Deluxe Villa (2BR/1BA),11,Nov,523.0,492,-31.0,-5.9
Deluxe Villa (2BR/1BA),12,Dec,337.0,374,37.0,11.0
House (6BR/4BA),1,Jan,1079.0,1262,183.0,17.0
House (6BR/4BA),2,Feb,1294.0,1333,39.0,3.0
House (6BR/4BA),3,Mar,1509.0,2552,1043.0,69.1
House (6BR/4BA),4,Apr,1760.0,2384,624.0,35.5
House (6BR/4BA),5,May,1844.0,2411,567.0,30.7
House (6BR/4BA),6,Jun,1760.0,2270,510.0,29.0
House (6BR/4BA),7,Jul,1395.0,2040,645.0,46.2
House (6BR/4BA),8,Aug,1509.0,1858,349.0,23.1
House (6BR/4BA),9,Sep,1658.0,2865,1207.0,72.8
House (6BR/4BA),10,Oct,1658.0,2510,852.0,51.4
House (6BR/4BA),11,Nov,1395.0,1766,371.0,26.6
House (6BR/4BA),12,Dec,868.0,1292,424.0,48.8
J.MT. Villa (3BR/2BA),1,Jan,651.0,628,-23.0,-3.5
J.MT. Villa (3BR/2BA),2,Feb,651.0,588,-63.0,-9.7
J.MT. Villa (3BR/2BA),3,Mar,1013.0,1568,555.0,54.8
J.MT. Villa (3BR/2BA),4,Apr,1105.0,1669,564.0,51.0
J.MT. Villa (3BR/2BA),5,May,1159.0,1445,286.0,24.7
J.MT. Villa (3BR/2BA),6,Jun,1122.0,1580,458.0,40.8
J.MT. Villa (3BR/2BA),7,Jul,930.0,1306,376.0,40.4
J.MT. Villa (3BR/2BA),8,Aug,945.0,1177,232.0,24.6
J.MT. Villa (3BR/2BA),9,Sep,1040.0,1824,784.0,75.4
J.MT. Villa (3BR/2BA),10,Oct,1076.0,1619,543.0,50.5
J.MT. Villa (3BR/2BA),11,Nov,871.0,1120,249.0,28.6
J.MT. Villa (3BR/2BA),12,Dec,506.0,804,298.0,58.9
Premier Villa (3BR/3BA),1,Jan,637.0,594,-43.0,-6.8
Premier Villa (3BR/3BA),2,Feb,726.0,578,-148.0,-20.4
Premier Villa (3BR/3BA),3,Mar,1101.0,1590,489.0,44.4
Premier Villa (3BR/3BA),4,Apr,1211.0,1702,491.0,40.5
Premier Villa (3BR/3BA),5,May,1284.0,1512,228.0,17.8
