source,season,room_type,dow,rate
published,high,House (6BR/4BA),Mon,2356
published,high,House (6BR/4BA),Tue,2127
published,high,House (6BR/4BA),Wed,2451
published,high,House (6BR/4BA),Thu,2904
published,high,House (6BR/4BA),Fri,3060
published,high,House (6BR/4BA),Sat,3065
published,high,House (6BR/4BA),Sun,2510
published,high,Suite BIG (1BR/1BA),Mon,578
published,high,Suite BIG (1BR/1BA),Tue,560
published,high,Suite BIG (1BR/1BA),Wed,603
published,high,Suite BIG (1BR/1BA),Thu,709
published,high,Suite BIG (1BR/1BA),Fri,733
published,high,Suite BIG (1BR/1BA),Sat,775
published,high,Suite BIG (1BR/1BA),Sun,639
published,high,Suite SMALL (1BR/1BA),Mon,415
published,high,Suite SMALL (1BR/1BA),Tue,433
published,high,Suite SMALL (1BR/1BA),Wed,461
published,high,Suite SMALL (1BR/1BA),Thu,558
published,high,Suite SMALL (1BR/1BA),Fri,503
published,high,Suite SMALL (1BR/1BA),Sat,609
published,high,Suite SMALL (1BR/1BA),Sun,486
published,high,Deluxe Villa (2BR/1BA),Mon,710
published,high,Deluxe Villa (2BR/1BA),Tue,693
published,high,Deluxe Villa (2BR/1BA),Wed,746
published,high,Deluxe Villa (2BR/1BA),Thu,872
published,high,Deluxe Villa (2BR/1BA),Fri,916
published,high,Deluxe Villa (2BR/1BA),Sat,990
published,high,Deluxe Villa (2BR/1BA),Sun,811
published,high,Premium Villa (2BR/2BA),Mon,895
published,high,Premium Villa (2BR/2BA),Tue,882
published,high,Premium Villa (2BR/2BA),Wed,931
published,high,Premium Villa (2BR/2BA),Thu,1082
published,high,Premium Villa (2BR/2BA),Fri,1130
published,high,Premium Villa (2BR/2BA),Sat,1136
published,high,Premium Villa (2BR/2BA),Sun,952
published,high,Villa Game (2BR/2BA),Mon,1011
published,high,Villa Game (2BR/2BA),Tue,1011
published,high,Villa Game (2BR/2BA),Wed,1044
published,high,Villa Game (2BR/2BA),Thu,1212
published,high,Villa Game (2BR/2BA),Fri,1306
published,high,Villa Game (2BR/2BA),Sat,1282
published,high,Villa Game (2BR/2BA),Sun,1071
published,high,J.MT. Villa (3BR/2BA),Mon,1518
published,high,J.MT. Villa (3BR/2BA),Tue,1446
published,high,J.MT. Villa (3BR/2BA),Wed,1576
published,high,J.MT. Villa (3BR/2BA),Thu,1812
published,high,J.MT. Villa (3BR/2BA),Fri,1795
published,high,J.MT. Villa (3BR/2BA),Sat,1889
