date,unit_id,listing,listing_group,season,month,dow,ati_static,pricelabs,gap_dollars,gap_abs
2027-03-25,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,3,Thursday,1500,4166.0,-2666.0,2666.0
2027-05-01,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,5,Saturday,1500,4146.0,-2646.0,2646.0
2027-05-29,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,5,Saturday,1500,4067.0,-2567.0,2567.0
2027-03-27,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,3,Saturday,1500,3990.0,-2490.0,2490.0
2027-05-28,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,5,Friday,1500,3917.0,-2417.0,2417.0
2027-03-26,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,3,Friday,1500,3830.0,-2330.0,2330.0
2027-09-04,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,9,Saturday,1525,3678.0,-2153.0,2153.0
2027-09-03,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,9,Friday,1525,3553.0,-2028.0,2028.0
2027-03-06,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,3,Saturday,1500,3453.0,-1953.0,1953.0
2027-05-27,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,5,Thursday,1500,3410.0,-1910.0,1910.0
2027-03-24,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,3,Wednesday,1500,3389.0,-1889.0,1889.0
2027-05-31,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,5,Monday,1500,3372.0,-1872.0,1872.0
2027-11-25,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Shoulder,11,Thursday,1475,3334.0,-1859.0,1859.0
2027-05-30,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,5,Sunday,1500,3354.0,-1854.0,1854.0
2027-09-18,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,9,Saturday,1525,3372.0,-1847.0,1847.0
2027-09-17,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,9,Friday,1525,3258.0,-1733.0,1733.0
2027-03-05,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,3,Friday,1500,3226.0,-1726.0,1726.0
2027-03-25,200 LaFave South: Angels Landing,Angels Landing,Premier Villa (3BR/3BA),Spring Peak,3,Thursday,1025,2738.0,-1713.0,1713.0
2027-06-26,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,6,Saturday,1500,3203.0,-1703.0,1703.0
2027-04-03,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,4,Saturday,1500,3158.0,-1658.0,1658.0
