example_window,date,dow,unit_id,listing_group,season,ati_static_rate,pricelabs_override,gap_dollars,gap_pct
Off (Jan 2027),2027-01-12,Tuesday,The Zion Suite,Suite SMALL (1BR/1BA),Off,225,380.0,-155.0,-0.4078947368421053
Off (Jan 2027),2027-01-12,Tuesday,Checkerboard Mesa,Premium Villa (2BR/2BA),Off,575,322.0,253.0,0.7857142857142858
Off (Jan 2027),2027-01-12,Tuesday,Emerald Pools,Villa Game (2BR/2BA),Off,600,396.0,204.0,0.5151515151515151
Off (Jan 2027),2027-01-12,Tuesday,Angels Landing,Premier Villa (3BR/3BA),Off,675,517.0,158.0,0.3056092843326885
Off (Jan 2027),2027-01-12,Tuesday,The Gallery House,House (6BR/4BA),Off,1250,1112.0,138.0,0.12410071942446033
Off (Jan 2027),2027-01-15,Friday,The Zion Suite,Suite SMALL (1BR/1BA),Off,225,346.0,-121.0,-0.3497109826589595
Off (Jan 2027),2027-01-15,Friday,Checkerboard Mesa,Premium Villa (2BR/2BA),Off,575,423.0,152.0,0.3593380614657211
Off (Jan 2027),2027-01-15,Friday,Emerald Pools,Villa Game (2BR/2BA),Off,600,534.0,66.0,0.12359550561797761
Off (Jan 2027),2027-01-15,Friday,Angels Landing,Premier Villa (3BR/3BA),Off,675,691.0,-16.0,-0.02315484804630974
Off (Jan 2027),2027-01-15,Friday,The Gallery House,House (6BR/4BA),Off,1250,1443.0,-193.0,-0.13374913374913378
Off (Jan 2027),2027-01-16,Saturday,The Zion Suite,Suite SMALL (1BR/1BA),Off,225,374.0,-149.0,-0.39839572192513373
Off (Jan 2027),2027-01-16,Saturday,Checkerboard Mesa,Premium Villa (2BR/2BA),Off,575,455.0,120.0,0.2637362637362637
Off (Jan 2027),2027-01-16,Saturday,Emerald Pools,Villa Game (2BR/2BA),Off,600,575.0,25.0,0.04347826086956519
Off (Jan 2027),2027-01-16,Saturday,Angels Landing,Premier Villa (3BR/3BA),Off,675,752.0,-77.0,-0.10239361702127658
Off (Jan 2027),2027-01-16,Saturday,The Gallery House,House (6BR/4BA),Off,1250,1550.0,-300.0,-0.19354838709677424
Shoulder (Jul 2027),2027-07-13,Tuesday,The Zion Suite,Suite SMALL (1BR/1BA),Shoulder,325,328.0,-3.0,-0.009146341463414642
Shoulder (Jul 2027),2027-07-13,Tuesday,Checkerboard Mesa,Premium Villa (2BR/2BA),Shoulder,600,707.0,-107.0,-0.15134370579915135
Shoulder (Jul 2027),2027-07-13,Tuesday,Emerald Pools,Villa Game (2BR/2BA),Shoulder,625,785.0,-160.0,-0.20382165605095537
Shoulder (Jul 2027),2027-07-13,Tuesday,Angels Landing,Premier Villa (3BR/3BA),Shoulder,825,1233.0,-408.0,-0.3309002433090025
