Listing Id,Listing Name,PMS Name,Reason,Start Date,End Date,Price,Currency,Price Type,Minimum Stay,Minimum Price,Minimum Price Type,Maximum Price,Maximum Price Type
4140___8128,LaFave: Luxury Rentals at Zion--Mystery Premium Villa (2BR/2BA),resnexus,,2027-01-04,2027-01-04,319,USD,fixed,2,,fixed,,fixed
4140___8114,LaFave: Luxury Rentals at Zion--J.MT. Villa (3BR/2BA),resnexus,,2027-01-04,2027-01-04,450,USD,fixed,2,,fixed,,fixed
4140___8115,LaFave: Luxury Rentals at Zion--House (6BR/4BA),resnexus,,2027-01-04,2027-01-04,790,USD,fixed,2,,fixed,,fixed
4140___8117,LaFave: Luxury Rentals at Zion--Sinawava Suite BIG (1BR/1BA),resnexus,,2027-01-04,2027-01-04,218,USD,fixed,2,,fixed,,fixed
4140___8118,LaFave: Luxury Rentals at Zion--Sentinel Suite BIG (1BR/1BA),resnexus,,2027-01-04,2027-01-04,223,USD,fixed,2,,fixed,,fixed
4140___8119,LaFave: Luxury Rentals at Zion--Sundial Suite BIG (1BR/1BA),resnexus,,2027-01-04,2027-01-04,206,USD,fixed,2,,fixed,,fixed
4140___8120,LaFave: Luxury Rentals at Zion--Watchman Suite SMALL (1BR/1BA),resnexus,,2027-01-04,2027-01-04,175,USD,fixed,2,,fixed,,fixed
4140___8121,LaFave: Luxury Rentals at Zion--Zion Suite SMALL (1BR/1BA),resnexus,,2027-01-04,2027-01-04,175,USD,fixed,2,,fixed,,fixed
4140___8122,LaFave: Luxury Rentals at Zion--Emerald Villa Game (2BR/2BA),resnexus,,2027-01-04,2027-01-04,393,USD,fixed,2,,fixed,,fixed
4140___8123,LaFave: Luxury Rentals at Zion--Subway Villa Game (2BR/2BA),resnexus,,2027-01-04,2027-01-04,379,USD,fixed,2,,fixed,,fixed
4140___8124,LaFave: Luxury Rentals at Zion--Meridian Villa Game (2BR/2BA),resnexus,,2027-01-04,2027-01-04,379,USD,fixed,2,,fixed,,fixed
4140___8125,LaFave: Luxury Rentals at Zion--Checkerboard Premium Villa (2BR/2BA),resnexus,,2027-01-04,2027-01-04,325,USD,fixed,2,,fixed,,fixed
