Listing Id,Listing Name,PMS Name,Reason,Start Date,End Date,Price,Currency,Price Type,Minimum Stay,Minimum Price,Minimum Price Type,Maximum Price,Maximum Price Type
4140___8141,LaFave: Luxury Rentals at Zion--Angels Premier Villa (3BR/3BA),resnexus,,2026-03-26,2026-03-26,,USD,fixed,2,,fixed,,fixed
4140___8141,LaFave: Luxury Rentals at Zion--Angels Premier Villa (3BR/3BA),resnexus,,2026-03-27,2026-03-27,,USD,fixed,2,,fixed,,fixed
4140___8141,LaFave: Luxury Rentals at Zion--Angels Premier Villa (3BR/3BA),resnexus,,2026-03-28,2026-03-28,,USD,fixed,2,,fixed,,fixed
4140___8141,LaFave: Luxury Rentals at Zion--Angels Premier Villa (3BR/3BA),resnexus,,2026-03-29,2026-03-29,,USD,fixed,2,,fixed,,fixed
4140___8141,LaFave: Luxury Rentals at Zion--Angels Premier Villa (3BR/3BA),resnexus,,2026-03-30,2026-03-30,,USD,fixed,2,,fixed,,fixed
4140___8141,LaFave: Luxury Rentals at Zion--Angels Premier Villa (3BR/3BA),resnexus,,2026-03-31,2026-03-31,,USD,fixed,2,,fixed,,fixed
4140___8141,LaFave: Luxury Rentals at Zion--Angels Premier Villa (3BR/3BA),resnexus,,2026-04-01,2026-04-01,,USD,fixed,2,,fixed,,fixed
4140___8141,LaFave: Luxury Rentals at Zion--Angels Premier Villa (3BR/3BA),resnexus,,2026-04-02,2026-04-02,,USD,fixed,2,,fixed,,fixed
4140___8141,LaFave: Luxury Rentals at Zion--Angels Premier Villa (3BR/3BA),resnexus,,2026-04-03,2026-04-03,,USD,fixed,2,,fixed,,fixed
4140___8141,LaFave: Luxury Rentals at Zion--Angels Premier Villa (3BR/3BA),resnexus,,2026-04-04,2026-04-04,,USD,fixed,2,,fixed,,fixed
4140___8141,LaFave: Luxury Rentals at Zion--Angels Premier Villa (3BR/3BA),resnexus,,2026-04-05,2026-04-05,,USD,fixed,2,,fixed,,fixed
4140___8141,LaFave: Luxury Rentals at Zion--Angels Premier Villa (3BR/3BA),resnexus,,2026-04-06,2026-04-06,,USD,fixed,2,,fixed,,fixed
4140___8141,LaFave: Luxury Rentals at Zion--Angels Premier Villa (3BR/3BA),resnexus,,2026-04-07,2026-04-07,,USD,fixed,2,,fixed,,fixed
4140___8141,LaFave: Luxury Rentals at Zion--Angels Premier Villa (3BR/3BA),resnexus,,2026-04-08,2026-04-08,,USD,fixed,2,,fixed,,fixed
4140___8141,LaFave: Luxury Rentals at Zion--Angels Premier Villa (3BR/3BA),resnexus,,2026-04-09,2026-04-09,,USD,fixed,2,,fixed,,fixed
