unit_id,month_index,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
100 LaFave South: Temple of Sinawava,1,316.0,316.0,332.0,412.0,412.0,433.0,343.0
100 LaFave South: Temple of Sinawava,2,316.0,316.0,332.0,412.0,412.0,433.0,343.0
100 LaFave South: Temple of Sinawava,3,460.0,460.0,477.0,563.0,563.0,586.0,488.0
100 LaFave South: Temple of Sinawava,4,555.0,555.0,573.0,659.0,659.0,681.0,584.0
100 LaFave South: Temple of Sinawava,5,531.0,531.0,549.0,635.0,635.0,658.0,560.0
100 LaFave South: Temple of Sinawava,6,484.0,484.0,501.0,587.0,587.0,610.0,512.0
100 LaFave South: Temple of Sinawava,7,436.0,436.0,453.0,539.0,539.0,562.0,465.0
100 LaFave South: Temple of Sinawava,8,412.0,412.0,429.0,515.0,515.0,538.0,441.0
100 LaFave South: Temple of Sinawava,9,508.0,508.0,525.0,611.0,611.0,634.0,536.0
100 LaFave South: Temple of Sinawava,10,508.0,508.0,525.0,611.0,611.0,634.0,536.0
100 LaFave South: Temple of Sinawava,11,388.0,388.0,405.0,491.0,491.0,514.0,417.0
100 LaFave South: Temple of Sinawava,12,252.0,252.0,263.0,319.0,319.0,334.0,271.0
101 LaFave South: The Sentinel,1,367.0,367.0,384.0,471.0,471.0,494.0,396.0
101 LaFave South: The Sentinel,2,391.0,391.0,408.0,495.0,495.0,518.0,420.0
101 LaFave South: The Sentinel,3,487.0,487.0,505.0,591.0,591.0,614.0,516.0
101 LaFave South: The Sentinel,4,584.0,584.0,601.0,688.0,688.0,711.0,613.0
101 LaFave South: The Sentinel,5,560.0,560.0,577.0,664.0,664.0,687.0,588.0
101 LaFave South: The Sentinel,6,511.0,511.0,529.0,615.0,615.0,639.0,540.0
101 LaFave South: The Sentinel,7,463.0,463.0,481.0,567.0,567.0,590.0,492.0
101 LaFave South: The Sentinel,8,439.0,439.0,456.0,543.0,543.0,566.0,468.0
101 LaFave South: The Sentinel,9,535.0,535.0,553.0,639.0,639.0,663.0,564.0
101 LaFave South: The Sentinel,10,535.0,535.0,553.0,639.0,639.0,663.0,564.0
101 LaFave South: The Sentinel,11,415.0,415.0,432.0,519.0,519.0,542.0,444.0
101 LaFave South: The Sentinel,12,270.0,270.0,281.0,337.0,337.0,352.0,289.0
102 LaFave South: The Watchman,1,250.0,250.0,264.0,338.0,338.0,358.0,274.0
102 LaFave South: The Watchman,2,250.0,250.0,264.0,338.0,338.0,358.0,274.0
102 LaFave South: The Watchman,3,352.0,352.0,367.0,440.0,440.0,460.0,376.0
102 LaFave South: The Watchman,4,433.0,433.0,448.0,522.0,522.0,541.0,458.0
102 LaFave South: The Watchman,5,413.0,413.0,428.0,501.0,501.0,521.0,438.0
102 LaFave South: The Watchman,6,372.0,372.0,387.0,460.0,460.0,480.0,397.0
102 LaFave South: The Watchman,7,331.0,331.0,346.0,420.0,420.0,439.0,356.0
102 LaFave South: The Watchman,8,311.0,311.0,326.0,399.0,399.0,419.0,335.0
102 LaFave South: The Watchman,9,393.0,393.0,407.0,481.0,481.0,500.0,417.0
102 LaFave South: The Watchman,10,393.0,393.0,407.0,481.0,481.0,500.0,417.0
102 LaFave South: The Watchman,11,291.0,291.0,305.0,379.0,379.0,398.0,315.0
102 LaFave South: The Watchman,12,189.0,189.0,198.0,246.0,246.0,259.0,205.0
103 LaFave South: The Zion Suite,1,245.0,245.0,259.0,331.0,331.0,350.0,269.0
103 LaFave South: The Zion Suite,2,245.0,245.0,259.0,331.0,331.0,350.0,269.0
103 LaFave South: The Zion Suite,3,345.0,345.0,359.0,431.0,431.0,450.0,369.0
103 LaFave South: The Zion Suite,4,425.0,425.0,439.0,511.0,511.0,530.0,449.0
103 LaFave South: The Zion Suite,5,405.0,405.0,419.0,491.0,491.0,510.0,429.0
103 LaFave South: The Zion Suite,6,365.0,365.0,379.0,451.0,451.0,470.0,389.0
103 LaFave South: The Zion Suite,7,328.0,328.0,343.0,415.0,415.0,435.0,352.0
103 LaFave South: The Zion Suite,8,305.0,305.0,319.0,391.0,391.0,410.0,329.0
103 LaFave South: The Zion Suite,9,385.0,385.0,399.0,471.0,471.0,490.0,409.0
103 LaFave South: The Zion Suite,10,385.0,385.0,399.0,471.0,471.0,490.0,409.0
103 LaFave South: The Zion Suite,11,285.0,285.0,299.0,371.0,371.0,390.0,309.0
103 LaFave South: The Zion Suite,12,185.0,185.0,194.0,241.0,241.0,254.0,201.0
200 LaFave South: Angels Landing,1,587.0,587.0,613.0,743.0,743.0,778.0,630.0
200 LaFave South: Angels Landing,2,728.0,728.0,759.0,911.0,911.0,951.0,779.0
200 LaFave South: Angels Landing,3,1112.0,1112.0,1150.0,1338.0,1338.0,1388.0,1175.0
200 LaFave South: Angels Landing,4,1269.0,1269.0,1307.0,1495.0,1495.0,1545.0,1332.0
200 LaFave South: Angels Landing,5,1269.0,1269.0,1307.0,1495.0,1495.0,1545.0,1332.0
200 LaFave South: Angels Landing,6,1164.0,1164.0,1202.0,1390.0,1390.0,1441.0,1227.0
200 LaFave South: Angels Landing,7,1060.0,1060.0,1097.0,1286.0,1286.0,1336.0,1122.0
200 LaFave South: Angels Landing,8,1007.0,1007.0,1045.0,1233.0,1233.0,1284.0,1070.0
200 LaFave South: Angels Landing,9,1217.0,1217.0,1254.0,1443.0,1443.0,1493.0,1279.0
200 LaFave South: Angels Landing,10,1217.0,1217.0,1254.0,1443.0,1443.0,1493.0,1279.0
200 LaFave South: Angels Landing,11,955.0,955.0,993.0,1181.0,1181.0,1231.0,1018.0
200 LaFave South: Angels Landing,12,621.0,621.0,645.0,768.0,768.0,800.0,662.0
201 LaFave South: Checkerboard Mesa,1,388.0,388.0,406.0,498.0,498.0,522.0,418.0
201 LaFave South: Checkerboard Mesa,2,612.0,612.0,639.0,775.0,775.0,811.0,657.0
201 LaFave South: Checkerboard Mesa,3,763.0,763.0,790.0,926.0,926.0,962.0,808.0
201 LaFave South: Checkerboard Mesa,4,914.0,914.0,941.0,1076.0,1076.0,1113.0,959.0
201 LaFave South: Checkerboard Mesa,5,876.0,876.0,903.0,1039.0,1039.0,1075.0,921.0
201 LaFave South: Checkerboard Mesa,6,801.0,801.0,828.0,963.0,963.0,1000.0,846.0
201 LaFave South: Checkerboard Mesa,7,725.0,725.0,752.0,888.0,888.0,924.0,770.0
201 LaFave South: Checkerboard Mesa,8,687.0,687.0,715.0,850.0,850.0,886.0,733.0
201 LaFave South: Checkerboard Mesa,9,838.0,838.0,865.0,1001.0,1001.0,1037.0,883.0
201 LaFave South: Checkerboard Mesa,10,838.0,838.0,865.0,1001.0,1001.0,1037.0,883.0
201 LaFave South: Checkerboard Mesa,11,650.0,650.0,677.0,813.0,813.0,849.0,695.0
201 LaFave South: Checkerboard Mesa,12,422.0,422.0,440.0,528.0,528.0,552.0,452.0
202 LaFave South: Echo Canyon,1,366.0,366.0,383.0,464.0,464.0,485.0,393.0
202 LaFave South: Echo Canyon,2,416.0,416.0,433.0,520.0,520.0,543.0,445.0
