unit_id,month_index,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
100 LaFave South: Temple of Sinawava,1,215.0,204.0,225.0,254.0,259.0,278.0,229.0
100 LaFave South: Temple of Sinawava,2,208.0,198.0,218.0,247.0,252.0,271.0,223.0
100 LaFave South: Temple of Sinawava,3,418.0,418.0,434.0,494.0,494.0,525.0,449.0
100 LaFave South: Temple of Sinawava,4,543.0,543.0,559.0,626.0,626.0,658.0,576.0
100 LaFave South: Temple of Sinawava,5,529.0,529.0,546.0,611.0,611.0,642.0,562.0
100 LaFave South: Temple of Sinawava,6,529.0,529.0,545.0,610.0,610.0,642.0,562.0
100 LaFave South: Temple of Sinawava,7,419.0,419.0,434.0,495.0,495.0,526.0,449.0
100 LaFave South: Temple of Sinawava,8,420.0,420.0,435.0,495.0,495.0,526.0,450.0
100 LaFave South: Temple of Sinawava,9,531.0,531.0,547.0,612.0,612.0,643.0,563.0
100 LaFave South: Temple of Sinawava,10,543.0,543.0,559.0,626.0,626.0,658.0,576.0
100 LaFave South: Temple of Sinawava,11,421.0,421.0,436.0,496.0,496.0,527.0,451.0
100 LaFave South: Temple of Sinawava,12,220.0,209.0,230.0,260.0,265.0,285.0,235.0
101 LaFave South: The Sentinel,1,256.0,244.0,267.0,302.0,308.0,331.0,273.0
101 LaFave South: The Sentinel,2,248.0,236.0,259.0,294.0,300.0,323.0,265.0
101 LaFave South: The Sentinel,3,420.0,420.0,436.0,496.0,496.0,528.0,451.0
101 LaFave South: The Sentinel,4,526.0,526.0,542.0,607.0,607.0,637.0,558.0
101 LaFave South: The Sentinel,5,533.0,533.0,548.0,614.0,614.0,645.0,564.0
101 LaFave South: The Sentinel,6,531.0,531.0,547.0,613.0,613.0,645.0,564.0
101 LaFave South: The Sentinel,7,421.0,421.0,436.0,497.0,497.0,528.0,451.0
101 LaFave South: The Sentinel,8,422.0,422.0,437.0,497.0,497.0,529.0,452.0
101 LaFave South: The Sentinel,9,533.0,533.0,549.0,615.0,615.0,647.0,566.0
101 LaFave South: The Sentinel,10,526.0,526.0,542.0,607.0,607.0,637.0,558.0
101 LaFave South: The Sentinel,11,423.0,423.0,438.0,498.0,498.0,530.0,453.0
101 LaFave South: The Sentinel,12,221.0,211.0,231.0,261.0,266.0,287.0,236.0
102 LaFave South: The Watchman,1,148.0,144.0,157.0,178.0,182.0,195.0,161.0
102 LaFave South: The Watchman,2,148.0,144.0,157.0,178.0,182.0,195.0,161.0
102 LaFave South: The Watchman,3,331.0,331.0,346.0,400.0,400.0,427.0,359.0
102 LaFave South: The Watchman,4,430.0,430.0,444.0,502.0,502.0,531.0,458.0
102 LaFave South: The Watchman,5,431.0,431.0,445.0,502.0,502.0,531.0,459.0
102 LaFave South: The Watchman,6,439.0,439.0,453.0,511.0,511.0,540.0,467.0
102 LaFave South: The Watchman,7,355.0,355.0,371.0,429.0,429.0,457.0,385.0
102 LaFave South: The Watchman,8,355.0,355.0,370.0,429.0,429.0,457.0,385.0
