listing_group,month_index,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Deluxe Villa (2BR/1BA),1,265,255,275,315,325,345,285
Deluxe Villa (2BR/1BA),2,265,255,275,315,325,345,285
Deluxe Villa (2BR/1BA),3,465,465,484,561,561,599,504
Deluxe Villa (2BR/1BA),4,583,583,603,681,681,720,622
Deluxe Villa (2BR/1BA),5,583,583,603,681,681,720,622
Deluxe Villa (2BR/1BA),6,583,583,603,681,681,720,622
Deluxe Villa (2BR/1BA),7,465,465,484,561,561,599,504
Deluxe Villa (2BR/1BA),8,465,465,484,561,561,599,504
Deluxe Villa (2BR/1BA),9,583,583,603,681,681,720,622
Deluxe Villa (2BR/1BA),10,583,583,603,681,681,720,622
Deluxe Villa (2BR/1BA),11,465,465,484,561,561,599,504
Deluxe Villa (2BR/1BA),12,265,255,275,315,325,345,285
House (6BR/4BA),1,790,760,825,940,965,1030,850
House (6BR/4BA),2,790,760,825,940,965,1030,850
House (6BR/4BA),3,1280,1280,1325,1505,1505,1595,1370
House (6BR/4BA),4,1451,1451,1494,1667,1667,1753,1537
House (6BR/4BA),5,1451,1451,1494,1667,1667,1753,1537
House (6BR/4BA),6,1451,1451,1494,1667,1667,1753,1537
House (6BR/4BA),7,1280,1280,1325,1505,1505,1595,1370
House (6BR/4BA),8,1280,1280,1325,1505,1505,1595,1370
House (6BR/4BA),9,1451,1451,1494,1667,1667,1753,1537
House (6BR/4BA),10,1451,1451,1494,1667,1667,1753,1537
House (6BR/4BA),11,1280,1280,1325,1505,1505,1595,1370
House (6BR/4BA),12,790,760,825,940,965,1030,850
J.MT. Villa (3BR/2BA),1,450,435,475,535,550,585,485
J.MT. Villa (3BR/2BA),2,450,435,475,535,550,585,485
J.MT. Villa (3BR/2BA),3,836,836,866,985,985,1045,896
J.MT. Villa (3BR/2BA),4,987,987,1017,1135,1135,1193,1047
J.MT. Villa (3BR/2BA),5,987,987,1017,1135,1135,1193,1047
J.MT. Villa (3BR/2BA),6,987,987,1017,1135,1135,1193,1047
J.MT. Villa (3BR/2BA),7,836,836,866,985,985,1045,896
J.MT. Villa (3BR/2BA),8,836,836,866,985,985,1045,896
J.MT. Villa (3BR/2BA),9,987,987,1017,1135,1135,1193,1047
J.MT. Villa (3BR/2BA),10,987,987,1017,1135,1135,1193,1047
J.MT. Villa (3BR/2BA),11,836,836,866,985,985,1045,896
J.MT. Villa (3BR/2BA),12,450,435,475,535,550,585,485
Premier Villa (3BR/3BA),1,465,450,490,555,570,610,505
Premier Villa (3BR/3BA),2,465,450,490,555,570,610,505
Premier Villa (3BR/3BA),3,871,871,902,1025,1025,1087,933
Premier Villa (3BR/3BA),4,1035,1035,1066,1190,1190,1251,1097
Premier Villa (3BR/3BA),5,1035,1035,1066,1190,1190,1251,1097
Premier Villa (3BR/3BA),6,1035,1035,1066,1190,1190,1251,1097
Premier Villa (3BR/3BA),7,871,871,902,1025,1025,1087,933
Premier Villa (3BR/3BA),8,871,871,902,1025,1025,1087,933
Premier Villa (3BR/3BA),9,1035,1035,1066,1190,1190,1251,1097
Premier Villa (3BR/3BA),10,1035,1035,1066,1190,1190,1251,1097
Premier Villa (3BR/3BA),11,871,871,902,1025,1025,1087,933
Premier Villa (3BR/3BA),12,465,450,490,555,570,610,505
Premium Villa (2BR/2BA),1,315,305,330,375,385,410,340
Premium Villa (2BR/2BA),2,315,305,330,375,385,410,340
Premium Villa (2BR/2BA),3,701,701,732,853,853,913,762
Premium Villa (2BR/2BA),4,861,861,888,996,996,1050,915
Premium Villa (2BR/2BA),5,861,861,888,996,996,1050,915
Premium Villa (2BR/2BA),6,861,861,888,996,996,1050,915
Premium Villa (2BR/2BA),7,701,701,732,853,853,913,762
Premium Villa (2BR/2BA),8,701,701,732,853,853,913,762
Premium Villa (2BR/2BA),9,861,861,888,996,996,1050,915
Premium Villa (2BR/2BA),10,861,861,888,996,996,1050,915
Premium Villa (2BR/2BA),11,701,701,732,853,853,913,762
