date,day_of_week,Deluxe Villa (2BR/1BA),House (6BR/4BA),J.MT. Villa (3BR/2BA),Premier Villa (3BR/3BA),Premium Villa (2BR/2BA),Suite BIG (1BR/1BA),Suite SMALL (1BR/1BA),Villa Game (2BR/2BA),notes
2027-03-08,Monday,572,1393,996,1061,726,459,349,801,
2027-03-09,Tuesday,572,1393,996,1061,726,459,349,801,
2027-03-10,Wednesday,594,1443,1029,1097,753,477,363,830,
2027-03-11,Thursday,706,1690,1198,1277,886,562,436,976,
2027-03-12,Friday,706,1690,1198,1277,886,562,436,976,
2027-03-13,Saturday,736,1757,1243,1324,922,585,455,1015,
2027-03-14,Sunday,609,1476,1052,1121,771,488,373,850,
2027-03-15,Monday,572,1393,996,1061,726,459,349,801,
2027-03-16,Tuesday,572,1393,996,1061,726,459,349,801,
2027-03-17,Wednesday,594,1443,1029,1097,753,477,363,830,
2027-03-18,Thursday,706,1690,1198,1277,886,562,436,976,
2027-03-19,Friday,706,1690,1198,1277,886,562,436,976,
2027-03-20,Saturday,736,1757,1243,1324,922,585,455,1015,
2027-03-21,Sunday,609,1476,1052,1121,771,488,373,850,
2027-03-22,Monday,572,1393,996,1061,726,459,349,801,
2027-03-23,Tuesday,572,1393,996,1061,726,459,349,801,
2027-03-24,Wednesday,594,1443,1029,1097,753,477,363,830,
2027-03-25,Thursday,706,1690,1198,1277,886,562,436,976,
2027-03-26,Friday,706,1690,1198,1277,886,562,436,976,
2027-03-27,Saturday,736,1757,1243,1324,922,585,455,1015,
2027-03-28,Sunday,609,1476,1052,1121,771,488,373,850,
2027-03-29,Monday,572,1393,996,1061,726,459,349,801,
2027-03-30,Tuesday,572,1393,996,1061,726,459,349,801,
2027-03-31,Wednesday,594,1443,1029,1097,753,477,363,830,
2027-04-01,Thursday,830,1966,1418,1449,1035,657,517,1127,
2027-04-02,Friday,830,1966,1418,1449,1035,657,517,1127,
2027-04-03,Saturday,859,2032,1465,1498,1070,680,536,1165,
2027-04-04,Sunday,733,1751,1269,1294,919,583,454,1002,
2027-04-05,Monday,696,1668,1211,1234,874,555,429,954,
2027-04-06,Tuesday,696,1668,1211,1234,874,555,429,954,
2027-04-07,Wednesday,718,1718,1246,1270,901,572,444,983,
2027-04-08,Thursday,830,1966,1418,1449,1035,657,517,1127,
2027-04-09,Friday,830,1966,1418,1449,1035,657,517,1127,
2027-04-10,Saturday,859,2032,1465,1498,1070,680,536,1165,
2027-04-11,Sunday,733,1751,1269,1294,919,583,454,1002,
2027-04-12,Monday,696,1668,1211,1234,874,555,429,954,
2027-04-13,Tuesday,696,1668,1211,1234,874,555,429,954,
2027-04-14,Wednesday,718,1718,1246,1270,901,572,444,983,
2027-04-15,Thursday,830,1966,1418,1449,1035,657,517,1127,
2027-04-16,Friday,830,1966,1418,1449,1035,657,517,1127,
2027-04-17,Saturday,859,2032,1465,1498,1070,680,536,1165,
2027-04-18,Sunday,733,1751,1269,1294,919,583,454,1002,
2027-04-19,Monday,696,1668,1211,1234,874,555,429,954,
2027-04-20,Tuesday,696,1668,1211,1234,874,555,429,954,
2027-04-21,Wednesday,718,1718,1246,1270,901,572,444,983,
2027-04-22,Thursday,830,1966,1418,1449,1035,657,517,1127,
2027-04-23,Friday,830,1966,1418,1449,1035,657,517,1127,
2027-04-24,Saturday,859,2032,1465,1498,1070,680,536,1165,
2027-04-25,Sunday,733,1751,1269,1294,919,583,454,1002,
2027-04-26,Monday,696,1668,1211,1234,874,555,429,954,
2027-04-27,Tuesday,696,1668,1211,1234,874,555,429,954,
2027-04-28,Wednesday,718,1718,1246,1270,901,572,444,983,
2027-04-29,Thursday,830,1966,1418,1449,1035,657,517,1127,
2027-04-30,Friday,830,1966,1418,1449,1035,657,517,1127,
2027-05-01,Saturday,830,2032,1417,1485,1033,656,516,1136,
2027-05-02,Sunday,704,1751,1221,1280,882,559,434,971,
2027-05-03,Monday,666,1668,1163,1220,838,531,409,923,
2027-05-04,Tuesday,666,1668,1163,1220,838,531,409,923,
2027-05-05,Wednesday,688,1718,1198,1256,864,548,424,952,
2027-05-06,Thursday,800,1966,1370,1437,998,634,496,1097,
2027-05-07,Friday,800,1966,1370,1437,998,634,496,1097,
2027-05-08,Saturday,830,2032,1417,1485,1033,656,516,1136,
2027-05-09,Sunday,704,1751,1221,1280,882,559,434,971,
2027-05-10,Monday,666,1668,1163,1220,838,531,409,923,
2027-05-11,Tuesday,666,1668,1163,1220,838,531,409,923,
2027-05-12,Wednesday,688,1718,1198,1256,864,548,424,952,
2027-05-13,Thursday,800,1966,1370,1437,998,634,496,1097,
2027-05-14,Friday,800,1966,1370,1437,998,634,496,1097,
2027-05-15,Saturday,830,2032,1417,1485,1033,656,516,1136,
2027-05-16,Sunday,704,1751,1221,1280,882,559,434,971,
2027-05-17,Monday,666,1668,1163,1220,838,531,409,923,
2027-05-18,Tuesday,666,1668,1163,1220,838,531,409,923,
2027-05-19,Wednesday,688,1718,1198,1256,864,548,424,952,
2027-05-20,Thursday,800,1966,1370,1437,998,634,496,1097,
2027-05-21,Friday,800,1966,1370,1437,998,634,496,1097,
2027-05-22,Saturday,830,2032,1417,1485,1033,656,516,1136,
2027-05-23,Sunday,704,1751,1221,1280,882,559,434,971,
2027-05-24,Monday,666,1668,1163,1220,838,531,409,923,
2027-05-25,Tuesday,666,1668,1163,1220,838,531,409,923,
2027-05-26,Wednesday,688,1718,1198,1256,864,548,424,952,
2027-05-27,Thursday,800,1966,1370,1437,998,634,496,1097,
2027-05-28,Friday,800,1966,1370,1437,998,634,496,1097,
2027-05-29,Saturday,830,2032,1417,1485,1033,656,516,1136,
2027-05-30,Sunday,704,1751,1221,1280,882,559,434,971,
2027-05-31,Monday,666,1668,1163,1220,838,531,409,923,
2027-06-01,Tuesday,604,1393,996,1081,763,483,369,842,
2027-06-02,Wednesday,626,1443,1029,1116,790,501,383,871,
2027-06-03,Thursday,738,1690,1198,1295,923,586,456,1016,
2027-06-04,Friday,738,1690,1198,1295,923,586,456,1016,
2027-06-05,Saturday,768,1757,1243,1343,959,609,475,1055,
2027-06-06,Sunday,641,1476,1052,1140,808,512,393,890,
2027-06-07,Monday,604,1393,996,1081,763,483,369,842,
2027-06-08,Tuesday,604,1393,996,1081,763,483,369,842,
