unit_id,year_month,bookings,room_nights,revenue,adr,min_adr,max_adr
Superior King Suite,2024-01,3,6.0,1469.0,244.83,239.0,251.5
King Suite (Back),2024-01,2,8.0,1453.0,181.62,159.25,204.0
Deluxe King Suite,2024-01,2,3.0,767.0,255.67,236.5,294.0
Queen Suite,2024-02,8,15.0,3256.0,217.07,156.0,279.0
Deluxe King Suite,2024-02,14,27.0,5751.0,213.0,80.0,294.0
King Suite (Front),2024-02,6,8.0,2018.0,252.25,227.0,294.0
Superior King Suite,2024-02,1,2.0,443.0,221.5,221.5,221.5
Deluxe King Suite,2024-03,31,68.0,16225.0,238.6,137.66666666666666,374.0
Queen Suite,2024-03,19,44.0,10012.0,227.55,187.0,359.0
King Suite (Back),2024-03,27,54.0,11573.0,214.31,50.0,359.0
King Suite (Front),2024-03,15,29.0,6607.0,227.83,119.5,309.0
Superior King Suite,2024-03,20,51.0,10800.0,211.76,142.66666666666666,309.0
Sofia Suite,2024-03,3,3.0,2039.0,679.67,601.0,762.0
Superior King Suite,2024-04,11,22.0,5720.0,260.0,220.66666666666663,342.0
King Suite (Back),2024-04,10,23.0,5243.0,227.96,139.5,299.0
Deluxe King Suite,2024-04,16,42.0,10300.0,245.24,197.75,331.6666666666667
King Suite (Front),2024-04,5,13.0,3075.0,236.54,197.75,276.5
Queen Suite,2024-04,8,19.0,4680.0,246.32,196.5,338.0
King Suite (Front),2024-05,4,8.0,1854.0,231.75,205.66666666666663,267.0
Deluxe King Suite,2024-05,11,23.0,4127.0,179.43,87.6,285.0
Superior King Suite,2024-05,10,20.0,4551.0,227.55,151.0,274.0
King Suite (Back),2024-05,3,7.0,1364.0,194.86,151.0,229.0
Queen Suite,2024-05,3,5.0,1142.0,228.4,155.0,279.0
Sofia Suite,2024-05,1,2.0,518.0,259.0,259.0,259.0
Deluxe King Suite,2024-06,2,5.0,906.0,181.2,151.0,226.5
Superior King Suite,2024-06,1,2.0,453.0,226.5,226.5,226.5
Superior King Suite,2024-07,5,13.0,2650.0,203.85,190.66666666666663,226.5
Deluxe King Suite,2024-07,4,8.0,1593.0,199.12,151.0,254.0
King Suite (Back),2024-07,2,3.0,951.0,317.0,255.0,441.0
King Suite (Back),2024-08,5,9.0,1978.0,219.78,202.33333333333337,252.0
Superior King Suite,2024-08,9,21.0,4435.0,211.19,197.33333333333337,258.0
Deluxe King Suite,2024-08,9,22.0,4715.0,214.32,202.33333333333337,248.0
Queen Suite,2024-08,2,5.0,1104.0,220.8,215.0,224.66666666666663
King Suite (Front),2024-09,2,2.0,486.0,243.0,234.0,252.0
Sofia Suite,2024-09,2,3.0,1996.0,665.33,632.0,732.0
Superior King Suite,2024-12,1,1.0,350.0,350.0,350.0,350.0
Deluxe King Suite,2024-12,7,11.0,3372.0,306.55,258.5,445.0
