booking_window,lead_time_min,lead_time_max,bookings,revenue,share_of_revenue_pct,share_of_bookings_pct,room_nights
0-7 days,0,7.0,195,134154.0,7.64,34.45,402
8-14 days,8,14.0,84,75334.0,4.29,14.84,190
15-30 days,15,30.0,86,102296.0,5.82,15.19,199
31-45 days,31,45.0,18,65142.0,3.71,3.18,41
46-60 days,46,60.0,26,183189.0,10.43,4.59,69
61-75 days,61,75.0,13,105715.0,6.02,2.3,37
76-90 days,76,90.0,12,67482.0,3.84,2.12,37
91-120 days,91,120.0,44,258262.0,14.71,7.77,130
121-180 days,121,180.0,47,363113.0,20.68,8.3,149
181-270 days,181,270.0,27,275819.0,15.71,4.77,80
271-365 days,271,365.0,14,125655.0,7.16,2.47,52
365+ days,366,,0,0.0,0.0,0.0,0
