unit_id,channel,bookings,revenue,room_nights,share_of_revenue_pct,share_of_bookings_pct,adr
Superior King Suite,Airbnb,53,27661.0,121.0,67.99,67.95,228.6
Deluxe King Suite,Airbnb,85,43720.0,186.0,70.77,70.83,235.05
Queen Suite,Airbnb,35,17502.0,79.0,64.49,66.04,221.54
King Suite (Front),Airbnb,30,13526.0,58.0,71.81,73.17,233.21
King Suite (Back),Airbnb,43,20329.0,94.0,67.8,70.49,216.27
Sofia Suite,Airbnb,4,2557.0,5.0,48.05,57.14,511.4
Superior King Suite,Booking.com,2,427.0,2.0,1.05,2.56,213.5
Queen Suite,Booking.com,2,575.0,3.0,2.12,3.77,191.67
King Suite (Front),Booking.com,2,1091.0,5.0,5.79,4.88,218.2
Deluxe King Suite,Booking.com,2,909.0,4.0,1.47,1.67,227.25
King Suite (Back),Booking.com,1,234.0,1.0,0.78,1.64,234.0
Deluxe King Suite,Direct,27,14686.0,63.0,23.77,22.5,233.11
Superior King Suite,Direct,20,10690.0,44.0,26.28,25.64,242.95
King Suite (Front),Direct,7,3605.0,14.0,19.14,17.07,257.5
King Suite (Back),Direct,15,9023.0,34.0,30.09,24.59,265.38
Queen Suite,Direct,11,6696.0,26.0,24.67,20.75,257.54
Sofia Suite,Direct,3,2764.0,6.0,51.95,42.86,460.67
Deluxe King Suite,Expedia,2,910.0,4.0,1.47,1.67,227.5
Superior King Suite,Expedia,3,1904.0,7.0,4.68,3.85,272.0
King Suite (Back),Expedia,1,346.0,2.0,1.15,1.64,173.0
King Suite (Front),Expedia,2,613.0,3.0,3.25,4.88,204.33
Queen Suite,Expedia,4,1884.0,10.0,6.94,7.55,188.4
Deluxe King Suite,Influencers,1,318.0,2.0,0.51,0.83,159.0
King Suite (Back),Owner Guest,1,50.0,1.0,0.17,1.64,50.0
Deluxe King Suite,VRBO,3,1232.0,6.0,1.99,2.5,205.33
Queen Suite,VRBO,1,481.0,2.0,1.77,1.89,240.5
8BR,Airbnb,2,18087.0,8.0,74.98,50.0,2260.88
8BR,Booking.com,1,2999.0,1.0,12.43,25.0,2999.0
8BR,Expedia,1,3038.0,3.0,12.59,25.0,1012.67
11BR,Airbnb,57,383872.0,168.0,74.58,76.0,2284.95
11BR,Booking.com,1,2873.0,2.0,0.56,1.33,1436.5
11BR,Direct,8,47230.0,21.0,9.18,10.67,2249.05
11BR,Email,1,600.0,1.0,0.12,1.33,600.0
11BR,Expedia,1,14024.0,5.0,2.72,1.33,2804.8
11BR,Owner Guest,1,14537.0,3.0,2.82,1.33,4845.67
11BR,Phone,1,8653.0,3.0,1.68,1.33,2884.33
11BR,VRBO,5,42902.0,18.0,8.34,6.67,2383.44
12BR,Airbnb,72,469225.0,204.0,66.98,68.57,2300.12
12BR,Direct,17,137151.0,46.0,19.58,16.19,2981.54
12BR,Expedia,1,3112.0,2.0,0.44,0.95,1556.0
12BR,Guest,2,10270.0,4.0,1.47,1.9,2567.5
12BR,Phone,1,4797.0,4.0,0.68,0.95,1199.25
12BR,VRBO,12,75991.0,38.0,10.85,11.43,1999.76
23BR,Airbnb,16,197676.0,47.0,59.1,61.54,4205.87
23BR,Direct,7,95715.0,20.0,28.62,26.92,4785.75
23BR,Phone,2,28909.0,7.0,8.64,7.69,4129.86
23BR,VRBO,1,12192.0,4.0,3.64,3.85,3048.0
