channel,year,bookings,revenue,room_nights,share_of_revenue_pct,share_of_bookings_pct,adr
Airbnb,2024,291,559519.0,677.0,67.6,77.81,826.47
VRBO,2024,14,74096.0,41.0,8.95,3.74,1807.22
Phone,2024,1,19798.0,3.0,2.39,0.27,6599.33
Email,2024,1,600.0,1.0,0.07,0.27,600.0
Direct,2024,59,144916.0,129.0,17.51,15.78,1123.38
Airbnb,2025,85,509800.0,234.0,67.11,50.6,2178.63
Direct,2025,50,146336.0,129.0,19.26,29.76,1134.39
Phone,2025,2,13450.0,7.0,1.77,1.19,1921.43
VRBO,2025,8,58702.0,27.0,7.73,4.76,2174.15
Influencers,2025,1,318.0,2.0,0.04,0.6,159.0
Booking.com,2025,7,5208.0,13.0,0.69,4.17,400.62
Expedia,2025,15,25831.0,36.0,3.4,8.93,717.53
Airbnb,2026,21,124836.0,59.0,73.32,75.0,2115.86
Phone,2026,1,9111.0,4.0,5.35,3.57,2277.75
Owner Guest,2024,2,14587.0,4.0,1.76,0.53,3646.75
Guest,2024,2,10270.0,4.0,1.24,0.53,2567.5
Booking.com,2024,4,3900.0,5.0,0.47,1.07,780.0
Direct,2026,6,36308.0,16.0,21.33,21.43,2269.25
