unit_id,season,season_order,season_revenue,season_room_nights,season_bookings,season_adr,season_score_1_10,season_percentile
Deluxe King Suite,Soft,1,9825.166666666666,43.0,14.0,228.49,7.0,66.7
King Suite (Back),Soft,1,5193.0,22.0,8.0,236.05,4.0,33.3
King Suite (Front),Soft,1,2273.0,10.0,3.0,227.3,2.0,11.1
Queen Suite,Soft,1,3916.0,17.0,5.0,230.35,3.0,22.2
Sofia Suite,Soft,1,0.0,0.0,0.0,,1.0,0.0
Superior King Suite,Soft,1,7064.166666666666,30.0,13.0,235.47,6.0,55.6
8BR,Soft,1,5394.0,3.0,1.0,1798.0,5.0,44.4
11BR,Soft,1,38183.73333333333,22.0,9.0,1735.62,9.0,88.9
12BR,Soft,1,66597.1,35.0,16.0,1902.77,10.0,100.0
23BR,Soft,1,15543.666666666666,4.0,2.0,3885.92,7.999999999999999,77.8
Deluxe King Suite,Low,2,5871.833333333334,26.0,15.0,225.84,6.0,55.6
King Suite (Back),Low,2,3191.0,15.0,11.0,212.73,5.0,44.4
King Suite (Front),Low,2,1436.6666666666665,6.0,6.0,239.44,3.0,22.2
Queen Suite,Low,2,1347.0,6.0,5.0,224.5,2.0,11.1
Sofia Suite,Low,2,632.0,1.0,1.0,632.0,1.0,0.0
Superior King Suite,Low,2,8074.333333333333,34.0,21.0,237.48,7.0,66.7
8BR,Low,2,1798.0,1.0,0.0,1798.0,4.0,33.3
11BR,Low,2,64465.6,31.0,10.0,2079.54,9.0,88.9
12BR,Low,2,139867.40952380953,63.0,22.0,2220.12,10.0,100.0
23BR,Low,2,45312.333333333336,13.0,4.0,3485.56,7.999999999999999,77.8
Deluxe King Suite,Shoulder,3,5710.0,30.0,12.0,190.33,6.3,58.9
King Suite (Back),Shoulder,3,2326.0,11.0,2.0,211.45,4.0,33.3
King Suite (Front),Shoulder,3,1705.3333333333333,7.0,2.0,243.62,3.0,22.2
Queen Suite,Shoulder,3,1663.0,6.0,3.0,277.17,2.0,11.1
Sofia Suite,Shoulder,3,1364.0,2.0,1.0,682.0,1.0,0.0
Superior King Suite,Shoulder,3,5718.0,24.0,9.0,238.25,6.699999999999999,63.3
8BR,Shoulder,3,2723.75,1.0,0.0,2723.75,5.0,44.4
11BR,Shoulder,3,133446.33333333334,62.0,23.0,2152.36,9.0,88.9
12BR,Shoulder,3,158755.7238095238,77.0,24.0,2061.76,10.0,100.0
23BR,Shoulder,3,28881.833333333332,7.0,3.0,4125.98,7.999999999999999,77.8
Deluxe King Suite,High,4,8707.5,36.0,16.0,241.88,6.0,55.6
King Suite (Back),High,4,2327.0,10.0,5.0,232.7,2.0,11.1
King Suite (Front),High,4,2897.5,12.0,4.0,241.46,3.0,22.2
Queen Suite,High,4,4343.333333333334,21.0,7.0,206.83,5.0,44.4
Sofia Suite,High,4,771.0,3.0,1.0,257.0,1.0,0.0
Superior King Suite,High,4,3872.5,16.0,7.0,242.03,4.0,33.3
8BR,High,4,10471.833333333334,5.0,1.0,2094.37,7.0,66.7
11BR,High,4,139074.41666666666,55.0,15.0,2528.63,9.0,88.9
12BR,High,4,158651.26666666666,59.0,21.0,2689.0,10.0,100.0
23BR,High,4,134819.5,27.0,9.0,4993.31,7.999999999999999,77.8
Deluxe King Suite,Peak,5,31660.5,130.0,63.0,243.54,7.0,66.7
King Suite (Back),Peak,5,16945.0,74.0,35.0,228.99,6.0,55.6
King Suite (Front),Peak,5,10522.5,45.0,26.0,233.83,3.0,22.2
Queen Suite,Peak,5,15868.666666666666,70.0,33.0,226.7,4.0,33.3
Sofia Suite,Peak,5,2554.0,5.0,4.0,510.8,1.0,0.0
Superior King Suite,Peak,5,15953.0,70.0,28.0,227.9,5.0,44.4
8BR,Peak,5,3736.4166666666665,2.0,2.0,1868.21,2.0,11.1
11BR,Peak,5,139520.91666666666,51.0,18.0,2735.7,9.0,88.9
12BR,Peak,5,176674.5,64.0,22.0,2760.54,10.0,100.0
23BR,Peak,5,109934.66666666667,27.0,8.0,4071.65,7.999999999999999,77.8
