year_month,revenue,room_nights,adr,bookings,occupancy_pct,revpar
2024-01,28451.0,29.0,981.07,10,4.07,39.9
2024-02,104181.0,78.0,1335.65,38,11.69,156.19
2024-03,137834.0,269.0,512.39,121,37.73,193.32
2024-04,78755.0,139.0,566.58,57,20.14,114.14
2024-05,73042.0,85.0,859.32,39,11.92,102.44
2024-06,30475.0,18.0,1693.06,7,2.61,44.17
2024-07,44538.0,45.0,989.73,19,6.31,62.47
2024-08,55573.0,80.0,694.66,35,11.22,77.94
2024-09,75898.0,40.0,1897.45,17,5.8,110.0
2024-10,83327.0,26.0,3204.88,9,3.65,116.87
2024-11,62030.0,25.0,2481.2,7,3.62,89.9
2024-12,53582.0,30.0,1786.07,15,4.21,75.15
2025-01,68746.0,38.0,1809.11,10,5.33,96.42
2025-02,55891.0,43.0,1299.79,18,6.68,86.79
2025-03,105363.0,83.0,1269.43,36,11.64,147.77
2025-04,35658.0,39.0,914.31,16,5.65,51.68
2025-05,82104.0,82.0,1001.27,28,11.5,115.15
2025-06,54724.0,31.0,1765.29,13,4.49,79.31
2025-07,30699.0,14.0,2192.79,6,1.96,43.06
2025-08,28944.0,7.0,4134.86,3,0.98,40.59
2025-09,78443.0,28.0,2801.54,10,4.06,113.69
2025-10,80809.0,28.0,2886.04,10,3.93,113.34
2025-11,75602.0,37.0,2043.3,12,5.36,109.57
2025-12,62662.0,18.0,3481.22,6,2.52,87.88
2026-01,52286.0,25.0,2091.44,9,3.51,73.33
2026-02,47586.0,25.0,1903.44,9,3.88,73.89
2026-03,70383.0,29.0,2427.0,10,4.07,98.71
