month_index,month_name,revenue,room_nights,adr,bookings,occupancy_pct,revpar,performance_score_1_10
1,January,49827.67,30.67,1624.64,9.67,4.3,69.88,3
2,February,69219.33,48.67,1422.22,21.67,7.47,106.22,7
3,March,104526.67,127.0,823.04,55.67,17.81,146.6,10
4,April,57206.5,89.0,642.77,36.5,12.9,82.91,5
5,May,77573.0,83.5,929.02,33.5,11.71,108.8,8
6,June,42599.5,24.5,1738.76,10.0,3.55,61.74,3
7,July,37618.5,29.5,1275.2,12.5,4.14,52.76,1
8,August,42258.5,43.5,971.46,19.0,6.1,59.27,2
9,September,77170.5,34.0,2269.72,13.5,4.93,111.84,8
10,October,82068.0,27.0,3039.56,9.5,3.79,115.1,9
11,November,68816.0,31.0,2219.87,9.5,4.49,99.73,6
12,December,58122.0,24.0,2421.75,10.5,3.37,81.52,5
