unit_id,revenue,revenue_yoy_pct,room_nights,bookings,bookings_yoy_pct,adr,adr_yoy_pct,occupancy_pct,revpar
Deluxe King Suite,61775.0,-100.0,265,120,-100.0,233.11,,6.46,15.05
King Suite (Back),29982.0,-100.0,132,61,-100.0,227.14,,4.02,9.13
King Suite (Front),18835.0,-100.0,80,41,-100.0,235.44,,4.87,11.47
Queen Suite,27138.0,-100.0,120,53,-100.0,226.15,,3.65,8.26
Sofia Suite,5321.0,,11,7,,483.73,,0.45,2.16
Superior King Suite,40682.0,-100.0,174,78,-100.0,233.8,,5.3,12.39
8BR,24124.0,,12,4,,2010.33,,1.46,29.38
11BR,514691.0,-30.05,221,75,10.0,2328.92,-25.05,26.92,626.91
12BR,700546.0,-28.71,298,105,-18.75,2350.83,5.06,36.3,853.28
23BR,334492.0,139.01,78,26,300.0,4288.36,-26.46,9.5,407.42
PROPERTY,1757586.0,-25.98,1391,570,-56.25,1263.54,53.67,7.37,93.08
