tier_id,tier_label,start_date,end_date,length_days
5,Peak,2024-01-01,2024-01-03,3
4,High,2024-01-04,2024-01-06,3
3,Shoulder,2024-01-07,2024-01-08,2
2,Low,2024-01-09,2024-01-09,1
1,Soft,2024-01-10,2024-01-21,12
2,Low,2024-01-22,2024-01-23,2
3,Shoulder,2024-01-24,2024-01-25,2
4,High,2024-01-26,2024-02-03,9
5,Peak,2024-02-04,2024-02-05,2
4,High,2024-02-06,2024-02-07,2
3,Shoulder,2024-02-08,2024-02-13,6
4,High,2024-02-14,2024-02-14,1
5,Peak,2024-02-15,2024-04-04,50
4,High,2024-04-05,2024-04-09,5
3,Shoulder,2024-04-10,2024-04-11,2
2,Low,2024-04-12,2024-04-12,1
1,Soft,2024-04-13,2024-04-23,11
2,Low,2024-04-24,2024-04-25,2
3,Shoulder,2024-04-26,2024-05-01,6
2,Low,2024-05-02,2024-05-03,2
3,Shoulder,2024-05-04,2024-05-08,5
2,Low,2024-05-09,2024-05-17,9
3,Shoulder,2024-05-18,2024-05-23,6
4,High,2024-05-24,2024-05-25,2
5,Peak,2024-05-26,2024-05-28,3
4,High,2024-05-29,2024-05-29,1
5,Peak,2024-05-30,2024-05-30,1
4,High,2024-05-31,2024-06-05,6
3,Shoulder,2024-06-06,2024-06-07,2
2,Low,2024-06-08,2024-06-10,3
1,Soft,2024-06-11,2024-06-12,2
2,Low,2024-06-13,2024-06-15,3
3,Shoulder,2024-06-16,2024-06-16,1
2,Low,2024-06-17,2024-06-28,12
1,Soft,2024-06-29,2024-07-07,9
2,Low,2024-07-08,2024-07-11,4
1,Soft,2024-07-12,2024-08-04,24
2,Low,2024-08-05,2024-08-15,11
1,Soft,2024-08-16,2024-08-30,15
2,Low,2024-08-31,2024-09-01,2
3,Shoulder,2024-09-02,2024-09-02,1
2,Low,2024-09-03,2024-09-03,1
3,Shoulder,2024-09-04,2024-09-06,3
4,High,2024-09-07,2024-09-18,12
3,Shoulder,2024-09-19,2024-09-21,3
4,High,2024-09-22,2024-10-04,13
5,Peak,2024-10-05,2024-10-08,4
4,High,2024-10-09,2024-10-12,4
5,Peak,2024-10-13,2024-10-16,4
4,High,2024-10-17,2024-10-18,2
3,Shoulder,2024-10-19,2024-10-25,7
2,Low,2024-10-26,2024-11-01,7
3,Shoulder,2024-11-02,2024-11-06,5
4,High,2024-11-07,2024-11-09,3
3,Shoulder,2024-11-10,2024-11-15,6
2,Low,2024-11-16,2024-11-17,2
1,Soft,2024-11-18,2024-11-18,1
2,Low,2024-11-19,2024-11-20,2
3,Shoulder,2024-11-21,2024-11-23,3
4,High,2024-11-24,2024-11-24,1
3,Shoulder,2024-11-25,2024-11-27,3
4,High,2024-11-28,2024-12-03,6
3,Shoulder,2024-12-04,2024-12-05,2
