tier_id,tier_label,lead_band,adr,revenue,revenue_share_of_tier,booking_count,room_nights,room_night_share_of_tier,occupancy_pct_of_tier_capacity,tier_occupancy_pct
1,Soft,0-7 days,280.13,26332.0,14.94,39,94.0,51.09,2.46,4.82
1,Soft,15-30 days,466.19,7459.0,4.23,7,16.0,8.7,0.42,4.82
1,Soft,31-45 days,1301.0,11709.0,6.64,4,9.0,4.89,0.24,4.82
1,Soft,46-60 days,1641.17,19694.0,11.17,4,12.0,6.52,0.31,4.82
1,Soft,61-75 days,1792.86,12550.0,7.12,2,7.0,3.8,0.18,4.82
1,Soft,76-90 days,1325.0,9275.0,5.26,2,7.0,3.8,0.18,4.82
1,Soft,91-120 days,2198.09,24179.0,13.72,4,11.0,5.98,0.29,4.82
1,Soft,121-180 days,2023.25,32372.0,18.37,5,16.0,8.7,0.42,4.82
1,Soft,181-270 days,3926.2,19631.0,11.14,2,5.0,2.72,0.13,4.82
1,Soft,271-365 days,1863.57,13045.0,7.4,2,7.0,3.8,0.18,4.82
2,Low,0-7 days,330.82,31759.0,11.52,44,96.0,41.03,2.56,6.24
2,Low,8-14 days,190.38,2475.0,0.9,5,13.0,5.56,0.35,6.24
2,Low,15-30 days,336.32,7399.0,2.68,9,22.0,9.4,0.59,6.24
2,Low,46-60 days,2310.0,48510.0,17.6,8,21.0,8.97,0.56,6.24
2,Low,61-75 days,1767.12,14137.0,5.13,3,8.0,3.42,0.21,6.24
2,Low,76-90 days,2231.44,20083.0,7.28,2,9.0,3.85,0.24,6.24
2,Low,91-120 days,1708.5,37587.0,13.63,9,22.0,9.4,0.59,6.24
2,Low,121-180 days,2434.4,60860.0,22.08,8,25.0,10.68,0.67,6.24
2,Low,181-270 days,3085.47,46282.0,16.79,6,15.0,6.41,0.4,6.24
2,Low,271-365 days,2199.0,6597.0,2.39,1,3.0,1.28,0.08,6.24
3,Shoulder,0-7 days,275.4,6885.0,2.04,13,25.0,12.69,0.66,5.19
3,Shoulder,8-14 days,529.23,18523.0,5.48,13,35.0,17.77,0.92,5.19
3,Shoulder,15-30 days,1017.27,15259.0,4.52,8,15.0,7.61,0.4,5.19
3,Shoulder,31-45 days,1556.94,26468.0,7.84,8,17.0,8.63,0.45,5.19
3,Shoulder,46-60 days,2967.57,41546.0,12.3,5,14.0,7.11,0.37,5.19
3,Shoulder,76-90 days,3089.5,6179.0,1.83,1,2.0,1.02,0.05,5.19
3,Shoulder,91-120 days,2531.09,58215.0,17.24,7,23.0,11.68,0.61,5.19
3,Shoulder,121-180 days,2472.29,76641.0,22.69,10,31.0,15.74,0.82,5.19
3,Shoulder,181-270 days,2452.35,49047.0,14.52,7,20.0,10.15,0.53,5.19
3,Shoulder,271-365 days,2599.73,38996.0,11.55,3,15.0,7.61,0.4,5.19
4,High,0-7 days,781.8,27363.0,6.17,17,35.0,15.09,0.93,6.19
4,High,8-14 days,1164.11,20954.0,4.72,7,18.0,7.76,0.48,6.19
4,High,15-30 days,1371.07,19195.0,4.32,6,14.0,6.03,0.37,6.19
4,High,31-45 days,1720.09,18921.0,4.26,4,11.0,4.74,0.29,6.19
4,High,46-60 days,2188.22,19694.0,4.44,3,9.0,3.88,0.24,6.19
4,High,61-75 days,3926.31,51042.0,11.5,5,13.0,5.6,0.35,6.19
4,High,76-90 days,1528.79,21403.0,4.82,5,14.0,6.03,0.37,6.19
4,High,91-120 days,847.33,38977.0,8.78,15,46.0,19.83,1.23,6.19
4,High,121-180 days,2136.5,89733.0,20.22,14,42.0,18.1,1.12,6.19
4,High,181-270 days,5500.94,99017.0,22.31,6,18.0,7.76,0.48,6.19
4,High,271-365 days,3128.75,37545.0,8.46,4,12.0,5.17,0.32,6.19
5,Peak,0-7 days,275.1,41815.0,8.0,82,152.0,28.2,4.03,14.29
5,Peak,8-14 days,269.21,33382.0,6.39,59,124.0,23.01,3.29,14.29
5,Peak,15-30 days,401.39,52984.0,10.14,56,132.0,24.49,3.5,14.29
5,Peak,31-45 days,2011.0,8044.0,1.54,2,4.0,0.74,0.11,14.29
5,Peak,46-60 days,4134.23,53745.0,10.28,6,13.0,2.41,0.34,14.29
5,Peak,61-75 days,3109.56,27986.0,5.35,3,9.0,1.67,0.24,14.29
5,Peak,76-90 days,2108.4,10542.0,2.02,2,5.0,0.93,0.13,14.29
5,Peak,91-120 days,3546.57,99304.0,19.0,9,28.0,5.19,0.74,14.29
5,Peak,121-180 days,2957.34,103507.0,19.81,10,35.0,6.49,0.93,14.29
5,Peak,181-270 days,2811.0,61842.0,11.83,6,22.0,4.08,0.58,14.29
5,Peak,271-365 days,1964.8,29472.0,5.64,4,15.0,2.78,0.4,14.29
