unit_id,month_index,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
11BR,1,2068.0,2292.0,2264.0,2627.0,2711.0,2459.0,2208.0
11BR,2,2534.0,2757.0,2729.0,3093.0,3177.0,2925.0,2674.0
11BR,3,2883.0,3107.0,3079.0,3442.0,3526.0,3274.0,3023.0
11BR,4,2301.0,2525.0,2497.0,2860.0,2944.0,2692.0,2441.0
11BR,5,2650.0,2874.0,2846.0,3209.0,3293.0,3042.0,2790.0
11BR,6,2068.0,2292.0,2264.0,2627.0,2711.0,2459.0,2208.0
11BR,7,1835.0,2059.0,2031.0,2394.0,2478.0,2226.0,1975.0
11BR,8,1952.0,2175.0,2147.0,2511.0,2594.0,2343.0,2091.0
11BR,9,2650.0,2874.0,2846.0,3209.0,3293.0,3042.0,2790.0
11BR,10,2650.0,2874.0,2846.0,3209.0,3293.0,3042.0,2790.0
11BR,11,2417.0,2641.0,2613.0,2976.0,3060.0,2809.0,2557.0
11BR,12,2301.0,2525.0,2497.0,2860.0,2944.0,2692.0,2441.0
12BR,1,2049.0,2270.0,2243.0,2602.0,2685.0,2436.0,2187.0
12BR,2,2558.0,2783.0,2755.0,3122.0,3207.0,2953.0,2699.0
12BR,3,2910.0,3136.0,3108.0,3475.0,3559.0,3305.0,3051.0
12BR,4,2323.0,2548.0,2520.0,2887.0,2971.0,2718.0,2464.0
12BR,5,2675.0,2901.0,2873.0,3239.0,3324.0,3070.0,2816.0
12BR,6,2088.0,2313.0,2285.0,2652.0,2736.0,2482.0,2229.0
12BR,7,1852.0,2078.0,2050.0,2417.0,2501.0,2247.0,1994.0
12BR,8,1970.0,2196.0,2167.0,2534.0,2619.0,2365.0,2111.0
12BR,9,2675.0,2901.0,2873.0,3239.0,3324.0,3070.0,2816.0
12BR,10,2793.0,3018.0,2990.0,3357.0,3442.0,3188.0,2934.0
12BR,11,2440.0,2666.0,2638.0,3004.0,3089.0,2835.0,2581.0
12BR,12,2323.0,2548.0,2520.0,2887.0,2971.0,2718.0,2464.0
23BR,1,4098.0,4540.0,4486.0,5204.0,5370.0,4872.0,4374.0
23BR,2,5116.0,5566.0,5510.0,6244.0,6414.0,5906.0,5398.0
23BR,3,5820.0,6272.0,6216.0,6950.0,7118.0,6610.0,6102.0
23BR,4,4646.0,5096.0,5040.0,5774.0,5942.0,5436.0,4928.0
23BR,5,5350.0,5802.0,5746.0,6478.0,6648.0,6140.0,5632.0
23BR,6,4176.0,4626.0,4570.0,5304.0,5472.0,4964.0,4458.0
23BR,7,3704.0,4156.0,4100.0,4834.0,5002.0,4494.0,3988.0
23BR,8,3940.0,4392.0,4334.0,5068.0,5238.0,4730.0,4222.0
23BR,9,5350.0,5802.0,5746.0,6478.0,6648.0,6140.0,5632.0
23BR,10,5586.0,6036.0,5980.0,6714.0,6884.0,6376.0,5868.0
23BR,11,4880.0,5332.0,5276.0,6008.0,6178.0,5670.0,5162.0
23BR,12,4646.0,5096.0,5040.0,5774.0,5942.0,5436.0,4928.0
