unit_id,month_index,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
11BR,1,1710.0,1710.0,1710.0,2091.0,2883.0,2883.0,2090.0
11BR,2,1968.0,1968.0,1968.0,2838.0,4004.0,4004.0,2837.0
11BR,3,2174.0,2174.0,2174.0,3135.0,4423.0,4423.0,3134.0
11BR,4,2545.0,2545.0,2545.0,3670.0,5179.0,5179.0,3669.0
11BR,5,1782.0,1782.0,1782.0,2571.0,3627.0,3627.0,2570.0
11BR,6,1678.0,1678.0,1678.0,2420.0,3414.0,3414.0,2419.0
11BR,7,1886.0,1886.0,1886.0,2720.0,3836.0,3836.0,2719.0
11BR,8,2856.0,2856.0,2856.0,4119.0,5812.0,5812.0,4118.0
11BR,9,1811.0,1811.0,1811.0,2612.0,3685.0,3685.0,2611.0
11BR,10,1888.0,1888.0,1888.0,2722.0,3840.0,3840.0,2721.0
11BR,11,2020.0,2020.0,2020.0,2914.0,4110.0,4110.0,2913.0
11BR,12,2906.0,2906.0,2906.0,4190.0,5912.0,5912.0,4189.0
12BR,1,2052.0,2052.0,2052.0,2509.0,3460.0,3460.0,2508.0
12BR,2,2362.0,2362.0,2362.0,3406.0,4805.0,4805.0,3404.0
12BR,3,2609.0,2609.0,2609.0,3762.0,5308.0,5308.0,3761.0
12BR,4,3054.0,3054.0,3054.0,4404.0,6215.0,6215.0,4403.0
12BR,5,2138.0,2138.0,2138.0,3085.0,4352.0,4352.0,3084.0
12BR,6,2014.0,2014.0,2014.0,2904.0,4097.0,4097.0,2903.0
12BR,7,2263.0,2263.0,2263.0,3264.0,4603.0,4603.0,3263.0
12BR,8,3427.0,3427.0,3427.0,4943.0,6974.0,6974.0,4942.0
12BR,9,2173.0,2173.0,2173.0,3134.0,4422.0,4422.0,3133.0
12BR,10,2266.0,2266.0,2266.0,3266.0,4608.0,4608.0,3265.0
12BR,11,2424.0,2424.0,2424.0,3497.0,4932.0,4932.0,3496.0
12BR,12,3487.0,3487.0,3487.0,5028.0,7094.0,7094.0,5027.0
23BR,1,4104.0,4104.0,4104.0,5018.0,6920.0,6920.0,5016.0
23BR,2,4724.0,4724.0,4724.0,6812.0,9610.0,9610.0,6808.0
23BR,3,5218.0,5218.0,5218.0,7524.0,10616.0,10616.0,7522.0
23BR,4,6108.0,6108.0,6108.0,8808.0,12430.0,12430.0,8806.0
23BR,5,4276.0,4276.0,4276.0,6170.0,8704.0,8704.0,6168.0
23BR,6,4028.0,4028.0,4028.0,5808.0,8194.0,8194.0,5806.0
23BR,7,4526.0,4526.0,4526.0,6528.0,9206.0,9206.0,6526.0
23BR,8,6854.0,6854.0,6854.0,9886.0,13948.0,13948.0,9884.0
23BR,9,4346.0,4346.0,4346.0,6268.0,8844.0,8844.0,6266.0
23BR,10,4532.0,4532.0,4532.0,6532.0,9216.0,9216.0,6530.0
23BR,11,4848.0,4848.0,4848.0,6994.0,9864.0,9864.0,6992.0
23BR,12,6974.0,6974.0,6974.0,10056.0,14188.0,14188.0,10054.0
