date,day_of_week,11BR,12BR,23BR,8BR,Deluxe King Suite,King Suite (Back),King Suite (Front),Queen Suite,Sofia Suite,Superior King Suite,notes
2027-01-04,Monday,2068.0,2049.0,4319.0,1685.0,201.0,217.0,214.0,176.0,522.0,203.0,
2027-01-05,Tuesday,2292.0,2270.0,4814.0,1878.0,224.0,249.0,241.0,201.0,600.0,228.0,
2027-01-06,Wednesday,2264.0,2243.0,4752.0,1854.0,221.0,245.0,237.0,198.0,591.0,225.0,
2027-01-07,Thursday,2627.0,2602.0,5556.0,2167.0,259.0,298.0,280.0,238.0,718.0,265.0,
2027-01-08,Friday,2711.0,2685.0,5741.0,2240.0,267.0,311.0,290.0,247.0,748.0,274.0,
2027-01-09,Saturday,2459.0,2436.0,5185.0,2022.0,241.0,274.0,260.0,219.0,659.0,246.0,
2027-01-10,Sunday,2208.0,2187.0,4628.0,1805.0,215.0,237.0,231.0,192.0,571.0,219.0,
2027-01-11,Monday,2068.0,2049.0,4319.0,1685.0,201.0,217.0,214.0,176.0,522.0,203.0,
2027-01-12,Tuesday,2292.0,2270.0,4814.0,1878.0,224.0,249.0,241.0,201.0,600.0,228.0,
2027-01-13,Wednesday,2264.0,2243.0,4752.0,1854.0,221.0,245.0,237.0,198.0,591.0,225.0,
2027-01-14,Thursday,2627.0,2602.0,5556.0,2167.0,259.0,298.0,280.0,238.0,718.0,265.0,
2027-01-15,Friday,2711.0,2685.0,5741.0,2240.0,267.0,311.0,290.0,247.0,748.0,274.0,
2027-01-16,Saturday,2459.0,2436.0,5185.0,2022.0,241.0,274.0,260.0,219.0,659.0,246.0,
2027-01-17,Sunday,2208.0,2187.0,4628.0,1805.0,215.0,237.0,231.0,192.0,571.0,219.0,
2027-01-18,Monday,2068.0,2049.0,4319.0,1685.0,201.0,217.0,214.0,176.0,522.0,203.0,
2027-01-19,Tuesday,2292.0,2270.0,4814.0,1878.0,224.0,249.0,241.0,201.0,600.0,228.0,
2027-01-20,Wednesday,2264.0,2243.0,4752.0,1854.0,221.0,245.0,237.0,198.0,591.0,225.0,
2027-01-21,Thursday,2627.0,2602.0,5556.0,2167.0,259.0,298.0,280.0,238.0,718.0,265.0,
2027-01-22,Friday,2711.0,2685.0,5741.0,2240.0,267.0,311.0,290.0,247.0,748.0,274.0,
2027-01-23,Saturday,2459.0,2436.0,5185.0,2022.0,241.0,274.0,260.0,219.0,659.0,246.0,
2027-01-24,Sunday,2208.0,2187.0,4628.0,1805.0,215.0,237.0,231.0,192.0,571.0,219.0,
2027-01-25,Monday,2068.0,2049.0,4319.0,1685.0,201.0,217.0,214.0,176.0,522.0,203.0,
2027-01-26,Tuesday,2292.0,2270.0,4814.0,1878.0,224.0,249.0,241.0,201.0,600.0,228.0,
2027-01-27,Wednesday,2264.0,2243.0,4752.0,1854.0,221.0,245.0,237.0,198.0,591.0,225.0,
2027-01-28,Thursday,2627.0,2602.0,5556.0,2167.0,259.0,298.0,280.0,238.0,718.0,265.0,
2027-01-29,Friday,2711.0,2685.0,5741.0,2240.0,267.0,311.0,290.0,247.0,748.0,274.0,
2027-01-30,Saturday,2459.0,2436.0,5185.0,2022.0,241.0,274.0,260.0,219.0,659.0,246.0,
2027-01-31,Sunday,2208.0,2187.0,4628.0,1805.0,215.0,237.0,231.0,192.0,571.0,219.0,
2027-02-01,Monday,2534.0,2558.0,4666.0,2087.0,242.0,217.0,233.0,314.0,588.0,307.0,
2027-02-02,Tuesday,2757.0,2783.0,5077.0,2280.0,264.0,249.0,255.0,350.0,655.0,340.0,
2027-02-03,Wednesday,2729.0,2755.0,5026.0,2256.0,262.0,245.0,252.0,346.0,647.0,336.0,
2027-02-04,Thursday,3093.0,3122.0,5695.0,2569.0,298.0,298.0,289.0,404.0,756.0,390.0,
2027-02-05,Friday,3177.0,3207.0,5849.0,2642.0,306.0,311.0,298.0,417.0,782.0,402.0,
2027-02-06,Saturday,2925.0,2953.0,5386.0,2424.0,281.0,274.0,272.0,377.0,706.0,365.0,
2027-02-07,Sunday,2674.0,2699.0,4923.0,2207.0,256.0,237.0,247.0,337.0,630.0,328.0,
