unit_id,year_month,bookings,room_nights,revenue,adr,min_adr,max_adr,p05_adr,p95_adr
Shaka,2024-01,4,8,1805.45,225.68,180.23666666666668,339.07,185.72,325.11
Kingfisher,2024-01,2,5,1131.27,226.25,214.6,234.02333333333337,215.57,233.05
Chisum,2024-01,1,1,275.22,275.22,275.22,275.22,275.22,275.22
Kingfisher,2024-02,2,4,1198.14,299.54,244.535,354.535,250.04,349.04
Shaka,2024-02,3,5,1666.19,333.24,248.05,354.535,258.7,354.54
Chisum,2024-03,2,4,1350.7800000000002,337.7,331.535,343.855,332.15,343.24
Kingfisher,2024-03,4,9,2956.6800000000003,328.52,312.235,354.535,313.4,351.08
Shaka,2024-03,1,2,709.07,354.54,354.535,354.535,354.54,354.54
Shaka,2024-04,8,20,8549.3,427.46,262.69,736.0233333333334,263.31,707.5
Kingfisher,2024-04,9,19,8400.630000000001,442.14,299.535,736.0233333333334,313.54,663.43
Chisum,2024-04,11,21,9434.21,449.25,294.535,566.0766666666667,307.49,560.31
Chisum,2024-05,12,22,8327.28,378.51,104.535,610.07,194.18,544.07
Kingfisher,2024-05,10,20,7477.07,373.85,168.585,546.75,213.11,523.25
Shaka,2024-05,13,26,10349.91,398.07,294.535,810.07,297.54,716.75
Chisum,2024-06,11,26,9769.77,375.76,276.02333333333337,621.535,278.9,593.8
Kingfisher,2024-06,12,24,11046.1,460.25,292.035,830.07,320.18,751.23
Shaka,2024-06,13,26,11268.28,433.4,294.535,672.535,309.54,665.06
Chisum,2024-07,11,24,11198.03,466.58,270.355,738.0233333333334,303.48,678.97
Kingfisher,2024-07,13,27,14211.28,526.34,328.535,1081.07,335.14,951.15
Shaka,2024-07,12,28,12583.15,449.4,256.7675,851.0233333333334,271.89,720.68
Chisum,2024-08,12,23,10479.85,455.65,324.02333333333337,654.535,334.2,644.65
Shaka,2024-08,10,22,11212.7,509.67,324.02333333333337,1010.07,324.02,985.08
Kingfisher,2024-08,9,20,9623.630000000001,481.18,324.02333333333337,1010.07,331.43,867.86
Chisum,2024-09,9,19,8720.630000000001,458.98,314.535,610.07,325.74,580.45
Kingfisher,2024-09,17,31,13407.73,432.51,324.02333333333337,654.535,324.02,618.96
Shaka,2024-09,9,20,10215.89,510.79,324.02333333333337,954.535,326.59,930.54
Kingfisher,2024-10,11,19,9513.619999999999,500.72,294.535,704.535,317.3,704.54
Shaka,2024-10,8,17,9077.0,533.94,302.69,854.535,333.03,854.54
Chisum,2024-10,6,14,8638.43,617.03,370.07,755.535,416.19,750.66
Chisum,2024-11,12,27,13521.82,500.81,309.3566666666667,854.535,313.02,854.54
Shaka,2024-11,11,20,9169.85,458.49,294.69,704.535,314.61,657.76
Kingfisher,2024-11,10,20,12664.4,633.22,301.885,854.535,316.58,854.54
Chisum,2024-12,6,13,8546.77,657.44,400.42,854.535,422.7,824.91
Kingfisher,2024-12,7,15,9105.49,607.03,390.07,854.535,400.86,839.54
Shaka,2024-12,6,12,7544.719999999999,628.73,283.185,854.535,342.65,854.54
Shaka,2025-01,7,14,4443.6900000000005,317.41,244.535,390.27,244.54,379.55
Kingfisher,2025-01,7,14,5008.22,357.73,244.535,457.3566666666666,252.41,432.51
Chisum,2025-01,10,20,6537.91,326.9,230.09,461.535,231.26,461.54
Chisum,2025-02,9,21,7373.77,351.13,226.02333333333337,575.3566666666667,233.43,547.03
Kingfisher,2025-02,10,23,8113.7,352.77,225.614,650.535,232.33,611.61
Shaka,2025-02,10,19,6914.25,363.91,225.02333333333337,677.535,233.8,671.68
Shaka,2025-03,11,22,11373.77,516.99,344.535,820.535,366.8,750.04
Kingfisher,2025-03,13,27,12497.87,462.88,310.07,754.535,316.95,694.53
Chisum,2025-03,12,23,10853.9,471.91,248.665,838.535,279.82,752.18
Chisum,2025-04,13,26,14794.91,569.04,299.535,1034.535,318.74,978.73
Shaka,2025-04,9,19,10156.630000000001,534.56,235.535,716.0233333333334,319.14,691.43
Kingfisher,2025-04,9,18,10256.93,569.83,308.07,894.185,345.33,842.52
Shaka,2025-05,11,21,12415.51,591.21,264.535,935.535,269.54,915.95
Chisum,2025-05,9,20,10384.630000000001,519.23,299.535,734.535,303.75,699.33
Kingfisher,2025-05,11,25,13734.77,549.39,285.035,1068.535,294.79,1035.04
Shaka,2025-06,14,26,15216.45,585.25,274.535,1240.535,290.48,1058.23
Chisum,2025-06,12,28,16779.84,599.28,264.035,971.69,269.81,921.0
Kingfisher,2025-06,15,28,15786.05,563.79,299.07,980.535,328.47,862.23
Shaka,2025-07,12,25,15242.14,609.69,360.07,913.69,414.78,898.48
Chisum,2025-07,13,28,17901.02,639.32,296.02333333333337,1167.72,309.85,1025.7
Kingfisher,2025-07,12,22,12462.58,566.48,319.07,930.69,319.62,795.3
Chisum,2025-08,9,25,14198.09,567.92,390.07,785.0233333333334,404.85,782.62
Kingfisher,2025-08,10,22,12342.7,561.03,300.07,925.035,300.07,860.23
Shaka,2025-08,9,21,13831.48,658.64,300.07,1193.535,377.27,1046.73
Kingfisher,2025-09,8,19,8222.039999999999,432.74,244.535,623.535,276.21,609.63
Shaka,2025-09,8,21,10285.82,489.8,351.0,632.0233333333333,354.85,594.22
Chisum,2025-09,9,17,7658.71,450.51,264.535,672.535,280.32,652.93
Chisum,2025-10,12,22,11582.28,526.47,299.0,816.535,313.85,715.77
Kingfisher,2025-10,12,27,14134.35,523.49,312.5,1019.0,370.2,874.35
Shaka,2025-10,9,22,11251.21,511.42,262.3333333333333,877.69,281.8,776.41
Kingfisher,2025-11,7,20,10266.05,513.3,307.4,810.685,336.38,779.79
Chisum,2025-11,11,21,11501.24,547.68,356.0,1022.69,364.5,913.84
Shaka,2025-11,10,20,9483.18,474.16,200.0,740.3333333333334,253.55,731.63
Shaka,2025-12,9,17,8083.07,475.47,270.0,695.5,289.6,693.51
Kingfisher,2025-12,9,15,6986.44,465.76,280.0,742.535,284.0,692.32
Chisum,2025-12,11,19,8429.369999999999,443.65,270.0,597.0,270.0,585.75
