booking_window,lead_time_min,lead_time_max,bookings,revenue,share_of_revenue_pct,share_of_bookings_pct,room_nights
0-7 days,0,7.0,189,122180.98,17.92,28.25,304
8-14 days,8,14.0,70,72039.44,10.57,10.46,142
15-30 days,15,30.0,86,90750.48,13.31,12.86,177
31-45 days,31,45.0,69,79506.65,11.66,10.31,152
46-60 days,46,60.0,61,73740.01,10.82,9.12,136
61-75 days,61,75.0,45,49540.55,7.27,6.73,104
76-90 days,76,90.0,47,57513.62,8.44,7.03,114
91-120 days,91,120.0,60,79493.06,11.66,8.97,151
121-180 days,121,180.0,27,36534.15,5.36,4.04,74
181-270 days,181,270.0,14,18677.9,2.74,2.09,33
271-365 days,271,365.0,1,1678.07,0.25,0.15,3
365+ days,366,,0,0.0,0.0,0.0,0
