date,revenue,room_nights,bookings,active_units_count,contributing_units_count,excluded_units_count,adr,occupancy_pct,revpar,revpar_smoothed,contributing_units_min_14d,contributing_units_max_14d,composition_shift_flag,revpar_percentile,base_tier_id,base_tier_label,tier_id,tier_label,tier_method
2024-01-01,214.6,1.0,1.0,3,3,0,214.6,33.33,296.28416666666664,167.25297619047618,3.0,3.0,False,14.774281805745554,1,Tier 1,1,Soft,quantile_fallback
2024-01-02,394.8366666666667,2.0,1.0,3,3,0,197.42,66.67,187.86194444444445,146.34635416666666,3.0,3.0,False,12.99589603283174,1,Tier 1,1,Soft,quantile_fallback
2024-01-03,180.23666666666668,1.0,0.0,3,3,0,180.24,33.33,234.42944444444447,130.08564814814815,3.0,3.0,False,10.259917920656635,1,Tier 1,1,Soft,quantile_fallback
2024-01-04,180.23666666666668,1.0,0.0,3,3,0,180.24,33.33,149.88444444444445,128.8949166666667,3.0,3.0,False,9.575923392612859,1,Tier 1,1,Soft,quantile_fallback
2024-01-05,480.04333333333335,2.0,2.0,3,3,0,240.02,66.67,137.42972222222224,133.14090909090908,3.0,3.0,False,11.76470588235294,1,Tier 1,1,Soft,quantile_fallback
2024-01-06,755.2633333333333,3.0,1.0,3,3,0,251.75,100.0,125.87722222222222,130.02673611111112,3.0,3.0,False,10.12311901504788,1,Tier 1,1,Soft,quantile_fallback
2024-01-07,234.02333333333334,1.0,0.0,3,3,0,234.02,33.33,39.00388888888889,129.2446794871795,3.0,3.0,False,9.712722298221614,1,Tier 1,1,Soft,quantile_fallback
2024-01-08,0.0,0.0,0.0,3,3,0,,0.0,0.0,128.74630952380951,3.0,3.0,False,9.30232558139535,1,Tier 1,1,Soft,quantile_fallback
2024-01-09,0.0,0.0,0.0,3,3,0,,0.0,0.0,110.49428571428572,3.0,3.0,False,5.677154582763338,1,Tier 1,1,Soft,quantile_fallback
2024-01-10,0.0,0.0,0.0,3,3,0,,0.0,118.17833333333334,112.11636904761905,3.0,3.0,False,6.019151846785226,1,Tier 1,1,Soft,quantile_fallback
